Wavelength (nm)	FL085 [11] 10176-71-3, Ladnein [D]
239.00	14180
240.00	13263
241.00	12468
242.00	11673
243.00	11071
244.00	10540
245.00	10157
246.00	9824.1
247.00	9496.5
248.00	9350.0
249.00	9203.4
250.00	9084.3
251.00	9026.6
252.00	9015.7
253.00	9067.1
254.00	9123.5
255.00	9238.2
256.00	9352.9
257.00	9467.7
258.00	9647.0
259.00	9852.6
260.00	10058
261.00	10351
262.00	10655
263.00	11188
264.00	11773
265.00	12438
266.00	13235
267.00	14032
268.00	14829
269.00	15718
270.00	16607
271.00	17496
272.00	18388
273.00	19284
274.00	20180
275.00	21075
276.00	21971
277.00	22739
278.00	23439
279.00	24117
280.00	24706
281.00	25295
282.00	25712
283.00	26086
284.00	26459
285.00	26677
286.00	26777
287.00	26670
288.00	26519
289.00	26182
290.00	25844
291.00	25294
292.00	24730
293.00	24166
294.00	23507
295.00	22798
296.00	22090
297.00	21381
298.00	20643
299.00	19887
300.00	19131
301.00	18417
302.00	17742
303.00	17211
304.00	16760
305.00	16374
306.00	16245
307.00	16320
308.00	16473
309.00	16845
310.00	17320
311.00	17943
312.00	18567
313.00	19301
314.00	20110
315.00	20918
316.00	21727
317.00	22535
318.00	23348
319.00	24171
320.00	24993
321.00	25815
322.00	26576
323.00	27273
324.00	27970
325.00	28648
326.00	29166
327.00	29685
328.00	30204
329.00	30662
330.00	31011
331.00	31360
332.00	31593
333.00	31757
334.00	31854
335.00	31900
336.00	31802
337.00	31655
338.00	31381
339.00	31101
340.00	30632
341.00	30164
342.00	29695
343.00	29226
344.00	28607
345.00	27848
346.00	27090
347.00	26332
348.00	25488
349.00	24557
350.00	23625
351.00	22694
352.00	21762
353.00	20831
354.00	19895
355.00	18940
356.00	17985
357.00	17030
358.00	16076
359.00	15121
360.00	14166
361.00	13300
362.00	12467
363.00	11635
364.00	10803
365.00	9971.1
366.00	9280.5
367.00	8639.7
368.00	7998.8
369.00	7358.0
370.00	6738.0
371.00	6246.1
372.00	5754.2
373.00	5336.1
374.00	4965.3
375.00	4594.5
376.00	4223.7
377.00	3926.6
378.00	3684.9
379.00	3443.3
380.00	3201.6
381.00	3008.7
382.00	2834.8
383.00	2660.8
384.00	2486.9
385.00	2350.8
386.00	2215.8
387.00	2080.9
388.00	1950.4
389.00	1852.5
390.00	1754.6
391.00	1656.7
392.00	1558.8
393.00	1471.8
394.00	1399.4
395.00	1326.9
396.00	1254.5
397.00	1182.0
398.00	1114.1
399.00	1059.0
400.00	1003.8
401.00	948.72
402.00	893.60
403.00	838.47
404.00	798.66
405.00	758.86
406.00	719.05
407.00	679.24
408.00	639.44
409.00	603.96
410.00	569.29
411.00	534.64
412.00	499.98
413.00	465.32
414.00	438.76
415.00	412.55
416.00	386.34
417.00	360.13
418.00	333.91
419.00	318.31
420.00	304.01
421.00	289.71
422.00	275.42
423.00	261.12
424.00	247.87
425.00	234.84
426.00	221.82
427.00	208.79
428.00	198.97
429.00	189.94
430.00	180.91
431.00	171.88
432.00	163.35
433.00	155.78
434.00	148.21
435.00	140.64
436.00	133.17
437.00	125.89
438.00	118.61
439.00	111.34
440.00	104.51
441.00	99.479
442.00	94.451
443.00	89.423
444.00	84.394
445.00	79.366
446.00	75.333
447.00	71.836
448.00	68.339
449.00	66.632
450.00	64.924
