Wavelngth (nm)	FL103 [12] 7245-02-5, 3-Methoxyflavone [C]
210.00	18888
211.00	18501
212.00	18168
213.00	17867
214.00	17602
215.00	17316
216.00	17000
217.00	16677
218.00	16375
219.00	16062
220.00	15755
221.00	15443
222.00	15124
223.00	14814
224.00	14509
225.00	14244
226.00	14055
227.00	13939
228.00	13902
229.00	13901
230.00	13947
231.00	13988
232.00	14041
233.00	14110
234.00	14217
235.00	14358
236.00	14581
237.00	14872
238.00	15223
239.00	15615
240.00	16030
241.00	16437
242.00	16808
243.00	17120
244.00	17358
245.00	17524
246.00	17600
247.00	17597
248.00	17493
249.00	17307
250.00	17048
251.00	16697
252.00	16252
253.00	15749
254.00	15165
255.00	14496
256.00	13721
257.00	12837
258.00	11853
259.00	10764
260.00	9610.3
261.00	8492.3
262.00	7504.1
263.00	6714.4
264.00	6136.0
265.00	5742.3
266.00	5518.9
267.00	5419.6
268.00	5416.9
269.00	5476.3
270.00	5607.3
271.00	5789.4
272.00	6015.8
273.00	6290.3
274.00	6606.2
275.00	6954.5
276.00	7336.0
277.00	7757.1
278.00	8207.8
279.00	8680.4
280.00	9176.8
281.00	9690.1
282.00	10213
283.00	10759
284.00	11293
285.00	11829
286.00	12358
287.00	12869
288.00	13356
289.00	13815
290.00	14246
291.00	14646
292.00	15003
293.00	15332
294.00	15601
295.00	15840
296.00	16009
297.00	16161
298.00	16231
299.00	16280
300.00	16274
301.00	16245
302.00	16187
303.00	16093
304.00	15998
305.00	15897
306.00	15779
307.00	15699
308.00	15611
309.00	15545
310.00	15468
311.00	15420
312.00	15391
313.00	15350
314.00	15319
315.00	15284
316.00	15238
317.00	15178
318.00	15091
319.00	14995
320.00	14875
321.00	14727
322.00	14558
323.00	14341
324.00	14093
325.00	13806
326.00	13458
327.00	13107
328.00	12713
329.00	12298
330.00	11865
331.00	11429
332.00	10979
333.00	10528
334.00	10075
335.00	9624.6
336.00	9167.5
337.00	8711.3
338.00	8248.5
339.00	7790.8
340.00	7318.9
341.00	6851.6
342.00	6369.1
343.00	5891.4
344.00	5418.7
345.00	4952.9
346.00	4501.1
347.00	4074.9
348.00	3683.8
349.00	3307.9
350.00	2966.7
351.00	2663.4
352.00	2372.6
353.00	2118.3
354.00	1887.6
355.00	1681.5
356.00	1504.4
357.00	1335.6
358.00	1195.1
359.00	1074.7
360.00	959.87
361.00	846.95
362.00	752.21
363.00	665.90
364.00	593.36
365.00	526.31
366.00	476.35
367.00	426.68
368.00	385.09
369.00	342.70
370.00	312.07
371.00	286.78
372.00	262.66
373.00	239.04
374.00	219.17
375.00	210.50
376.00	203.82
377.00	189.01
378.00	169.27
379.00	155.25
380.00	148.86
381.00	152.99
382.00	145.93
383.00	133.31
384.00	130.70
385.00	127.52
386.00	127.61
387.00	125.04
388.00	113.05
389.00	115.48
390.00	124.14
391.00	111.47
392.00	113.57
393.00	104.65
394.00	108.32
395.00	102.22
396.00	94.984
397.00	98.611
398.00	94.098
399.00	98.420
400.00	108.76
401.00	104.92
402.00	101.15
403.00	96.457
404.00	101.30
405.00	105.65
406.00	100.98
407.00	109.45
408.00	105.82
409.00	96.430
410.00	109.85
411.00	107.90
412.00	107.52
413.00	106.93
414.00	107.34
415.00	108.66
416.00	105.06
417.00	106.33
418.00	113.68
419.00	115.96
420.00	113.95
421.00	105.29
422.00	106.96
423.00	110.58
424.00	115.16
425.00	113.02
426.00	114.96
427.00	108.20
428.00	104.24
429.00	106.81
430.00	106.94
431.00	98.857
432.00	111.25
433.00	116.77
434.00	106.68
435.00	109.90
436.00	101.58
437.00	102.40
438.00	107.43
439.00	108.01
440.00	111.37
441.00	105.16
442.00	102.35
443.00	111.59
444.00	97.861
445.00	108.33
446.00	100.08
447.00	103.44
448.00	106.66
449.00	108.20
450.00	105.01
451.00	103.18
452.00	101.60
453.00	90.635
454.00	101.12
455.00	89.366
456.00	86.421
457.00	102.80
458.00	101.35
459.00	96.321
460.00	84.212
461.00	95.925
462.00	81.635
463.00	79.781
464.00	73.822
465.00	64.291
466.00	66.609
467.00	77.299
468.00	67.495
469.00	63.514
470.00	64.291
471.00	62.259
472.00	68.123
473.00	42.911
474.00	45.529
475.00	47.533
476.00	40.457
477.00	37.757
478.00	42.611
479.00	45.992
480.00	41.016
481.00	28.294
482.00	26.535
483.00	34.702
484.00	39.775
485.00	34.593
486.00	11.495
487.00	30.380
488.00	41.316
489.00	21.899
490.00	18.231
491.00	13.677
492.00	14.045
493.00	13.199
494.00	17.195
495.00	9.3134
496.00	3.2866
497.00	3.4872
498.00	11.795
499.00	0.66856
500.00	9.8997
