Wavelength (nm)	FL008 [2] 13400-26-5, 3-Hydroxychromone [D]
215.00	8728.4
216.00	9095.2
217.00	9550.4
218.00	10118
219.00	10715
220.00	11356
221.00	12038
222.00	12755
223.00	13506
224.00	14223
225.00	14923
226.00	15593
227.00	16189
228.00	16705
229.00	17118
230.00	17500
231.00	17830
232.00	18099
233.00	18150
234.00	17960
235.00	17448
236.00	16817
237.00	16070
238.00	15317
239.00	14566
240.00	13850
241.00	13133
242.00	12319
243.00	11452
244.00	10557
245.00	9661.8
246.00	8792.3
247.00	7925.2
248.00	7073.0
249.00	6277.3
250.00	5507.3
251.00	4946.6
252.00	4455.7
253.00	4075.2
254.00	3803.0
255.00	3569.5
256.00	3382.1
257.00	3216.4
258.00	3077.2
259.00	2961.3
260.00	2873.9
261.00	2817.3
262.00	2787.1
263.00	2771.7
264.00	2765.0
265.00	2758.4
266.00	2758.0
267.00	2762.5
268.00	2766.9
269.00	2769.8
270.00	2771.8
271.00	2773.8
272.00	2778.1
273.00	2787.2
274.00	2798.5
275.00	2818.7
276.00	2834.2
277.00	2846.1
278.00	2811.8
279.00	2768.7
280.00	2700.6
281.00	2621.9
282.00	2534.9
283.00	2449.2
284.00	2368.0
285.00	2292.1
286.00	2253.4
287.00	2248.4
288.00	2282.0
289.00	2382.5
290.00	2508.3
291.00	2648.5
292.00	2798.7
293.00	2948.9
294.00	3099.1
295.00	3262.1
296.00	3428.2
297.00	3594.2
298.00	3760.2
299.00	3926.7
300.00	4093.2
301.00	4259.7
302.00	4426.3
303.00	4591.2
304.00	4755.9
305.00	4920.6
306.00	5038.8
307.00	5138.0
308.00	5237.2
309.00	5333.5
310.00	5400.7
311.00	5467.8
312.00	5534.9
313.00	5588.1
314.00	5640.9
315.00	5680.9
316.00	5719.2
317.00	5685.7
318.00	5631.0
319.00	5549.3
320.00	5438.1
321.00	5318.7
322.00	5179.0
323.00	5040.5
324.00	4905.6
325.00	4765.2
326.00	4596.2
327.00	4427.1
328.00	4233.1
329.00	3990.6
330.00	3748.9
331.00	3518.2
332.00	3256.2
333.00	2949.3
334.00	2640.8
335.00	2327.0
336.00	2013.1
337.00	1708.5
338.00	1409.4
339.00	1175.8
340.00	964.28
341.00	788.00
342.00	635.10
343.00	513.11
344.00	411.99
345.00	339.08
346.00	276.14
347.00	236.48
348.00	196.82
349.00	167.73
350.00	156.64
351.00	145.55
352.00	134.46
353.00	123.38
354.00	112.29
355.00	101.20
356.00	94.672
357.00	91.588
358.00	88.503
359.00	85.418
360.00	82.333
361.00	79.248
362.00	76.163
363.00	73.078
364.00	69.994
365.00	66.909
366.00	63.824
367.00	61.969
368.00	60.402
369.00	58.835
370.00	57.268
371.00	55.702
372.00	54.135
373.00	52.568
374.00	51.001
375.00	49.435
376.00	47.868
377.00	46.301
378.00	44.734
379.00	43.515
380.00	42.444
381.00	41.373
382.00	40.302
383.00	39.231
384.00	38.160
385.00	37.106
386.00	36.096
387.00	35.086
388.00	34.075
389.00	33.065
390.00	32.055
391.00	31.045
392.00	30.833
393.00	30.833
394.00	30.833
395.00	30.833
396.00	30.833
397.00	30.833
398.00	30.833
399.00	30.833
400.00	30.833
