Wavelength (nm)	FL007 [2] 59749-54-1, 2-Hydroxymethylchromone [D]
224.00	19478
225.00	19196
226.00	18914
227.00	18551
228.00	17932
229.00	16280
230.00	13209
231.00	11484
232.00	10816
233.00	10254
234.00	9832.9
235.00	9547.7
236.00	9279.5
237.00	9115.2
238.00	8950.9
239.00	8860.0
240.00	8793.7
241.00	8727.3
242.00	8661.0
243.00	8614.3
244.00	8571.1
245.00	8527.9
246.00	8475.8
247.00	8397.2
248.00	8318.6
249.00	8213.5
250.00	8059.1
251.00	7904.7
252.00	7768.1
253.00	7634.4
254.00	7500.7
255.00	7358.5
256.00	7201.4
257.00	7044.2
258.00	6834.1
259.00	6607.4
260.00	6366.6
261.00	6123.7
262.00	5846.1
263.00	5542.4
264.00	5198.1
265.00	4841.7
266.00	4320.7
267.00	3864.7
268.00	3447.1
269.00	3131.1
270.00	2898.3
271.00	2784.7
272.00	2746.7
273.00	2729.7
274.00	2772.9
275.00	2855.5
276.00	2966.5
277.00	3107.3
278.00	3296.9
279.00	3486.5
280.00	3705.5
281.00	3928.6
282.00	4151.7
283.00	4409.2
284.00	4671.3
285.00	4933.5
286.00	5188.1
287.00	5437.2
288.00	5686.3
289.00	5935.4
290.00	6154.2
291.00	6372.7
292.00	6591.2
293.00	6796.4
294.00	6992.3
295.00	7188.2
296.00	7342.5
297.00	7478.1
298.00	7557.9
299.00	7599.0
300.00	7583.5
301.00	7511.4
302.00	7350.5
303.00	7130.4
304.00	6743.2
305.00	6251.2
306.00	5612.6
307.00	4683.0
308.00	3871.8
309.00	3205.9
310.00	2687.9
311.00	2199.2
312.00	1746.4
313.00	1425.4
314.00	1155.2
315.00	933.74
