Wavelength (nm)	Pd(II) UroP I (in DMSO).abs
300.00	0.10393
301.00	0.10495
302.00	0.10702
303.00	0.10892
304.00	0.11055
305.00	0.11257
306.00	0.11472
307.00	0.11675
308.00	0.11882
309.00	0.12146
310.00	0.12368
311.00	0.12564
312.00	0.12742
313.00	0.12936
314.00	0.13077
315.00	0.13198
316.00	0.13309
317.00	0.13392
318.00	0.13483
319.00	0.13567
320.00	0.13615
321.00	0.13666
322.00	0.13708
323.00	0.13725
324.00	0.13697
325.00	0.13659
326.00	0.13623
327.00	0.13524
328.00	0.13398
329.00	0.13269
330.00	0.13112
331.00	0.12964
332.00	0.12794
333.00	0.12650
334.00	0.12481
335.00	0.12333
336.00	0.12170
337.00	0.12029
338.00	0.11918
339.00	0.11813
340.00	0.11768
341.00	0.11739
342.00	0.11724
343.00	0.11756
344.00	0.11818
345.00	0.11926
346.00	0.12060
347.00	0.12193
348.00	0.12363
349.00	0.12537
350.00	0.12724
351.00	0.12952
352.00	0.13161
353.00	0.13390
354.00	0.13652
355.00	0.13919
356.00	0.14225
357.00	0.14569
358.00	0.14944
359.00	0.15358
360.00	0.15844
361.00	0.16377
362.00	0.16971
363.00	0.17679
364.00	0.18410
365.00	0.19208
366.00	0.20128
367.00	0.21042
368.00	0.22030
369.00	0.23127
370.00	0.24224
371.00	0.25439
372.00	0.26590
373.00	0.27765
374.00	0.28969
375.00	0.30227
376.00	0.31496
377.00	0.32884
378.00	0.34419
379.00	0.36150
380.00	0.38042
381.00	0.40294
382.00	0.42822
383.00	0.45585
384.00	0.48709
385.00	0.52259
386.00	0.56117
387.00	0.60420
388.00	0.65086
389.00	0.69988
390.00	0.75403
391.00	0.80792
392.00	0.86137
393.00	0.90864
394.00	0.94624
395.00	0.97544
396.00	0.99303
397.00	1.0000
398.00	0.99671
399.00	0.98201
400.00	0.95751
401.00	0.92241
402.00	0.87683
403.00	0.82162
404.00	0.75926
405.00	0.69174
406.00	0.62657
407.00	0.56204
408.00	0.50071
409.00	0.44566
410.00	0.39843
411.00	0.35656
412.00	0.32017
413.00	0.28868
414.00	0.26221
415.00	0.23669
416.00	0.21285
417.00	0.18989
418.00	0.16815
419.00	0.14848
420.00	0.13086
421.00	0.11562
422.00	0.10333
423.00	0.093031
424.00	0.084354
425.00	0.076809
426.00	0.070734
427.00	0.064679
428.00	0.060027
429.00	0.056039
430.00	0.052176
431.00	0.049499
432.00	0.047770
433.00	0.045302
434.00	0.043114
435.00	0.041977
436.00	0.040458
437.00	0.038809
438.00	0.037819
439.00	0.037100
440.00	0.036425
441.00	0.035770
442.00	0.035290
443.00	0.034903
444.00	0.034606
445.00	0.034206
446.00	0.034157
447.00	0.034019
448.00	0.033527
449.00	0.033625
450.00	0.033523
451.00	0.033288
452.00	0.033265
453.00	0.033109
454.00	0.032874
455.00	0.032526
456.00	0.032454
457.00	0.032448
458.00	0.032122
459.00	0.032044
460.00	0.032320
461.00	0.032638
462.00	0.033062
463.00	0.033453
464.00	0.033627
465.00	0.034119
466.00	0.033914
467.00	0.034244
468.00	0.034161
469.00	0.034307
470.00	0.034483
471.00	0.034461
472.00	0.034398
473.00	0.034061
474.00	0.034039
475.00	0.033990
476.00	0.034094
477.00	0.034086
478.00	0.034097
