Wavelength (nm)	CoproP I (0.1 M PPB).abs
300.00	0.11093
301.00	0.11205
302.00	0.11307
303.00	0.11403
304.00	0.11633
305.00	0.11735
306.00	0.12000
307.00	0.12081
308.00	0.12281
309.00	0.12439
310.00	0.12702
311.00	0.12976
312.00	0.13211
313.00	0.13495
314.00	0.13815
315.00	0.14143
316.00	0.14404
317.00	0.14736
318.00	0.15147
319.00	0.15553
320.00	0.15932
321.00	0.16489
322.00	0.16880
323.00	0.17390
324.00	0.17798
325.00	0.18302
326.00	0.18780
327.00	0.19234
328.00	0.19810
329.00	0.20358
330.00	0.20973
331.00	0.21552
332.00	0.22226
333.00	0.22865
334.00	0.23521
335.00	0.24374
336.00	0.25226
337.00	0.26068
338.00	0.27069
339.00	0.28051
340.00	0.29104
341.00	0.30281
342.00	0.31590
343.00	0.32874
344.00	0.34328
345.00	0.35772
346.00	0.37333
347.00	0.39071
348.00	0.40741
349.00	0.42591
350.00	0.44607
351.00	0.46742
352.00	0.48931
353.00	0.51221
354.00	0.53802
355.00	0.56429
356.00	0.59060
357.00	0.61924
358.00	0.64686
359.00	0.67407
360.00	0.70248
361.00	0.73039
362.00	0.75728
363.00	0.78293
364.00	0.80763
365.00	0.83001
366.00	0.85189
367.00	0.87320
368.00	0.89159
369.00	0.90931
370.00	0.92373
371.00	0.93509
372.00	0.94266
373.00	0.95027
374.00	0.95417
375.00	0.95516
376.00	0.95678
377.00	0.95806
378.00	0.95787
379.00	0.95832
380.00	0.95952
381.00	0.96268
382.00	0.96742
383.00	0.96969
384.00	0.97447
385.00	0.98030
386.00	0.98659
387.00	0.99148
388.00	0.99565
389.00	0.99952
390.00	1.00000
391.00	0.99683
392.00	0.99015
393.00	0.97687
394.00	0.95790
395.00	0.93242
396.00	0.89959
397.00	0.85747
398.00	0.81076
399.00	0.75982
400.00	0.70757
401.00	0.65191
402.00	0.59608
403.00	0.54252
404.00	0.49227
405.00	0.44477
406.00	0.40323
407.00	0.36474
408.00	0.32887
409.00	0.29665
410.00	0.26775
411.00	0.24349
412.00	0.21911
413.00	0.19975
414.00	0.18157
415.00	0.16638
416.00	0.15224
417.00	0.13976
418.00	0.12804
419.00	0.11756
420.00	0.10808
421.00	0.10002
422.00	0.092326
423.00	0.086657
424.00	0.081432
425.00	0.075638
426.00	0.071680
427.00	0.066831
428.00	0.062699
429.00	0.059228
430.00	0.055360
431.00	0.053301
432.00	0.052209
433.00	0.048439
434.00	0.045260
435.00	0.044376
436.00	0.042129
437.00	0.040196
438.00	0.038547
439.00	0.036251
440.00	0.035966
441.00	0.033316
442.00	0.031653
443.00	0.031855
444.00	0.030812
445.00	0.030012
446.00	0.028349
447.00	0.028544
448.00	0.027382
449.00	0.027285
450.00	0.025038
