Wavelength (nm)	A12 abs1 e
240.00	102.62
241.00	90.003
242.00	88.478
243.00	92.502
244.00	98.362
245.00	104.88
246.00	112.00
247.00	121.68
248.00	139.08
249.00	159.48
250.00	176.06
251.00	187.83
252.00	198.29
253.00	207.72
254.00	232.73
255.00	272.82
256.00	305.24
257.00	324.78
258.00	339.31
259.00	346.31
260.00	354.58
261.00	398.01
262.00	451.79
263.00	500.10
264.00	511.62
265.00	507.42
266.00	477.12
267.00	461.14
268.00	515.41
269.00	630.71
270.00	691.00
271.00	615.01
272.00	517.15
273.00	415.04
274.00	314.42
275.00	298.89
276.00	511.11
277.00	652.44
278.00	473.13
279.00	267.69
280.00	154.19
281.00	89.803
282.00	49.901
283.00	27.607
284.00	17.463
285.00	12.230
286.00	8.5906
287.00	5.7438
288.00	3.8179
289.00	2.5755
290.00	1.8457
291.00	1.3490
292.00	0.89653
293.00	0.68406
294.00	0.52089
295.00	0.30096
296.00	0.32172
297.00	0.072598
298.00	0.10082
299.00	0.19554
300.00	0.088169
