Wavelength (nm)	K06 abs e
200.00	55377
201.00	53923
202.00	54574
203.00	52570
204.00	49686
205.00	46945
206.00	44296
207.00	42301
208.00	40737
209.00	39901
210.00	39612
211.00	39548
212.00	39669
213.00	40053
214.00	40473
215.00	40953
216.00	41463
217.00	41927
218.00	42270
219.00	42488
220.00	42603
221.00	42636
222.00	42526
223.00	42251
224.00	41824
225.00	41234
226.00	40461
227.00	39587
228.00	38593
229.00	37591
230.00	36579
231.00	35616
232.00	34752
233.00	33683
234.00	32296
235.00	30402
236.00	28192
237.00	25788
238.00	23537
239.00	21574
240.00	19845
241.00	18422
242.00	17248
243.00	16282
244.00	15481
245.00	14803
246.00	14237
247.00	13754
248.00	13377
249.00	13043
250.00	12775
251.00	12617
252.00	12415
253.00	12224
254.00	12057
255.00	11770
256.00	11430
257.00	11116
258.00	10839
259.00	10563
260.00	10303
261.00	10150
262.00	9942.3
263.00	9787.7
264.00	9649.2
265.00	9548.7
266.00	9403.8
267.00	9322.8
268.00	9298.6
269.00	9241.1
270.00	9186.3
271.00	9080.4
272.00	8980.0
273.00	8852.5
274.00	8697.4
275.00	8569.7
276.00	8424.1
277.00	8342.2
278.00	8248.3
279.00	8123.5
280.00	7926.2
281.00	7815.2
282.00	7669.8
283.00	7539.5
284.00	7407.6
285.00	7332.6
286.00	7271.9
287.00	7247.9
288.00	7273.8
289.00	7333.1
290.00	7435.2
291.00	7545.9
292.00	7658.0
293.00	7724.6
294.00	7865.3
295.00	7951.9
296.00	8045.3
297.00	8195.5
298.00	8273.7
299.00	8337.2
300.00	8359.5
301.00	8425.8
302.00	8510.2
303.00	8613.3
304.00	8769.7
305.00	8869.8
306.00	8987.6
307.00	9071.3
308.00	9145.2
309.00	9269.5
310.00	9264.6
311.00	9208.2
312.00	9162.6
313.00	9079.7
314.00	8978.5
315.00	8930.7
316.00	8851.3
317.00	8751.2
318.00	8684.9
319.00	8470.5
320.00	8323.3
321.00	8104.2
322.00	7902.9
323.00	7679.6
324.00	7488.8
325.00	7262.6
326.00	7121.0
327.00	6994.9
328.00	6929.2
329.00	6885.5
330.00	6855.8
331.00	6792.8
332.00	6805.1
333.00	6783.7
334.00	6735.4
335.00	6679.0
336.00	6568.7
337.00	6473.1
338.00	6331.1
339.00	6203.8
340.00	6059.5
341.00	5960.2
342.00	5921.5
343.00	5873.7
344.00	5837.7
345.00	5821.9
346.00	5778.3
347.00	5706.4
348.00	5647.5
349.00	5578.0
350.00	5440.1
351.00	5306.1
352.00	5151.0
353.00	5027.2
354.00	4838.1
355.00	4650.2
356.00	4464.8
357.00	4257.2
358.00	4167.3
359.00	4130.3
360.00	3945.1
361.00	3929.0
362.00	3925.9
363.00	3820.2
364.00	3739.0
365.00	3645.2
366.00	3579.0
367.00	3519.6
368.00	3586.6
369.00	3449.6
370.00	3513.0
371.00	3481.7
372.00	3449.0
373.00	3463.0
374.00	3471.0
375.00	3598.3
376.00	3709.5
377.00	3777.6
378.00	3878.9
379.00	4048.3
380.00	4188.9
381.00	4273.8
382.00	4319.8
383.00	4262.4
384.00	4277.6
385.00	4148.5
386.00	4095.5
387.00	4057.3
388.00	4040.7
389.00	3952.8
390.00	3946.5
391.00	4026.3
392.00	4137.8
393.00	4129.3
394.00	4278.8
395.00	4389.9
396.00	4601.4
397.00	4845.6
398.00	5093.2
399.00	5431.7
400.00	5745.7
401.00	5884.9
402.00	5928.1
403.00	5752.2
404.00	5400.3
405.00	4931.7
406.00	4406.2
407.00	4038.3
408.00	3613.2
409.00	3278.4
410.00	3118.1
411.00	3001.4
412.00	2925.5
413.00	2879.0
414.00	2850.2
415.00	2768.0
416.00	2898.4
417.00	2912.9
418.00	2926.3
419.00	2942.5
420.00	2957.9
421.00	2906.6
422.00	2954.6
423.00	2944.1
424.00	2900.3
425.00	2895.3
426.00	2875.1
427.00	2846.2
428.00	2782.7
429.00	2803.5
430.00	2796.5
431.00	2784.5
432.00	2818.3
433.00	2931.1
434.00	2973.7
435.00	3064.9
436.00	3153.7
437.00	3346.1
438.00	3558.1
439.00	3736.5
440.00	3930.4
441.00	4325.9
442.00	4590.0
443.00	4827.6
444.00	5083.7
445.00	5304.8
446.00	5499.1
447.00	5634.3
448.00	5643.0
449.00	5623.6
450.00	5473.2
451.00	5275.2
452.00	5011.0
453.00	4680.1
454.00	4374.2
455.00	4080.4
456.00	3697.6
457.00	3295.5
458.00	3035.9
459.00	2798.3
460.00	2538.7
461.00	2283.9
462.00	2087.8
463.00	1943.6
464.00	1863.8
465.00	1661.6
466.00	1602.3
467.00	1584.3
468.00	1513.4
469.00	1385.2
470.00	1377.3
471.00	1308.6
472.00	1334.3
473.00	1359.7
474.00	1369.6
475.00	1388.1
476.00	1388.8
477.00	1325.1
478.00	1472.2
479.00	1508.5
480.00	1404.9
481.00	1421.6
482.00	1472.6
483.00	1365.0
484.00	1418.9
485.00	1335.8
486.00	1325.7
487.00	1312.6
488.00	1248.9
489.00	1216.1
490.00	1212.8
491.00	1104.1
492.00	1143.6
493.00	1055.6
494.00	1066.0
495.00	918.12
496.00	955.68
497.00	865.09
498.00	819.89
499.00	870.07
500.00	818.37
501.00	807.47
502.00	734.49
503.00	917.51
504.00	746.10
505.00	791.80
506.00	738.46
507.00	712.51
508.00	780.60
509.00	753.12
510.00	645.63
511.00	737.85
512.00	783.66
513.00	670.98
514.00	769.10
515.00	753.93
516.00	823.76
517.00	792.10
518.00	788.44
519.00	655.91
520.00	685.12
521.00	810.73
522.00	832.92
523.00	762.89
524.00	865.29
525.00	855.62
526.00	667.92
527.00	832.72
528.00	874.25
529.00	713.73
530.00	680.24
531.00	794.34
532.00	773.58
533.00	722.48
534.00	751.39
535.00	748.74
536.00	773.68
537.00	818.06
538.00	754.34
539.00	870.79
540.00	788.64
541.00	785.08
542.00	919.14
543.00	860.81
544.00	895.52
545.00	926.26
546.00	914.05
547.00	917.81
548.00	998.84
549.00	1032.5
550.00	1091.3
551.00	993.14
552.00	1033.9
553.00	1082.7
554.00	1061.1
555.00	1110.4
556.00	1178.7
557.00	1145.8
558.00	1151.2
559.00	1152.7
560.00	1238.4
561.00	1192.8
562.00	1238.3
563.00	1227.9
564.00	1302.3
565.00	1246.7
566.00	1285.7
567.00	1328.0
568.00	1408.0
569.00	1350.4
570.00	1414.5
571.00	1397.5
572.00	1426.1
573.00	1465.1
574.00	1450.1
575.00	1519.3
576.00	1534.0
577.00	1562.0
578.00	1645.2
579.00	1641.0
580.00	1682.0
581.00	1743.2
582.00	1773.3
583.00	1795.8
584.00	1856.0
585.00	1937.8
586.00	1991.8
587.00	1986.7
588.00	2076.7
589.00	2116.8
590.00	2183.2
591.00	2240.5
592.00	2285.7
593.00	2379.7
594.00	2413.5
595.00	2400.9
596.00	2520.0
597.00	2547.2
598.00	2603.3
599.00	2708.3
600.00	2751.4
601.00	2844.3
602.00	2878.5
603.00	2980.2
604.00	3011.0
605.00	3074.3
606.00	3168.2
607.00	3224.1
608.00	3332.4
609.00	3404.7
610.00	3464.2
611.00	3527.3
612.00	3605.1
613.00	3682.0
614.00	3756.8
615.00	3859.9
616.00	3944.1
617.00	4062.1
618.00	4142.5
619.00	4271.6
620.00	4372.7
621.00	4464.0
622.00	4616.8
623.00	4715.7
624.00	4839.7
625.00	4917.3
626.00	5024.8
627.00	5179.6
628.00	5322.3
629.00	5515.6
630.00	5578.4
631.00	5761.6
632.00	5966.1
633.00	6103.1
634.00	6288.3
635.00	6434.6
636.00	6628.7
637.00	6768.1
638.00	6999.4
639.00	7132.2
640.00	7267.5
641.00	7500.7
642.00	7633.6
643.00	7790.5
644.00	8196.4
645.00	8402.8
646.00	8493.6
647.00	8709.1
648.00	8994.4
649.00	9204.7
650.00	9408.2
651.00	9519.7
652.00	9751.1
653.00	9959.5
654.00	10180
655.00	10530
656.00	10610
657.00	10281
658.00	10763
659.00	11271
660.00	11480
661.00	11913
662.00	12064
663.00	12241
664.00	12403
665.00	12658
666.00	12878
667.00	13268
668.00	13295
669.00	13563
670.00	13791
671.00	14019
672.00	14302
673.00	14493
674.00	14788
675.00	15033
676.00	15329
677.00	15587
678.00	15843
679.00	16109
680.00	16379
681.00	16661
682.00	16949
683.00	17322
684.00	17646
685.00	17953
686.00	18231
687.00	18616
688.00	19052
689.00	19461
690.00	19772
691.00	20276
692.00	20702
693.00	21164
694.00	21687
695.00	22189
696.00	22771
697.00	23312
698.00	23757
699.00	24396
700.00	25028
701.00	25718
702.00	26335
703.00	27002
704.00	27769
705.00	28406
706.00	29165
707.00	29938
708.00	30575
709.00	31339
710.00	32119
711.00	32971
712.00	33731
713.00	34537
714.00	35305
715.00	36077
716.00	36793
717.00	37565
718.00	38523
719.00	39254
720.00	40172
721.00	41011
722.00	41828
723.00	42583
724.00	43525
725.00	44435
726.00	45258
727.00	45888
728.00	46882
729.00	47685
730.00	48545
731.00	49322
732.00	49908
733.00	50669
734.00	51449
735.00	51962
736.00	52502
737.00	53089
738.00	53499
739.00	53983
740.00	54251
741.00	54555
742.00	54719
