Wavelength (nm)	C07 abs e
200.00	28376
201.00	26941
202.00	24578
203.00	21890
204.00	19307
205.00	16628
206.00	14556
207.00	13026
208.00	11675
209.00	10683
210.00	9633.4
211.00	8916.7
212.00	8297.0
213.00	7804.5
214.00	7620.1
215.00	7499.6
216.00	7502.8
217.00	7498.1
218.00	7622.2
219.00	7761.9
220.00	8061.0
221.00	8455.4
222.00	8979.3
223.00	9542.9
224.00	10148
225.00	10724
226.00	11219
227.00	11686
228.00	12403
229.00	13256
230.00	14061
231.00	14899
232.00	15903
233.00	17111
234.00	18295
235.00	19729
236.00	21657
237.00	23876
238.00	25972
239.00	28371
240.00	32136
241.00	36363
242.00	38878
243.00	40499
244.00	43541
245.00	47849
246.00	52460
247.00	58530
248.00	69422
249.00	82325
250.00	85847
251.00	77467
252.00	68758
253.00	67599
254.00	73660
255.00	83085
256.00	97382
257.00	1.2202e+05
258.00	1.4648e+05
259.00	1.4034e+05
260.00	1.0562e+05
261.00	70873
262.00	48614
263.00	35953
264.00	29358
265.00	25766
266.00	23662
267.00	22474
268.00	21783
269.00	21254
270.00	20819
271.00	20451
272.00	20234
273.00	20379
274.00	20604
275.00	20064
276.00	18687
277.00	17127
278.00	15869
279.00	15115
280.00	14782
281.00	14812
282.00	15290
283.00	16181
284.00	17329
285.00	18200
286.00	18108
287.00	16763
288.00	14629
289.00	12531
290.00	10872
291.00	9719.1
292.00	8617.0
293.00	7287.1
294.00	5925.6
295.00	4759.2
296.00	3918.1
297.00	3421.8
298.00	3105.9
299.00	2964.4
300.00	2868.4
301.00	2738.8
302.00	2537.8
303.00	2396.5
304.00	2216.1
305.00	2044.2
306.00	1862.6
307.00	1607.2
308.00	1392.3
309.00	1325.2
310.00	1237.3
311.00	1200.5
312.00	1211.0
313.00	1210.0
314.00	1180.2
315.00	1149.6
316.00	1070.6
317.00	1058.1
318.00	1044.3
319.00	1098.4
320.00	1125.6
321.00	1081.8
322.00	987.09
323.00	925.13
324.00	884.27
325.00	856.49
326.00	860.74
327.00	849.75
328.00	822.20
329.00	779.27
330.00	743.12
331.00	691.04
332.00	690.26
333.00	709.09
334.00	776.48
335.00	821.17
336.00	743.36
337.00	654.50
338.00	582.58
339.00	564.33
340.00	535.26
341.00	561.90
342.00	531.56
343.00	518.33
344.00	510.95
345.00	446.91
346.00	456.12
347.00	435.96
348.00	410.02
349.00	437.99
350.00	428.41
