Wavelength (nm)	L06 abs e
200.00	38613
201.00	42808
202.00	43730
203.00	43655
204.00	43170
205.00	42545
206.00	41911
207.00	41202
208.00	40285
209.00	39260
210.00	38029
211.00	36585
212.00	34889
213.00	32892
214.00	30656
215.00	28277
216.00	25840
217.00	23549
218.00	21408
219.00	19515
220.00	17831
221.00	16393
222.00	15146
223.00	14129
224.00	13266
225.00	12552
226.00	11975
227.00	11478
228.00	11068
229.00	10723
230.00	10435
231.00	10200
232.00	10004
233.00	9843.4
234.00	9715.3
235.00	9607.5
236.00	9524.1
237.00	9482.0
238.00	9476.3
239.00	9493.8
240.00	9531.8
241.00	9596.2
242.00	9659.5
243.00	9735.1
244.00	9825.6
245.00	9911.9
246.00	9991.6
247.00	10063
248.00	10131
249.00	10185
250.00	10230
251.00	10249
252.00	10257
253.00	10235
254.00	10180
255.00	10111
256.00	10016
257.00	9884.1
258.00	9708.1
259.00	9495.1
260.00	9237.3
261.00	8971.1
262.00	8698.8
263.00	8430.7
264.00	8164.8
265.00	7935.8
266.00	7726.2
267.00	7574.6
268.00	7467.1
269.00	7351.4
270.00	7260.3
271.00	7212.7
272.00	7197.4
273.00	7207.0
274.00	7217.7
275.00	7250.3
276.00	7300.0
277.00	7373.0
278.00	7490.5
279.00	7611.6
280.00	7760.1
281.00	7923.9
282.00	8119.4
283.00	8351.5
284.00	8585.0
285.00	8863.8
286.00	9163.4
287.00	9494.5
288.00	9881.0
289.00	10275
290.00	10700
291.00	11176
292.00	11672
293.00	12207
294.00	12773
295.00	13364
296.00	13991
297.00	14635
298.00	15326
299.00	15996
300.00	16681
301.00	17387
302.00	18044
303.00	18712
304.00	19296
305.00	19876
306.00	20436
307.00	20949
308.00	21373
309.00	21758
310.00	22102
311.00	22376
312.00	22586
313.00	22699
314.00	22657
315.00	22430
316.00	21945
317.00	21255
318.00	20292
319.00	19102
320.00	17732
321.00	16294
322.00	14815
323.00	13336
324.00	11992
325.00	10721
326.00	9580.0
327.00	8579.3
328.00	7652.3
329.00	6876.1
330.00	6174.4
331.00	5560.2
332.00	5010.9
333.00	4554.9
334.00	4127.1
335.00	3759.4
336.00	3430.4
337.00	3126.7
338.00	2857.5
339.00	2644.2
340.00	2444.4
341.00	2257.6
342.00	2107.2
343.00	1977.0
344.00	1892.7
345.00	1792.9
346.00	1735.7
347.00	1714.1
348.00	1701.0
349.00	1685.5
350.00	1674.4
351.00	1691.7
352.00	1740.0
353.00	1762.8
354.00	1816.5
355.00	1871.2
356.00	1914.4
357.00	1972.5
358.00	2031.4
359.00	2108.4
360.00	2178.9
361.00	2250.4
362.00	2326.9
363.00	2407.6
364.00	2506.3
365.00	2633.7
366.00	2731.0
367.00	2863.1
368.00	2986.6
369.00	3117.2
370.00	3232.1
371.00	3383.5
372.00	3552.8
373.00	3722.1
374.00	3865.0
375.00	4063.2
376.00	4233.9
377.00	4358.6
378.00	4570.1
379.00	4769.0
380.00	4958.2
381.00	5166.5
382.00	5378.6
383.00	5629.2
384.00	5820.7
385.00	6046.7
386.00	6301.5
387.00	6552.2
388.00	6802.0
389.00	7073.3
390.00	7349.3
391.00	7610.3
392.00	7879.1
393.00	8183.2
394.00	8436.3
395.00	8743.1
396.00	9043.6
397.00	9285.1
398.00	9582.5
399.00	9867.6
400.00	10135
401.00	10369
402.00	10653
403.00	10931
404.00	11170
405.00	11475
406.00	11724
407.00	11923
408.00	12173
409.00	12439
410.00	12659
411.00	12925
412.00	13123
413.00	13348
414.00	13522
415.00	13732
416.00	13870
417.00	14042
418.00	14172
419.00	14274
420.00	14369
421.00	14419
422.00	14425
423.00	14423
424.00	14351
425.00	14305
426.00	14173
427.00	13993
428.00	13802
429.00	13535
430.00	13253
431.00	12968
432.00	12651
433.00	12177
434.00	11758
435.00	11332
436.00	10872
437.00	10424
438.00	9914.3
439.00	9453.5
440.00	8926.7
441.00	8368.4
442.00	7925.0
443.00	7434.0
444.00	6961.2
445.00	6508.6
446.00	6027.3
447.00	5628.5
448.00	5205.4
449.00	4797.8
450.00	4449.8
451.00	4116.9
452.00	3794.3
453.00	3492.1
454.00	3197.9
455.00	2941.6
456.00	2743.1
457.00	2515.8
458.00	2315.4
459.00	2123.8
460.00	2031.2
461.00	1910.6
462.00	1757.2
463.00	1611.5
464.00	1562.0
465.00	1478.1
466.00	1436.5
467.00	1391.9
468.00	1368.3
469.00	1315.1
470.00	1290.0
471.00	1256.4
472.00	1287.7
473.00	1252.7
474.00	1205.1
475.00	1260.6
476.00	1258.4
477.00	1275.2
478.00	1288.4
479.00	1340.3
480.00	1337.5
481.00	1402.0
482.00	1472.9
483.00	1450.9
484.00	1509.9
485.00	1558.4
486.00	1558.3
487.00	1629.0
488.00	1694.0
489.00	1772.2
490.00	1805.9
491.00	1888.4
492.00	1961.5
493.00	2002.6
494.00	2088.4
495.00	2149.0
496.00	2203.7
497.00	2251.7
498.00	2361.7
499.00	2418.2
500.00	2513.8
501.00	2613.6
502.00	2740.7
503.00	2784.3
504.00	2842.3
505.00	2921.9
506.00	3068.4
507.00	3186.5
508.00	3307.2
509.00	3443.9
510.00	3540.0
511.00	3700.8
512.00	3821.5
513.00	3931.3
514.00	4050.9
515.00	4248.2
516.00	4401.0
517.00	4497.8
518.00	4678.8
519.00	4860.4
520.00	5003.9
521.00	5217.5
522.00	5348.8
523.00	5573.6
524.00	5785.7
525.00	5973.1
526.00	6236.3
527.00	6373.7
528.00	6673.1
529.00	6869.9
530.00	7038.5
531.00	7340.6
532.00	7519.0
533.00	7772.7
534.00	8044.6
535.00	8292.5
536.00	8565.1
537.00	8812.3
538.00	9117.8
539.00	9412.1
540.00	9726.8
541.00	9987.9
542.00	10271
543.00	10574
544.00	10868
545.00	11232
546.00	11560
547.00	11881
548.00	12220
549.00	12554
550.00	12976
551.00	13370
552.00	13778
553.00	14110
554.00	14548
555.00	15031
556.00	15531
557.00	15996
558.00	16511
559.00	17027
560.00	17581
561.00	18106
562.00	18686
563.00	19242
564.00	19881
565.00	20494
566.00	21197
567.00	21869
568.00	22489
569.00	23238
570.00	23929
571.00	24622
572.00	25296
573.00	26063
574.00	26808
575.00	27467
576.00	28214
577.00	28993
578.00	29652
579.00	30340
580.00	31078
581.00	31800
582.00	32439
583.00	33027
584.00	33792
585.00	34427
586.00	34997
587.00	35664
588.00	36277
589.00	36801
590.00	37427
591.00	37997
592.00	38670
593.00	39232
594.00	39811
595.00	40430
596.00	40969
597.00	41673
598.00	42328
599.00	43022
600.00	43744
601.00	44514
602.00	45278
603.00	46147
604.00	46947
605.00	47911
606.00	48898
607.00	49948
608.00	51064
609.00	52145
610.00	53342
611.00	54590
612.00	55886
613.00	57231
614.00	58541
615.00	59961
616.00	61318
617.00	62807
618.00	64235
619.00	65693
620.00	67153
621.00	68386
622.00	69986
623.00	71098
624.00	72344
625.00	73555
626.00	74488
627.00	75433
628.00	76191
629.00	76925
630.00	77360
631.00	77737
632.00	77800
633.00	77564
634.00	77229
635.00	76738
636.00	76278
637.00	75882
638.00	75443
639.00	74485
640.00	73737
641.00	72917
642.00	71588
643.00	69924
644.00	68525
645.00	66721
646.00	65040
647.00	63113
648.00	60913
649.00	59428
650.00	57207
651.00	55235
652.00	53166
653.00	50924
654.00	49051
655.00	45987
656.00	44544
657.00	44457
658.00	41884
659.00	39342
660.00	37439
661.00	35444
662.00	33564
663.00	31888
664.00	30113
665.00	28439
666.00	26991
667.00	25385
668.00	23938
669.00	22499
670.00	21245
671.00	19911
672.00	18641
673.00	17550
674.00	16414
675.00	15392
676.00	14410
677.00	13441
678.00	12546
679.00	11763
680.00	10992
681.00	10254
682.00	9530.1
683.00	8895.3
684.00	8261.0
685.00	7711.5
686.00	7185.6
687.00	6712.9
688.00	6208.8
689.00	5750.0
690.00	5380.3
691.00	4949.7
692.00	4625.0
693.00	4294.5
694.00	4000.8
695.00	3711.8
696.00	3430.8
697.00	3175.8
698.00	2959.7
699.00	2749.0
700.00	2547.9
701.00	2372.6
702.00	2193.4
703.00	2049.7
704.00	1896.7
705.00	1782.3
706.00	1640.1
707.00	1511.2
708.00	1409.9
709.00	1341.6
710.00	1252.1
711.00	1141.1
712.00	1072.1
713.00	1025.8
714.00	904.49
715.00	861.03
716.00	834.22
717.00	797.21
718.00	743.22
719.00	690.57
720.00	639.78
721.00	610.65
722.00	559.10
723.00	527.57
724.00	481.88
725.00	467.46
726.00	446.05
727.00	409.80
728.00	377.34
729.00	366.89
730.00	348.55
731.00	319.42
732.00	317.53
733.00	318.62
734.00	287.47
735.00	315.00
736.00	251.77
737.00	248.61
738.00	224.12
739.00	254.97
740.00	224.84
741.00	206.33
742.00	165.44
743.00	225.09
744.00	202.83
745.00	186.56
746.00	211.90
747.00	180.62
748.00	177.29
749.00	196.09
750.00	159.63
751.00	157.94
752.00	189.26
753.00	180.20
754.00	133.49
755.00	164.85
756.00	121.06
757.00	140.83
758.00	147.70
759.00	154.74
760.00	147.74
761.00	133.16
762.00	156.85
763.00	104.33
764.00	154.11
765.00	142.39
766.00	142.56
767.00	131.81
768.00	147.24
769.00	115.03
770.00	143.10
771.00	138.85
772.00	107.40
773.00	110.99
774.00	176.32
775.00	179.14
776.00	126.37
777.00	133.75
778.00	140.11
779.00	103.40
780.00	113.77
781.00	124.09
782.00	90.626
783.00	130.12
784.00	129.87
785.00	94.082
786.00	104.92
787.00	107.61
788.00	116.17
789.00	130.42
790.00	120.55
791.00	118.87
792.00	149.60
793.00	109.13
794.00	113.18
795.00	111.83
796.00	141.12
797.00	96.063
798.00	102.51
799.00	123.97
800.00	104.28
