Wavelength (nm)	9, (Z)-Ep-PxB-1, ZEPPXB1, F
200.00	0.52298
201.00	0.62333
202.00	0.72367
203.00	0.79029
204.00	0.85691
205.00	0.89414
206.00	0.93137
207.00	0.95403
208.00	0.97670
209.00	0.98568
210.00	0.99466
211.00	0.99734
212.00	1.0000
213.00	0.99589
214.00	0.99175
215.00	0.98691
216.00	0.98207
217.00	0.97422
218.00	0.96637
219.00	0.95565
220.00	0.94493
221.00	0.93323
222.00	0.92154
223.00	0.90744
224.00	0.89335
225.00	0.88151
226.00	0.86968
227.00	0.86098
228.00	0.85228
229.00	0.84715
230.00	0.84201
231.00	0.83806
232.00	0.83410
233.00	0.83261
234.00	0.83111
235.00	0.82966
236.00	0.82822
237.00	0.82661
238.00	0.82500
239.00	0.82195
240.00	0.81891
241.00	0.81454
242.00	0.81017
243.00	0.80300
244.00	0.79583
245.00	0.78547
246.00	0.77512
247.00	0.76106
248.00	0.74700
249.00	0.73051
250.00	0.71402
251.00	0.69618
252.00	0.67833
253.00	0.66082
254.00	0.64330
255.00	0.62616
256.00	0.60901
257.00	0.59536
258.00	0.58171
259.00	0.57077
260.00	0.55982
261.00	0.55256
262.00	0.54529
263.00	0.54157
264.00	0.53786
265.00	0.53713
266.00	0.53640
267.00	0.53733
268.00	0.53827
269.00	0.54087
270.00	0.54346
271.00	0.54678
272.00	0.55010
273.00	0.55349
274.00	0.55688
275.00	0.56047
276.00	0.56407
277.00	0.56683
278.00	0.56959
279.00	0.57149
280.00	0.57339
281.00	0.57508
282.00	0.57676
283.00	0.57807
284.00	0.57938
285.00	0.58046
286.00	0.58155
287.00	0.58195
288.00	0.58235
289.00	0.58430
290.00	0.58624
291.00	0.58784
292.00	0.58943
293.00	0.59222
294.00	0.59502
295.00	0.59714
296.00	0.59927
297.00	0.60276
298.00	0.60625
299.00	0.61048
300.00	0.61472
301.00	0.61914
302.00	0.62356
303.00	0.62834
304.00	0.63311
305.00	0.63731
306.00	0.64151
307.00	0.64517
308.00	0.64884
309.00	0.65166
310.00	0.65448
311.00	0.65578
312.00	0.65708
313.00	0.65734
314.00	0.65760
315.00	0.65503
316.00	0.65246
317.00	0.64830
318.00	0.64414
319.00	0.63768
320.00	0.63121
321.00	0.62306
322.00	0.61490
323.00	0.60478
324.00	0.59465
325.00	0.58296
326.00	0.57127
327.00	0.55738
328.00	0.54349
329.00	0.52978
330.00	0.51607
331.00	0.50056
332.00	0.48505
333.00	0.46986
334.00	0.45468
335.00	0.44065
336.00	0.42663
337.00	0.41364
338.00	0.40066
339.00	0.38987
340.00	0.37908
341.00	0.36937
342.00	0.35966
343.00	0.35223
344.00	0.34480
345.00	0.33889
346.00	0.33298
347.00	0.32857
348.00	0.32416
349.00	0.32181
350.00	0.31947
351.00	0.31731
352.00	0.31515
353.00	0.31406
354.00	0.31298
355.00	0.31258
356.00	0.31219
357.00	0.31304
358.00	0.31388
359.00	0.31558
360.00	0.31728
361.00	0.31916
362.00	0.32104
363.00	0.32382
364.00	0.32660
365.00	0.33000
366.00	0.33340
367.00	0.33696
368.00	0.34051
369.00	0.34403
370.00	0.34755
371.00	0.35217
372.00	0.35680
373.00	0.36165
374.00	0.36650
375.00	0.37130
376.00	0.37610
377.00	0.38139
378.00	0.38669
379.00	0.39212
380.00	0.39756
381.00	0.40271
382.00	0.40787
383.00	0.41339
