Wavelength (nm)	Eur J Inorg Chem 2021_1904, DPiCC 1 abs [Z]
250.00	0.27552
251.00	0.27340
252.00	0.27129
253.00	0.26917
254.00	0.26705
255.00	0.26467
256.00	0.26172
257.00	0.25876
258.00	0.25581
259.00	0.25285
260.00	0.24990
261.00	0.24741
262.00	0.24538
263.00	0.24335
264.00	0.24132
265.00	0.23929
266.00	0.23726
267.00	0.23524
268.00	0.23476
269.00	0.23463
270.00	0.23449
271.00	0.23436
272.00	0.23422
273.00	0.23409
274.00	0.23411
275.00	0.23520
276.00	0.23629
277.00	0.23737
278.00	0.23846
279.00	0.23955
280.00	0.24109
281.00	0.24358
282.00	0.24606
283.00	0.24855
284.00	0.25104
285.00	0.25353
286.00	0.25662
287.00	0.26028
288.00	0.26394
289.00	0.26760
290.00	0.27127
291.00	0.27493
292.00	0.27859
293.00	0.28225
294.00	0.28636
295.00	0.29122
296.00	0.29608
297.00	0.30094
298.00	0.30580
299.00	0.31066
300.00	0.31552
301.00	0.32030
302.00	0.32503
303.00	0.32977
304.00	0.33450
305.00	0.33923
306.00	0.34397
307.00	0.34870
308.00	0.35259
309.00	0.35647
310.00	0.36036
311.00	0.36425
312.00	0.36813
313.00	0.37156
314.00	0.37301
315.00	0.37445
316.00	0.37590
317.00	0.37735
318.00	0.37744
319.00	0.37725
320.00	0.37705
321.00	0.37686
322.00	0.37644
323.00	0.37501
324.00	0.37357
325.00	0.37214
326.00	0.37116
327.00	0.37084
328.00	0.37053
329.00	0.37022
330.00	0.36991
331.00	0.36960
332.00	0.36981
333.00	0.37040
334.00	0.37098
335.00	0.37156
336.00	0.37215
337.00	0.37072
338.00	0.36917
339.00	0.36762
340.00	0.36607
341.00	0.36452
342.00	0.36276
343.00	0.35946
344.00	0.35617
345.00	0.35288
346.00	0.34959
347.00	0.34569
348.00	0.33900
349.00	0.33230
350.00	0.32561
351.00	0.31655
352.00	0.30392
353.00	0.29129
354.00	0.27867
355.00	0.26604
356.00	0.25232
357.00	0.23824
358.00	0.22416
359.00	0.21008
360.00	0.19600
361.00	0.18248
362.00	0.16910
363.00	0.15571
364.00	0.14249
365.00	0.13462
366.00	0.12675
367.00	0.11887
368.00	0.11100
369.00	0.10612
370.00	0.10271
371.00	0.099307
372.00	0.095901
373.00	0.092495
374.00	0.089089
375.00	0.086931
376.00	0.085714
377.00	0.084497
378.00	0.083280
379.00	0.082063
380.00	0.080846
381.00	0.079629
382.00	0.079997
383.00	0.080562
384.00	0.081127
385.00	0.081691
386.00	0.082256
387.00	0.082820
388.00	0.083385
389.00	0.083950
390.00	0.084514
391.00	0.085302
392.00	0.086635
393.00	0.087969
394.00	0.089302
395.00	0.090636
396.00	0.091969
397.00	0.093302
398.00	0.094636
399.00	0.096104
400.00	0.098280
401.00	0.10046
402.00	0.10263
403.00	0.10481
404.00	0.10698
405.00	0.10916
406.00	0.11134
407.00	0.11351
408.00	0.11600
409.00	0.11887
410.00	0.12175
411.00	0.12462
412.00	0.12750
413.00	0.13038
414.00	0.13325
415.00	0.13613
416.00	0.14022
417.00	0.14516
418.00	0.15010
419.00	0.15503
420.00	0.15997
421.00	0.16491
422.00	0.16985
423.00	0.17478
424.00	0.17972
425.00	0.18466
426.00	0.19029
427.00	0.19621
428.00	0.20213
429.00	0.20805
430.00	0.21397
431.00	0.21989
432.00	0.22581
433.00	0.23172
434.00	0.23764
435.00	0.24356
436.00	0.24948
437.00	0.25540
438.00	0.26291
439.00	0.27202
440.00	0.28113
441.00	0.29024
442.00	0.29934
443.00	0.30845
444.00	0.31756
445.00	0.32667
446.00	0.33577
447.00	0.34488
448.00	0.35399
449.00	0.36309
450.00	0.37277
451.00	0.38376
452.00	0.39476
453.00	0.40575
454.00	0.41674
455.00	0.42774
456.00	0.43873
457.00	0.44972
458.00	0.46072
459.00	0.47171
460.00	0.48271
461.00	0.49370
462.00	0.50569
463.00	0.51771
464.00	0.52974
465.00	0.54177
466.00	0.55380
467.00	0.56583
468.00	0.57786
469.00	0.58988
470.00	0.60191
471.00	0.61394
472.00	0.62597
473.00	0.64065
474.00	0.65555
475.00	0.67046
476.00	0.68537
477.00	0.70028
478.00	0.71519
479.00	0.73010
480.00	0.74501
481.00	0.75991
482.00	0.77482
483.00	0.78966
484.00	0.80447
485.00	0.81928
486.00	0.83410
487.00	0.84891
488.00	0.85575
489.00	0.86061
490.00	0.86547
491.00	0.87032
492.00	0.87474
493.00	0.87667
494.00	0.87859
495.00	0.88052
496.00	0.88244
497.00	0.88437
498.00	0.88627
499.00	0.88765
500.00	0.88903
501.00	0.89041
502.00	0.89179
503.00	0.89317
504.00	0.89706
505.00	0.90150
506.00	0.90594
507.00	0.91038
508.00	0.91738
509.00	0.92524
510.00	0.93309
511.00	0.94095
512.00	0.94880
513.00	0.95664
514.00	0.96440
515.00	0.97216
516.00	0.97943
517.00	0.98563
518.00	0.99184
519.00	0.99627
520.00	0.99813
521.00	1.0000
522.00	0.99681
523.00	0.99361
524.00	0.98914
525.00	0.97886
526.00	0.96857
527.00	0.95676
528.00	0.94102
529.00	0.92527
530.00	0.90953
531.00	0.89378
532.00	0.87130
533.00	0.84824
534.00	0.82518
535.00	0.80212
536.00	0.77905
537.00	0.75599
538.00	0.73293
539.00	0.70937
540.00	0.68491
541.00	0.66045
542.00	0.63600
543.00	0.61154
544.00	0.58708
545.00	0.56262
546.00	0.54122
547.00	0.51990
548.00	0.49859
549.00	0.47727
550.00	0.45596
551.00	0.43464
552.00	0.41463
553.00	0.39559
554.00	0.37655
555.00	0.35752
556.00	0.33848
557.00	0.31944
558.00	0.30041
559.00	0.28246
560.00	0.26693
561.00	0.25141
562.00	0.23589
563.00	0.22036
564.00	0.20484
565.00	0.19039
566.00	0.18021
567.00	0.17004
568.00	0.15986
569.00	0.14969
570.00	0.13952
571.00	0.12934
572.00	0.11917
573.00	0.10899
574.00	0.098820
575.00	0.091343
576.00	0.085590
577.00	0.079837
578.00	0.074084
579.00	0.068331
580.00	0.062579
581.00	0.058548
582.00	0.054947
583.00	0.051347
584.00	0.047747
585.00	0.044146
586.00	0.040974
587.00	0.038905
588.00	0.036835
589.00	0.034765
590.00	0.032695
591.00	0.030625
592.00	0.028683
593.00	0.027364
594.00	0.026045
595.00	0.024727
596.00	0.023408
597.00	0.022089
598.00	0.020770
599.00	0.019451
600.00	0.018133
601.00	0.016814
602.00	0.015978
603.00	0.015493
604.00	0.015007
605.00	0.014521
606.00	0.014035
607.00	0.013550
608.00	0.013064
609.00	0.012578
610.00	0.012093
611.00	0.011685
612.00	0.011478
613.00	0.011271
614.00	0.011063
615.00	0.010856
616.00	0.010649
617.00	0.010442
618.00	0.010235
619.00	0.010027
620.00	0.0098203
621.00	0.0096131
622.00	0.0094059
623.00	0.0091987
624.00	0.0089949
625.00	0.0088046
626.00	0.0086143
627.00	0.0084240
628.00	0.0082337
629.00	0.0080434
630.00	0.0078530
631.00	0.0076627
632.00	0.0074724
633.00	0.0072821
634.00	0.0070918
635.00	0.0069015
636.00	0.0067111
637.00	0.0065208
638.00	0.0063305
639.00	0.0062251
640.00	0.0061232
641.00	0.0060213
642.00	0.0059194
643.00	0.0058175
644.00	0.0057156
645.00	0.0056137
646.00	0.0055118
647.00	0.0054099
648.00	0.0053080
649.00	0.0052061
650.00	0.0051042
651.00	0.0050023
652.00	0.0049004
653.00	0.0047985
654.00	0.0046966
655.00	0.0045947
656.00	0.0045037
657.00	0.0044491
658.00	0.0043945
659.00	0.0043400
660.00	0.0042854
661.00	0.0042309
662.00	0.0041763
663.00	0.0041218
664.00	0.0040672
665.00	0.0040127
666.00	0.0039581
667.00	0.0039036
668.00	0.0038490
669.00	0.0037945
670.00	0.0037399
671.00	0.0036854
672.00	0.0036308
673.00	0.0036128
674.00	0.0036128
675.00	0.0036128
676.00	0.0036128
677.00	0.0036128
678.00	0.0036128
679.00	0.0036128
680.00	0.0036128
681.00	0.0036128
682.00	0.0036128
683.00	0.0036128
684.00	0.0036128
685.00	0.0036128
686.00	0.0036128
687.00	0.0036128
688.00	0.0036128
689.00	0.0036128
690.00	0.0036128
691.00	0.0036128
692.00	0.0036128
693.00	0.0036128
694.00	0.0036128
695.00	0.0036128
696.00	0.0036128
697.00	0.0036128
698.00	0.0036128
699.00	0.0036128
700.00	0.0036128
