Wavelength (nm)	Angew 2016_15760, Z1-Me (CHCl3) ems [Z]
430.00	0.0061300
431.00	0.0065086
432.00	0.0068872
433.00	0.0072658
434.00	0.0076444
435.00	0.0080230
436.00	0.0084017
437.00	0.0088603
438.00	0.0097096
439.00	0.010559
440.00	0.011408
441.00	0.012257
442.00	0.013107
443.00	0.013985
444.00	0.015197
445.00	0.016409
446.00	0.017622
447.00	0.018834
448.00	0.020046
449.00	0.021258
450.00	0.022487
451.00	0.023723
452.00	0.024960
453.00	0.026196
454.00	0.027433
455.00	0.026973
456.00	0.026090
457.00	0.025207
458.00	0.024324
459.00	0.023441
460.00	0.024841
461.00	0.026439
462.00	0.028038
463.00	0.029636
464.00	0.031235
465.00	0.032834
466.00	0.034432
467.00	0.035765
468.00	0.037071
469.00	0.038377
470.00	0.039683
471.00	0.040989
472.00	0.042295
473.00	0.043601
474.00	0.044907
475.00	0.045789
476.00	0.046666
477.00	0.047544
478.00	0.048421
479.00	0.049299
480.00	0.050176
481.00	0.051054
482.00	0.051931
483.00	0.052745
484.00	0.053202
485.00	0.053658
486.00	0.054114
487.00	0.054570
488.00	0.055026
489.00	0.055482
490.00	0.055938
491.00	0.056394
492.00	0.056850
493.00	0.057500
494.00	0.058233
495.00	0.058967
496.00	0.059700
497.00	0.060433
498.00	0.061166
499.00	0.061899
500.00	0.062632
501.00	0.063276
502.00	0.063820
503.00	0.064363
504.00	0.064907
505.00	0.065450
506.00	0.065994
507.00	0.066537
508.00	0.067081
509.00	0.067331
510.00	0.067331
511.00	0.067331
512.00	0.067331
513.00	0.067331
514.00	0.067331
515.00	0.067331
516.00	0.067331
517.00	0.067540
518.00	0.068213
519.00	0.068887
520.00	0.069560
521.00	0.070234
522.00	0.070907
523.00	0.071580
524.00	0.073112
525.00	0.074728
526.00	0.076344
527.00	0.077961
528.00	0.079577
529.00	0.081193
530.00	0.083210
531.00	0.085612
532.00	0.088015
533.00	0.090417
534.00	0.092819
535.00	0.095222
536.00	0.097867
537.00	0.10086
538.00	0.10386
539.00	0.10685
540.00	0.10984
541.00	0.11342
542.00	0.11892
543.00	0.12443
544.00	0.12993
545.00	0.13544
546.00	0.14094
547.00	0.14689
548.00	0.15297
549.00	0.15906
550.00	0.16515
551.00	0.17124
552.00	0.17733
553.00	0.18342
554.00	0.18950
555.00	0.19756
556.00	0.20605
557.00	0.21454
558.00	0.22302
559.00	0.23151
560.00	0.24000
561.00	0.24849
562.00	0.25697
563.00	0.26598
564.00	0.27625
565.00	0.28652
566.00	0.29678
567.00	0.30705
568.00	0.31732
569.00	0.32759
570.00	0.33786
571.00	0.34813
572.00	0.35850
573.00	0.36949
574.00	0.38047
575.00	0.39146
576.00	0.40245
577.00	0.41343
578.00	0.42442
579.00	0.43541
580.00	0.44639
581.00	0.45738
582.00	0.46837
583.00	0.47992
584.00	0.49213
585.00	0.50433
586.00	0.51653
587.00	0.52873
588.00	0.54093
589.00	0.55313
590.00	0.56533
591.00	0.57753
592.00	0.58973
593.00	0.60168
594.00	0.61354
595.00	0.62539
596.00	0.63725
597.00	0.64910
598.00	0.66096
599.00	0.67281
600.00	0.68466
601.00	0.69652
602.00	0.70837
603.00	0.72023
604.00	0.73101
605.00	0.74142
606.00	0.75183
607.00	0.76224
608.00	0.77264
609.00	0.78305
610.00	0.79346
611.00	0.80387
612.00	0.81393
613.00	0.82268
614.00	0.83144
615.00	0.84019
