Wavelength (nm)	Angew 2016_15760, Z1-Me (CHCl3) abs [Z]
250.00	0.49151
251.00	0.46753
252.00	0.44912
253.00	0.43225
254.00	0.41953
255.00	0.40681
256.00	0.39465
257.00	0.38551
258.00	0.38087
259.00	0.37622
260.00	0.37445
261.00	0.37292
262.00	0.37367
263.00	0.37574
264.00	0.37781
265.00	0.38097
266.00	0.38415
267.00	0.38725
268.00	0.38994
269.00	0.39262
270.00	0.39531
271.00	0.39757
272.00	0.39929
273.00	0.40101
274.00	0.40274
275.00	0.40381
276.00	0.40392
277.00	0.40402
278.00	0.40413
279.00	0.40423
280.00	0.40427
281.00	0.40427
282.00	0.40427
283.00	0.40427
284.00	0.40436
285.00	0.40614
286.00	0.40792
287.00	0.40970
288.00	0.41148
289.00	0.41377
290.00	0.41734
291.00	0.42090
292.00	0.42446
293.00	0.42960
294.00	0.43485
295.00	0.44010
296.00	0.44616
297.00	0.45490
298.00	0.46363
299.00	0.47237
300.00	0.48168
301.00	0.49205
302.00	0.50241
303.00	0.51278
304.00	0.52315
305.00	0.53392
306.00	0.54497
307.00	0.55602
308.00	0.56708
309.00	0.57813
310.00	0.58918
311.00	0.60000
312.00	0.61066
313.00	0.62132
314.00	0.63133
315.00	0.64039
316.00	0.64972
317.00	0.65932
318.00	0.66784
319.00	0.67141
320.00	0.67497
321.00	0.67619
322.00	0.67740
323.00	0.67383
324.00	0.66971
325.00	0.66333
326.00	0.65585
327.00	0.64485
328.00	0.63384
329.00	0.62284
330.00	0.61009
331.00	0.59713
332.00	0.58416
333.00	0.57120
334.00	0.55567
335.00	0.53883
336.00	0.52199
337.00	0.50515
338.00	0.48678
339.00	0.46798
340.00	0.44812
341.00	0.42112
342.00	0.39413
343.00	0.36487
344.00	0.33518
345.00	0.30757
346.00	0.28173
347.00	0.25622
348.00	0.23511
349.00	0.21399
350.00	0.19873
351.00	0.18511
352.00	0.17408
353.00	0.16354
354.00	0.15831
355.00	0.15367
356.00	0.15045
357.00	0.14912
358.00	0.14779
359.00	0.14771
360.00	0.14928
361.00	0.15086
362.00	0.15310
363.00	0.15725
364.00	0.16141
365.00	0.16584
366.00	0.17108
367.00	0.17632
368.00	0.18156
369.00	0.18811
370.00	0.19572
