Wavelength (nm)	A17 abs e
222.00	3123.3
223.00	3065.2
224.00	3063.3
225.00	3106.6
226.00	3188.7
227.00	3314.0
228.00	3480.8
229.00	3689.2
230.00	3941.1
231.00	4234.6
232.00	4574.7
233.00	4967.4
234.00	5407.0
235.00	5904.6
236.00	6435.5
237.00	7019.9
238.00	7646.8
239.00	8300.0
240.00	8987.3
241.00	9697.3
242.00	10402
243.00	11119
244.00	11818
245.00	12482
246.00	13107
247.00	13674
248.00	14170
249.00	14547
250.00	14805
251.00	14900
252.00	14855
253.00	14689
254.00	14390
255.00	13907
256.00	13287
257.00	12552
258.00	11696
259.00	10767
260.00	9764.3
261.00	8714.7
262.00	7692.9
263.00	6660.8
264.00	5683.5
265.00	4792.7
266.00	4000.7
267.00	3315.3
268.00	2745.2
269.00	2275.9
270.00	1910.1
271.00	1637.2
272.00	1434.2
273.00	1294.1
274.00	1202.1
275.00	1148.1
276.00	1127.9
277.00	1128.9
278.00	1146.4
279.00	1179.1
280.00	1225.2
281.00	1282.8
282.00	1345.4
283.00	1410.3
284.00	1480.0
285.00	1556.2
286.00	1626.1
287.00	1702.8
288.00	1777.2
289.00	1849.1
290.00	1924.8
291.00	1991.7
292.00	2047.5
293.00	2097.1
294.00	2142.9
295.00	2178.1
296.00	2208.6
297.00	2236.1
298.00	2252.1
299.00	2249.8
300.00	2232.8
301.00	2210.1
302.00	2171.4
303.00	2118.9
304.00	2039.7
305.00	1931.2
306.00	1811.7
307.00	1689.6
308.00	1574.0
309.00	1490.9
310.00	1426.6
311.00	1354.4
312.00	1231.8
313.00	1065.7
314.00	881.28
315.00	696.22
316.00	535.32
317.00	397.55
318.00	287.72
319.00	201.02
320.00	146.72
321.00	105.98
322.00	77.101
323.00	58.354
324.00	48.697
325.00	38.465
326.00	31.050
327.00	32.347
328.00	27.921
329.00	25.178
330.00	23.889
331.00	24.324
332.00	19.135
333.00	19.915
334.00	21.450
335.00	20.621
336.00	23.052
337.00	21.311
338.00	20.145
339.00	20.391
340.00	19.003
341.00	21.491
342.00	20.333
343.00	19.619
344.00	21.812
345.00	21.188
346.00	22.649
347.00	17.845
348.00	18.732
349.00	21.483
350.00	19.636
