Wavelength (nm)	T03 abs e
300.00	5262.0
301.00	5583.8
302.00	5941.8
303.00	6345.3
304.00	6754.6
305.00	7179.9
306.00	7652.4
307.00	8116.6
308.00	8589.9
309.00	9104.9
310.00	9622.7
311.00	10184
312.00	10750
313.00	11348
314.00	11955
315.00	12577
316.00	13198
317.00	13822
318.00	14408
319.00	15007
320.00	15561
321.00	16101
322.00	16577
323.00	17027
324.00	17455
325.00	17824
326.00	18143
327.00	18426
328.00	18661
329.00	18848
330.00	18994
331.00	19108
332.00	19188
333.00	19282
334.00	19361
335.00	19445
336.00	19584
337.00	19737
338.00	19935
339.00	20170
340.00	20490
341.00	20838
342.00	21286
343.00	21774
344.00	22319
345.00	22950
346.00	23646
347.00	24399
348.00	25211
349.00	26085
350.00	27025
351.00	27992
352.00	28993
353.00	30047
354.00	31142
355.00	32228
356.00	33399
357.00	34585
358.00	35797
359.00	37114
360.00	38513
361.00	39967
362.00	41505
363.00	42903
364.00	44376
365.00	45598
366.00	46964
367.00	48490
368.00	50033
369.00	51328
370.00	52548
371.00	53611
372.00	54518
373.00	55501
374.00	56403
375.00	57202
376.00	57956
377.00	58790
378.00	59606
379.00	60487
380.00	61320
381.00	62159
382.00	63148
383.00	64110
384.00	65268
385.00	66553
386.00	67823
387.00	69414
388.00	70972
389.00	72767
390.00	74525
391.00	76126
392.00	77960
393.00	79795
394.00	81208
395.00	82776
396.00	84290
397.00	85655
398.00	86661
399.00	87838
400.00	88540
401.00	89022
402.00	89723
403.00	90104
404.00	90656
405.00	91465
406.00	92008
407.00	92310
408.00	92650
409.00	92834
410.00	92955
411.00	92616
412.00	91700
413.00	90713
414.00	88977
415.00	86968
416.00	84397
417.00	81311
418.00	77937
419.00	74219
420.00	70108
421.00	65788
422.00	61449
423.00	57121
424.00	52551
425.00	47998
426.00	43676
427.00	39155
428.00	35161
429.00	31330
430.00	27779
431.00	24845
432.00	22134
433.00	19391
434.00	17085
435.00	15194
436.00	13377
437.00	11901
438.00	10573
439.00	9477.0
440.00	8496.6
441.00	7604.8
442.00	6919.6
443.00	6299.7
444.00	5787.9
445.00	5333.8
446.00	4921.5
447.00	4599.6
448.00	4306.3
449.00	4070.5
450.00	3857.2
451.00	3676.5
452.00	3492.5
453.00	3343.5
454.00	3222.9
455.00	3135.0
456.00	3066.8
457.00	3010.7
458.00	2980.2
459.00	2974.4
460.00	2999.2
461.00	3022.1
462.00	3041.8
463.00	3133.6
464.00	3212.5
465.00	3301.1
466.00	3339.8
467.00	3365.5
468.00	3429.9
469.00	3458.7
470.00	3468.9
471.00	3495.9
472.00	3527.1
473.00	3524.5
474.00	3511.9
475.00	3528.7
476.00	3508.5
477.00	3490.4
478.00	3454.3
479.00	3437.1
