Wavelength (nm)	5, Cj-PleB-Butylester, CJPLEBBUTYLESTER
215.00	0.48522
216.00	0.60953
217.00	0.69618
218.00	0.78283
219.00	0.83833
220.00	0.89383
221.00	0.92602
222.00	0.95820
223.00	0.97336
224.00	0.98851
225.00	0.99349
226.00	0.99847
227.00	0.99924
228.00	1.0000
229.00	0.99915
230.00	0.99830
231.00	0.99681
232.00	0.99533
233.00	0.99320
234.00	0.99108
235.00	0.98855
236.00	0.98601
237.00	0.98180
238.00	0.97758
239.00	0.97156
240.00	0.96554
241.00	0.95643
242.00	0.94732
243.00	0.93423
244.00	0.92114
245.00	0.90202
246.00	0.88290
247.00	0.85794
248.00	0.83299
249.00	0.80544
250.00	0.77789
251.00	0.74924
252.00	0.72058
253.00	0.69453
254.00	0.66848
255.00	0.64515
256.00	0.62182
257.00	0.60372
258.00	0.58562
259.00	0.57190
260.00	0.55818
261.00	0.54825
262.00	0.53832
263.00	0.53094
264.00	0.52356
265.00	0.51831
266.00	0.51307
267.00	0.50900
268.00	0.50493
269.00	0.50187
270.00	0.49880
271.00	0.49623
272.00	0.49366
273.00	0.49154
274.00	0.48941
275.00	0.48800
276.00	0.48658
277.00	0.48604
278.00	0.48550
279.00	0.48553
280.00	0.48555
281.00	0.48700
282.00	0.48845
283.00	0.49151
284.00	0.49458
285.00	0.49982
286.00	0.50505
287.00	0.51190
288.00	0.51874
289.00	0.52804
290.00	0.53733
291.00	0.54834
292.00	0.55935
293.00	0.57239
294.00	0.58543
295.00	0.59985
296.00	0.61426
297.00	0.62908
298.00	0.64390
299.00	0.65912
300.00	0.67433
301.00	0.68855
302.00	0.70277
303.00	0.71631
304.00	0.72985
305.00	0.74115
306.00	0.75244
307.00	0.76012
308.00	0.76779
309.00	0.77154
310.00	0.77529
311.00	0.77366
312.00	0.77202
313.00	0.76462
314.00	0.75722
315.00	0.74390
316.00	0.73057
317.00	0.71244
318.00	0.69431
319.00	0.67078
320.00	0.64725
321.00	0.61979
322.00	0.59234
323.00	0.56286
324.00	0.53338
325.00	0.50121
326.00	0.46904
327.00	0.43619
328.00	0.40334
329.00	0.37149
330.00	0.33964
331.00	0.30829
332.00	0.27694
333.00	0.24777
334.00	0.21860
335.00	0.19318
336.00	0.16775
337.00	0.14611
338.00	0.12446
339.00	0.10725
340.00	0.090028
341.00	0.076500
342.00	0.062973
343.00	0.052765
344.00	0.042558
345.00	0.035444
346.00	0.028330
347.00	0.023015
348.00	0.017701
349.00	0.014449
350.00	0.011197
351.00	0.0092436
352.00	0.0072902
353.00	0.0056377
354.00	0.0039852
355.00	0.0030941
356.00	0.0022030
357.00	0.0015314
358.00	0.00085977
359.00	0.00061705
360.00	0.00037433
361.00	0.00038596
362.00	0.00039760
363.00	0.00061539
364.00	0.00083317
365.00	0.00073342
366.00	0.00063367
367.00	0.00086642
368.00	0.0010992
369.00	0.00067025
370.00	0.00024133
371.00	0.00048572
372.00	0.00073010
373.00	0.00053725
374.00	0.00034440
375.00	0.00052062
376.00	0.00069685
377.00	0.00070849
378.00	0.00072012
379.00	0.0011690
380.00	0.0016179
381.00	0.0013668
382.00	0.0011158
383.00	0.0010609
384.00	0.0010061
385.00	0.00082984
386.00	0.00065362
387.00	0.00080158
388.00	0.00094954
389.00	0.00096450
390.00	0.00097947
391.00	0.00078496
392.00	0.00059045
393.00	0.00088305
394.00	0.0011756
395.00	0.00089634
396.00	0.00061705
397.00	0.00081156
398.00	0.0010061
399.00	0.0012588
400.00	0.0015115
