Wavelength (nm)	Chem Eur J 2018_17268, Vv_FCC-55 abs [Z]
235.00	1.1704
236.00	1.1591
237.00	1.1477
238.00	1.1364
239.00	1.1251
240.00	1.1138
241.00	1.1020
242.00	1.0898
243.00	1.0777
244.00	1.0652
245.00	1.0495
246.00	1.0339
247.00	1.0194
248.00	1.0068
249.00	0.99420
250.00	0.98160
251.00	0.96900
252.00	0.95925
253.00	0.94975
254.00	0.94024
255.00	0.93074
256.00	0.92230
257.00	0.91511
258.00	0.90791
259.00	0.90072
260.00	0.89351
261.00	0.88437
262.00	0.87523
263.00	0.86608
264.00	0.85655
265.00	0.84442
266.00	0.83229
267.00	0.82017
268.00	0.80804
269.00	0.79591
270.00	0.78384
271.00	0.77180
272.00	0.75976
273.00	0.74772
274.00	0.73568
275.00	0.72364
276.00	0.71117
277.00	0.69864
278.00	0.68612
279.00	0.67605
280.00	0.66600
281.00	0.65595
282.00	0.65315
283.00	0.65124
284.00	0.65009
285.00	0.65260
286.00	0.65511
287.00	0.65800
288.00	0.66598
289.00	0.67396
290.00	0.68340
291.00	0.69544
292.00	0.70748
293.00	0.71952
294.00	0.73293
295.00	0.74782
296.00	0.76271
297.00	0.77760
298.00	0.79249
299.00	0.80738
300.00	0.82381
301.00	0.84102
302.00	0.85822
303.00	0.87542
304.00	0.89262
305.00	0.90949
306.00	0.92594
307.00	0.94238
308.00	0.95883
309.00	0.97386
310.00	0.98245
311.00	0.99103
312.00	0.99545
313.00	0.99773
314.00	1.0000
315.00	0.99845
316.00	0.99690
317.00	0.99535
318.00	0.98742
319.00	0.97605
320.00	0.96243
321.00	0.94673
322.00	0.93103
323.00	0.91533
324.00	0.89963
325.00	0.88393
326.00	0.86246
327.00	0.84035
328.00	0.81823
329.00	0.79612
330.00	0.77703
331.00	0.76177
332.00	0.74651
333.00	0.73125
334.00	0.71600
335.00	0.70074
336.00	0.68916
337.00	0.68246
338.00	0.67577
339.00	0.67059
340.00	0.66851
341.00	0.66642
342.00	0.66600
343.00	0.66778
344.00	0.66956
345.00	0.67135
346.00	0.67522
347.00	0.68080
348.00	0.68638
349.00	0.69213
350.00	0.69808
351.00	0.70402
352.00	0.70997
353.00	0.71812
354.00	0.72636
355.00	0.73218
356.00	0.73494
357.00	0.73770
358.00	0.73643
359.00	0.73485
360.00	0.73328
361.00	0.72706
362.00	0.71811
363.00	0.70694
364.00	0.69080
365.00	0.67467
366.00	0.65907
367.00	0.64361
368.00	0.62815
369.00	0.61466
370.00	0.60142
371.00	0.58819
372.00	0.57496
373.00	0.56173
374.00	0.54744
375.00	0.53257
376.00	0.51771
377.00	0.49960
378.00	0.48035
379.00	0.46111
380.00	0.44186
381.00	0.42206
382.00	0.40089
383.00	0.37972
384.00	0.35854
385.00	0.33737
386.00	0.31620
387.00	0.29435
388.00	0.26477
389.00	0.23519
390.00	0.20561
391.00	0.17603
392.00	0.14704
393.00	0.12920
394.00	0.11136
395.00	0.093528
396.00	0.077143
397.00	0.067841
398.00	0.058540
399.00	0.049238
400.00	0.039937
401.00	0.032327
402.00	0.026280
403.00	0.020232
404.00	0.015002
405.00	0.012505
406.00	0.010007
407.00	0.0075104
408.00	0.0050133
409.00	0.0033879
410.00	0.0031849
411.00	0.0029818
412.00	0.0027787
413.00	0.0026000
414.00	0.0026000
415.00	0.0026000
416.00	0.0026000
417.00	0.0026000
418.00	0.0026000
419.00	0.0026000
420.00	0.0026000
421.00	0.0025934
422.00	0.0025546
423.00	0.0025158
424.00	0.0024769
425.00	0.0024381
426.00	0.0023993
427.00	0.0023605
428.00	0.0023216
429.00	0.0022828
430.00	0.0022440
431.00	0.0022052
432.00	0.0021663
433.00	0.0021275
434.00	0.0020887
435.00	0.0020499
436.00	0.0020110
437.00	0.0019722
438.00	0.0019334
439.00	0.0018946
440.00	0.0018557
441.00	0.0018169
442.00	0.0017781
443.00	0.0017393
444.00	0.0017350
445.00	0.0017350
446.00	0.0017350
447.00	0.0017350
448.00	0.0017350
449.00	0.0017350
450.00	0.0017350
451.00	0.0017350
452.00	0.0017350
453.00	0.0017350
454.00	0.0017350
455.00	0.0017350
456.00	0.0017350
457.00	0.0017350
458.00	0.0017350
459.00	0.0017350
460.00	0.0017350
461.00	0.0017350
462.00	0.0017350
463.00	0.0017350
464.00	0.0017350
465.00	0.0017350
466.00	0.0017350
467.00	0.0017350
468.00	0.0017350
469.00	0.0017350
470.00	0.0017350
471.00	0.0017350
472.00	0.0017350
473.00	0.0017350
474.00	0.0017350
475.00	0.0017350
476.00	0.0017350
477.00	0.0017350
478.00	0.0017350
479.00	0.0017350
480.00	0.0017350
481.00	0.0017350
482.00	0.0017350
483.00	0.0017350
484.00	0.0017350
485.00	0.0017350
486.00	0.0017350
487.00	0.0017350
488.00	0.0017350
489.00	0.0017350
490.00	0.0017350
491.00	0.0017350
492.00	0.0017350
493.00	0.0017350
494.00	0.0017350
495.00	0.0017350
496.00	0.0017350
497.00	0.0017350
498.00	0.0017350
499.00	0.0017350
500.00	0.0017350
