Wavelength (nm)	E03 abs e
200.00	6772.0
201.00	5175.1
202.00	4080.3
203.00	3409.4
204.00	3046.1
205.00	2895.9
206.00	2862.4
207.00	2925.0
208.00	3066.3
209.00	3236.3
210.00	3443.6
211.00	3677.4
212.00	3905.6
213.00	4156.1
214.00	4422.1
215.00	4700.3
216.00	4992.9
217.00	5266.9
218.00	5557.1
219.00	5869.8
220.00	6188.0
221.00	6494.5
222.00	6745.3
223.00	6958.4
224.00	7155.5
225.00	7336.9
226.00	7465.4
227.00	7500.1
228.00	7453.8
229.00	7359.1
230.00	7141.8
231.00	6744.2
232.00	6254.3
233.00	5789.9
234.00	5453.8
235.00	5149.0
236.00	4705.5
237.00	4044.7
238.00	3294.1
239.00	2629.6
240.00	2118.0
241.00	1784.9
242.00	1594.7
243.00	1501.7
244.00	1473.1
245.00	1487.8
246.00	1532.5
247.00	1596.0
248.00	1673.5
249.00	1758.2
250.00	1852.8
251.00	1957.6
252.00	2069.2
253.00	2182.5
254.00	2294.7
255.00	2404.5
256.00	2514.7
257.00	2629.4
258.00	2752.9
259.00	2877.2
260.00	2987.7
261.00	3069.3
262.00	3121.6
263.00	3154.0
264.00	3191.7
265.00	3239.6
266.00	3291.8
267.00	3322.3
268.00	3294.5
269.00	3201.1
270.00	3051.3
271.00	2883.7
272.00	2718.8
273.00	2578.0
274.00	2456.7
275.00	2327.4
276.00	2163.7
277.00	1954.4
278.00	1715.6
279.00	1475.1
280.00	1252.3
281.00	1058.5
282.00	897.64
283.00	763.70
284.00	652.22
285.00	560.15
286.00	480.08
287.00	412.19
288.00	353.91
289.00	304.77
290.00	260.77
291.00	225.38
292.00	193.56
293.00	166.81
294.00	144.37
295.00	125.40
296.00	109.83
297.00	96.601
298.00	82.719
299.00	72.739
300.00	62.419
301.00	51.023
302.00	43.884
303.00	36.292
304.00	29.680
305.00	26.685
306.00	22.940
307.00	19.068
308.00	15.437
309.00	14.725
310.00	16.222
311.00	15.212
312.00	15.891
313.00	13.991
314.00	14.958
315.00	17.159
316.00	16.489
317.00	15.458
318.00	18.203
319.00	18.143
320.00	18.605
321.00	18.618
322.00	21.290
323.00	21.015
324.00	18.834
325.00	20.251
326.00	21.808
327.00	22.614
328.00	20.145
329.00	20.930
330.00	21.808
331.00	22.609
332.00	22.601
333.00	20.752
334.00	21.922
335.00	21.104
336.00	21.723
337.00	20.959
338.00	19.823
339.00	19.123
340.00	19.619
341.00	18.482
342.00	17.202
343.00	15.301
344.00	15.229
345.00	14.428
346.00	12.583
347.00	12.430
348.00	12.256
349.00	10.543
350.00	10.055
