Wavelength (nm)	T06 Chl e6 abs e
679.00	6020.8
680.00	4872.6
681.00	3964.8
682.00	3250.3
683.00	2677.4
684.00	2225.4
685.00	1840.1
686.00	1559.0
687.00	1340.5
688.00	1176.9
689.00	1029.2
690.00	937.32
691.00	840.74
692.00	774.14
693.00	710.16
694.00	657.87
695.00	620.45
696.00	579.32
697.00	563.91
698.00	523.45
699.00	493.04
700.00	482.18
701.00	450.80
702.00	429.75
703.00	412.55
704.00	377.46
705.00	354.77
706.00	328.21
707.00	325.47
708.00	291.89
709.00	278.82
710.00	259.69
711.00	222.12
712.00	225.98
713.00	214.42
714.00	207.55
715.00	173.29
716.00	171.77
717.00	165.03
718.00	162.42
719.00	145.63
720.00	125.27
721.00	129.53
722.00	116.74
723.00	117.42
724.00	121.00
725.00	110.41
726.00	109.99
727.00	103.80
728.00	90.043
729.00	100.78
730.00	84.402
731.00	94.721
732.00	84.127
733.00	79.861
734.00	80.686
735.00	67.066
736.00	67.891
737.00	66.378
738.00	62.663
739.00	74.771
740.00	67.478
741.00	68.304
742.00	70.643
743.00	53.031
744.00	55.508
745.00	68.992
746.00	65.690
747.00	66.515
748.00	67.203
749.00	69.267
750.00	67.754
751.00	54.820
752.00	61.012
753.00	60.186
754.00	54.270
755.00	54.545
756.00	71.881
757.00	53.031
758.00	49.454
759.00	53.582
760.00	48.353
761.00	47.665
762.00	45.877
763.00	63.075
764.00	56.609
765.00	50.692
766.00	58.260
767.00	39.410
768.00	56.196
769.00	59.636
770.00	39.961
771.00	49.041
772.00	53.995
773.00	54.270
774.00	34.044
775.00	36.934
776.00	54.132
777.00	33.081
778.00	42.849
779.00	43.262
780.00	60.461
781.00	41.611
782.00	43.125
783.00	57.159
784.00	34.320
785.00	53.719
786.00	50.280
787.00	42.988
788.00	36.246
789.00	51.380
790.00	46.289
791.00	53.582
792.00	41.887
793.00	47.803
794.00	34.594
795.00	51.380
796.00	47.528
797.00	54.682
798.00	43.262
799.00	48.078
800.00	40.374
