Wavelength (nm)	FL031 [8] 480-39-7, Pinocembrin [C]
210.00	24007
211.00	24130
212.00	24065
213.00	23732
214.00	23197
215.00	22442
216.00	21523
217.00	20500
218.00	19422
219.00	18429
220.00	17582
221.00	16919
222.00	16388
223.00	15941
224.00	15530
225.00	15145
226.00	14787
227.00	14483
228.00	14209
229.00	13915
230.00	13504
231.00	12859
232.00	11916
233.00	10711
234.00	9482.1
235.00	8383.2
236.00	7497.3
237.00	6719.6
238.00	5915.6
239.00	4954.1
240.00	3806.2
241.00	2679.3
242.00	1787.2
243.00	1166.7
244.00	797.01
245.00	599.85
246.00	504.00
247.00	469.21
248.00	471.97
249.00	505.92
250.00	566.65
251.00	649.52
252.00	727.82
253.00	815.27
254.00	927.81
255.00	1071.2
256.00	1242.5
257.00	1433.7
258.00	1621.4
259.00	1813.5
260.00	2045.0
261.00	2319.8
262.00	2618.7
263.00	2957.6
264.00	3302.2
265.00	3670.4
266.00	4085.9
267.00	4555.7
268.00	5056.5
269.00	5566.0
270.00	6112.8
271.00	6685.8
272.00	7315.2
273.00	7985.0
274.00	8681.2
275.00	9401.9
276.00	10136
277.00	10876
278.00	11613
279.00	12339
280.00	13041
281.00	13713
282.00	14350
283.00	14937
284.00	15471
285.00	15948
286.00	16337
287.00	16628
288.00	16828
289.00	16900
290.00	16839
291.00	16641
292.00	16312
293.00	15868
294.00	15326
295.00	14696
296.00	14003
297.00	13278
298.00	12503
299.00	11744
300.00	11000
301.00	10270
302.00	9567.9
303.00	8887.7
304.00	8262.6
305.00	7666.1
306.00	7106.9
307.00	6587.3
308.00	6109.6
309.00	5680.1
310.00	5299.2
311.00	4958.2
312.00	4671.6
313.00	4433.8
314.00	4240.5
315.00	4088.6
316.00	3965.2
317.00	3869.8
318.00	3786.3
319.00	3723.1
320.00	3668.9
321.00	3615.6
322.00	3562.9
323.00	3521.3
324.00	3479.7
325.00	3435.5
326.00	3393.8
327.00	3345.5
328.00	3302.4
329.00	3253.9
330.00	3199.7
331.00	3140.3
332.00	3072.9
333.00	3001.4
334.00	2920.2
335.00	2834.3
336.00	2748.3
337.00	2654.4
338.00	2551.2
339.00	2437.7
340.00	2332.4
341.00	2218.7
342.00	2107.2
343.00	1987.0
344.00	1871.2
345.00	1757.6
346.00	1644.1
347.00	1531.4
348.00	1423.1
349.00	1318.7
350.00	1216.1
351.00	1120.8
352.00	1032.6
353.00	943.61
354.00	863.97
355.00	783.93
356.00	713.04
357.00	647.54
358.00	586.41
359.00	531.20
360.00	476.23
361.00	425.45
362.00	380.71
363.00	341.25
364.00	302.14
365.00	266.84
366.00	242.62
367.00	211.74
368.00	186.66
369.00	160.37
370.00	146.03
371.00	134.67
372.00	116.06
373.00	106.64
374.00	89.254
375.00	81.942
376.00	67.692
377.00	60.072
378.00	54.645
379.00	45.675
380.00	44.343
381.00	45.139
382.00	37.096
383.00	34.935
384.00	35.650
385.00	29.638
386.00	28.273
387.00	24.633
388.00	19.336
389.00	17.842
390.00	12.675
391.00	13.032
392.00	20.068
393.00	19.743
394.00	15.096
395.00	10.530
396.00	17.793
397.00	11.635
398.00	8.7424
399.00	10.725
400.00	10.773
401.00	7.0200
402.00	7.7674
403.00	9.7173
404.00	11.131
405.00	7.1013
406.00	10.286
407.00	10.221
408.00	6.5813
409.00	9.5873
410.00	5.4602
411.00	9.6523
412.00	2.9741
413.00	3.0229
414.00	2.8604
415.00	6.5651
416.00	3.5916
417.00	6.8564
418.00	4.9410
419.00	0.79679
420.00	2.6979
421.00	7.5075
422.00	5.3139
423.00	1.8367
424.00	7.1338
425.00	7.7350
426.00	7.2962
427.00	2.2579
428.00	4.2740
429.00	6.4838
430.00	8.1412
431.00	4.5665
432.00	7.6375
433.00	7.4100
434.00	1.1868
435.00	1.4468
436.00	4.3065
437.00	7.8649
438.00	4.9240
439.00	5.8501
440.00	6.2076
441.00	7.5075
442.00	11.342
443.00	8.0112
444.00	8.9049
445.00	12.398
446.00	12.041
447.00	12.236
448.00	13.000
449.00	8.8074
450.00	4.9240
451.00	9.0186
452.00	9.3111
453.00	8.9049
454.00	9.9285
455.00	7.2126
456.00	13.942
457.00	18.492
458.00	18.508
459.00	8.5474
460.00	10.172
461.00	11.488
462.00	13.552
463.00	11.253
464.00	13.308
465.00	19.385
466.00	15.128
467.00	15.843
468.00	16.964
469.00	9.7985
470.00	17.842
471.00	17.110
472.00	10.400
473.00	19.369
474.00	16.932
475.00	17.110
476.00	12.935
477.00	10.318
478.00	14.462
479.00	15.973
480.00	17.273
481.00	20.003
482.00	18.703
483.00	16.948
484.00	16.444
485.00	15.551
486.00	24.861
487.00	19.044
488.00	15.096
489.00	17.257
490.00	20.149
491.00	18.459
492.00	15.973
493.00	12.561
494.00	13.324
495.00	13.812
496.00	19.336
497.00	12.935
498.00	14.267
499.00	13.487
500.00	18.069
