Wavelength (nm)	11, (Z)-Ep-PxB-2, ZEPPXB2, F
200.00	0.60346
201.00	0.70503
202.00	0.80659
203.00	0.86951
204.00	0.93243
205.00	0.95859
206.00	0.98476
207.00	0.99005
208.00	0.99534
209.00	0.98775
210.00	0.98017
211.00	0.97067
212.00	0.96117
213.00	0.95081
214.00	0.94045
215.00	0.92800
216.00	0.91555
217.00	0.90163
218.00	0.88770
219.00	0.87048
220.00	0.85325
221.00	0.83446
222.00	0.81568
223.00	0.79718
224.00	0.77869
225.00	0.76449
226.00	0.75030
227.00	0.74187
228.00	0.73344
229.00	0.72958
230.00	0.72572
231.00	0.72583
232.00	0.72593
233.00	0.72864
234.00	0.73135
235.00	0.73473
236.00	0.73812
237.00	0.74124
238.00	0.74436
239.00	0.74640
240.00	0.74845
241.00	0.74852
242.00	0.74858
243.00	0.74525
244.00	0.74192
245.00	0.73338
246.00	0.72485
247.00	0.71153
248.00	0.69821
249.00	0.68212
250.00	0.66602
251.00	0.64890
252.00	0.63177
253.00	0.61510
254.00	0.59843
255.00	0.58362
256.00	0.56881
257.00	0.55738
258.00	0.54594
259.00	0.53847
260.00	0.53100
261.00	0.52720
262.00	0.52340
263.00	0.52320
264.00	0.52301
265.00	0.52490
266.00	0.52679
267.00	0.53021
268.00	0.53364
269.00	0.53724
270.00	0.54083
271.00	0.54428
272.00	0.54774
273.00	0.55041
274.00	0.55309
275.00	0.55525
276.00	0.55741
277.00	0.55871
278.00	0.56001
279.00	0.56092
280.00	0.56183
281.00	0.56229
282.00	0.56275
283.00	0.56342
284.00	0.56409
285.00	0.56502
286.00	0.56595
287.00	0.56737
288.00	0.56879
289.00	0.57173
290.00	0.57467
291.00	0.57971
292.00	0.58476
293.00	0.59184
294.00	0.59893
295.00	0.60830
296.00	0.61768
297.00	0.62783
298.00	0.63799
299.00	0.64959
300.00	0.66119
301.00	0.67213
302.00	0.68308
303.00	0.69432
304.00	0.70557
305.00	0.71570
306.00	0.72583
307.00	0.73448
308.00	0.74312
309.00	0.74977
310.00	0.75642
311.00	0.75999
312.00	0.76356
313.00	0.76360
314.00	0.76364
315.00	0.75996
316.00	0.75629
317.00	0.74864
318.00	0.74100
319.00	0.72969
320.00	0.71838
321.00	0.70293
322.00	0.68747
323.00	0.66913
324.00	0.65078
325.00	0.62909
326.00	0.60739
327.00	0.58333
328.00	0.55926
329.00	0.53419
330.00	0.50911
331.00	0.48323
332.00	0.45734
333.00	0.43255
334.00	0.40775
335.00	0.38494
336.00	0.36213
337.00	0.34255
338.00	0.32297
339.00	0.30745
340.00	0.29193
341.00	0.28036
342.00	0.26879
343.00	0.26057
344.00	0.25235
345.00	0.24778
346.00	0.24322
347.00	0.24156
348.00	0.23990
349.00	0.24050
350.00	0.24111
351.00	0.24422
352.00	0.24733
353.00	0.25168
354.00	0.25604
355.00	0.26214
356.00	0.26823
357.00	0.27577
358.00	0.28331
359.00	0.29161
360.00	0.29992
361.00	0.30960
362.00	0.31927
363.00	0.33040
364.00	0.34153
365.00	0.35405
366.00	0.36657
367.00	0.37958
368.00	0.39259
369.00	0.40653
370.00	0.42047
371.00	0.43550
372.00	0.45053
373.00	0.46619
374.00	0.48184
375.00	0.49803
376.00	0.51422
377.00	0.53094
378.00	0.54766
379.00	0.56420
380.00	0.58075
381.00	0.59810
382.00	0.61545
383.00	0.63302
384.00	0.65059
385.00	0.66845
386.00	0.68631
387.00	0.70400
388.00	0.72170
389.00	0.73896
390.00	0.75621
391.00	0.77355
392.00	0.79088
393.00	0.80679
394.00	0.82270
395.00	0.83822
396.00	0.85374
397.00	0.86845
398.00	0.88316
399.00	0.89539
400.00	0.90761
401.00	0.91920
402.00	0.93078
403.00	0.94142
404.00	0.95206
405.00	0.96026
406.00	0.96847
407.00	0.97491
408.00	0.98135
409.00	0.98619
410.00	0.99103
411.00	0.99405
412.00	0.99708
413.00	0.99854
414.00	1.00000
415.00	0.99865
416.00	0.99730
417.00	0.99358
418.00	0.98986
419.00	0.98268
420.00	0.97549
421.00	0.96698
422.00	0.95847
423.00	0.94745
424.00	0.93644
425.00	0.92085
426.00	0.90526
427.00	0.88550
428.00	0.86575
429.00	0.84507
430.00	0.82439
431.00	0.80216
432.00	0.77993
433.00	0.75404
434.00	0.72814
435.00	0.70003
436.00	0.67192
437.00	0.64402
438.00	0.61612
439.00	0.58554
440.00	0.55495
441.00	0.52692
442.00	0.49888
443.00	0.47164
444.00	0.44440
445.00	0.41871
446.00	0.39303
447.00	0.36761
448.00	0.34219
449.00	0.31864
450.00	0.29508
451.00	0.27422
452.00	0.25335
453.00	0.23346
454.00	0.21358
455.00	0.19590
456.00	0.17822
457.00	0.16283
458.00	0.14744
459.00	0.13525
460.00	0.12307
461.00	0.11201
462.00	0.10096
463.00	0.090792
464.00	0.080629
465.00	0.073354
466.00	0.066079
467.00	0.060510
468.00	0.054942
469.00	0.050110
470.00	0.045278
471.00	0.040342
472.00	0.035405
473.00	0.031566
474.00	0.027726
475.00	0.025141
476.00	0.022555
477.00	0.020506
478.00	0.018458
479.00	0.016631
480.00	0.014804
481.00	0.013434
482.00	0.012063
483.00	0.0094371
484.00	0.0068108
485.00	0.0061795
486.00	0.0055482
487.00	0.0060994
488.00	0.0066505
489.00	0.0068317
490.00	0.0070128
491.00	0.0068207
492.00	0.0066286
493.00	0.0060115
494.00	0.0053945
495.00	0.0050651
496.00	0.0047357
497.00	0.0045150
498.00	0.0042944
499.00	0.0040682
500.00	0.0038420
501.00	0.0037860
502.00	0.0037300
503.00	0.0037750
504.00	0.0038201
505.00	0.0038497
506.00	0.0038793
507.00	0.0039782
508.00	0.0040770
509.00	0.0039540
510.00	0.0038310
511.00	0.0038761
512.00	0.0039211
513.00	0.0040715
514.00	0.0042219
515.00	0.0042373
516.00	0.0042526
517.00	0.0042285
518.00	0.0042043
519.00	0.0042384
520.00	0.0042724
521.00	0.0043526
522.00	0.0044327
523.00	0.0043108
524.00	0.0041890
525.00	0.0041879
526.00	0.0041868
527.00	0.0040934
528.00	0.0040001
529.00	0.0040221
530.00	0.0040440
531.00	0.0037838
532.00	0.0035236
533.00	0.0033776
534.00	0.0032316
535.00	0.0031723
536.00	0.0031130
537.00	0.0029549
538.00	0.0027968
539.00	0.0026552
540.00	0.0025135
541.00	0.0023993
542.00	0.0022852
543.00	0.0022390
544.00	0.0021929
545.00	0.0020524
546.00	0.0019119
547.00	0.0019206
548.00	0.0019294
549.00	0.0019239
550.00	0.0019184
