Wavelength (nm)	6, Cj-PleB-Octylester, CJPLEBOCTYLESTER
215.00	0.34110
216.00	0.48590
217.00	0.58863
218.00	0.69136
219.00	0.75923
220.00	0.82710
221.00	0.86824
222.00	0.90938
223.00	0.93303
224.00	0.95668
225.00	0.96829
226.00	0.97991
227.00	0.98661
228.00	0.99331
229.00	0.99589
230.00	0.99848
231.00	0.99924
232.00	1.0000
233.00	0.99866
234.00	0.99731
235.00	0.99333
236.00	0.98934
237.00	0.98276
238.00	0.97618
239.00	0.96699
240.00	0.95780
241.00	0.94409
242.00	0.93038
243.00	0.91202
244.00	0.89366
245.00	0.86976
246.00	0.84587
247.00	0.81709
248.00	0.78832
249.00	0.75907
250.00	0.72982
251.00	0.70223
252.00	0.67463
253.00	0.65093
254.00	0.62722
255.00	0.60760
256.00	0.58799
257.00	0.57325
258.00	0.55851
259.00	0.54772
260.00	0.53694
261.00	0.52878
262.00	0.52062
263.00	0.51475
264.00	0.50888
265.00	0.50391
266.00	0.49894
267.00	0.49532
268.00	0.49169
269.00	0.48848
270.00	0.48526
271.00	0.48273
272.00	0.48020
273.00	0.47818
274.00	0.47616
275.00	0.47492
276.00	0.47367
277.00	0.47347
278.00	0.47327
279.00	0.47436
280.00	0.47545
281.00	0.47798
282.00	0.48051
283.00	0.48505
284.00	0.48958
285.00	0.49606
286.00	0.50255
287.00	0.51086
288.00	0.51918
289.00	0.52999
290.00	0.54079
291.00	0.55314
292.00	0.56549
293.00	0.57912
294.00	0.59275
295.00	0.60722
296.00	0.62168
297.00	0.63566
298.00	0.64965
299.00	0.66391
300.00	0.67818
301.00	0.69016
302.00	0.70214
303.00	0.71253
304.00	0.72291
305.00	0.73028
306.00	0.73764
307.00	0.74065
308.00	0.74366
309.00	0.74160
310.00	0.73954
311.00	0.73120
312.00	0.72286
313.00	0.70829
314.00	0.69371
315.00	0.67376
316.00	0.65381
317.00	0.62961
318.00	0.60540
319.00	0.57723
320.00	0.54905
321.00	0.51806
322.00	0.48706
323.00	0.45623
324.00	0.42541
325.00	0.39458
326.00	0.36376
327.00	0.33387
328.00	0.30398
329.00	0.27642
330.00	0.24886
331.00	0.22319
332.00	0.19752
333.00	0.17478
334.00	0.15204
335.00	0.13313
336.00	0.11422
337.00	0.098529
338.00	0.082840
339.00	0.071034
340.00	0.059227
341.00	0.049992
342.00	0.040758
343.00	0.034179
344.00	0.027599
345.00	0.022821
346.00	0.018042
347.00	0.014903
348.00	0.011764
349.00	0.0096017
350.00	0.0074396
351.00	0.0063154
352.00	0.0051913
353.00	0.0042477
354.00	0.0033042
355.00	0.0028823
356.00	0.0024604
357.00	0.0019508
358.00	0.0014413
359.00	0.0015303
360.00	0.0016193
361.00	0.0016422
362.00	0.0016651
363.00	0.0017648
364.00	0.0018646
365.00	0.0021288
366.00	0.0023930
367.00	0.0024010
368.00	0.0024091
369.00	0.0023525
370.00	0.0022959
371.00	0.0020438
372.00	0.0017918
373.00	0.0018174
374.00	0.0018430
375.00	0.0019050
376.00	0.0019670
377.00	0.0019805
378.00	0.0019940
379.00	0.0021948
380.00	0.0023957
381.00	0.0021706
382.00	0.0019454
383.00	0.0022083
384.00	0.0024711
385.00	0.0020695
386.00	0.0016678
387.00	0.0017716
388.00	0.0018754
389.00	0.0019144
390.00	0.0019535
391.00	0.0017257
392.00	0.0014979
393.00	0.0016112
394.00	0.0017244
395.00	0.0017311
396.00	0.0017379
397.00	0.0016031
398.00	0.0014683
399.00	0.0016112
400.00	0.0017540
