Wavelength (nm)	FL024 [8] 4250-77-5, 6-Hydroxyflavanone [C]
210.00	15314
211.00	16061
212.00	18095
213.00	18308
214.00	16540
215.00	15485
216.00	15620
217.00	16191
218.00	15676
219.00	15967
220.00	16457
221.00	16685
222.00	16265
223.00	16112
224.00	15218
225.00	14970
226.00	15288
227.00	15924
228.00	16257
229.00	15144
230.00	14568
231.00	13956
232.00	13861
233.00	13675
234.00	13103
235.00	12176
236.00	11216
237.00	10246
238.00	9313.9
239.00	8499.3
240.00	7793.9
241.00	7216.6
242.00	6735.9
243.00	6387.7
244.00	6138.5
245.00	5984.8
246.00	5906.7
247.00	5883.2
248.00	5898.3
249.00	5939.6
250.00	5994.8
251.00	6056.4
252.00	6105.0
253.00	6137.2
254.00	6157.2
255.00	6186.0
256.00	6200.0
257.00	6152.2
258.00	5998.5
259.00	5727.9
260.00	5388.2
261.00	5025.7
262.00	4648.7
263.00	4256.8
264.00	3843.5
265.00	3392.8
266.00	2936.6
267.00	2512.0
268.00	2106.0
269.00	1704.8
270.00	1342.6
271.00	1039.8
272.00	793.56
273.00	597.83
274.00	446.37
275.00	335.98
276.00	256.03
277.00	200.36
278.00	161.75
279.00	134.36
280.00	116.73
281.00	105.87
282.00	98.513
283.00	93.712
284.00	93.157
285.00	94.004
286.00	95.443
287.00	100.06
288.00	105.09
289.00	110.07
290.00	116.01
291.00	123.38
292.00	130.43
293.00	140.40
294.00	150.49
295.00	160.92
296.00	173.75
297.00	186.55
298.00	200.39
299.00	215.21
300.00	233.77
301.00	252.85
302.00	273.12
303.00	294.96
304.00	318.07
305.00	341.84
306.00	368.44
307.00	397.38
308.00	428.53
309.00	461.50
310.00	494.43
311.00	531.73
312.00	571.87
313.00	611.27
314.00	656.59
315.00	703.67
316.00	750.58
317.00	801.56
318.00	852.14
319.00	905.49
320.00	960.87
321.00	1020.9
322.00	1080.3
323.00	1146.0
324.00	1211.8
325.00	1280.8
326.00	1349.3
327.00	1422.8
328.00	1498.1
329.00	1574.6
330.00	1652.3
331.00	1728.2
332.00	1807.0
333.00	1884.4
334.00	1963.4
335.00	2043.1
336.00	2121.8
337.00	2199.0
338.00	2276.1
339.00	2350.5
340.00	2425.1
341.00	2498.7
342.00	2568.8
343.00	2638.6
344.00	2707.0
345.00	2772.1
346.00	2835.7
347.00	2897.2
348.00	2955.6
349.00	3009.6
350.00	3060.3
351.00	3096.6
352.00	3126.8
353.00	3150.3
354.00	3165.5
355.00	3173.7
356.00	3176.3
357.00	3167.8
358.00	3157.6
359.00	3141.4
360.00	3114.4
361.00	3086.0
362.00	3063.4
363.00	3040.8
364.00	3012.3
365.00	2974.0
366.00	2927.3
367.00	2870.0
368.00	2804.5
369.00	2726.1
370.00	2640.0
371.00	2540.2
372.00	2436.0
373.00	2325.2
374.00	2210.3
375.00	2098.6
376.00	1988.9
377.00	1878.5
378.00	1766.4
379.00	1660.6
380.00	1558.2
381.00	1455.7
382.00	1353.4
383.00	1255.4
384.00	1162.3
385.00	1073.2
386.00	990.27
387.00	906.17
388.00	825.42
389.00	751.04
390.00	678.02
391.00	611.61
392.00	548.61
393.00	491.33
394.00	437.92
395.00	387.86
396.00	343.01
397.00	302.94
398.00	265.94
399.00	232.92
400.00	204.31
401.00	179.09
402.00	155.50
403.00	135.40
404.00	119.12
405.00	102.25
406.00	86.645
407.00	76.031
408.00	68.263
409.00	60.760
410.00	51.760
411.00	45.154
412.00	38.313
413.00	34.117
414.00	31.014
415.00	27.563
416.00	24.224
417.00	21.279
418.00	18.661
419.00	16.201
420.00	14.928
421.00	15.469
422.00	13.468
423.00	11.287
424.00	10.370
425.00	9.3332
426.00	6.8009
427.00	8.6257
428.00	7.5941
429.00	8.8401
430.00	5.7237
431.00	5.2682
432.00	3.3657
433.00	5.4718
434.00	6.1926
435.00	3.3469
436.00	5.4825
437.00	6.4874
438.00	6.1042
439.00	4.8234
440.00	3.8426
441.00	5.4558
442.00	4.8153
443.00	6.0158
444.00	6.7929
445.00	6.4954
446.00	3.1004
447.00	1.9267
448.00	3.2611
449.00	5.5576
450.00	7.0635
451.00	5.0324
452.00	3.0602
453.00	4.0248
454.00	4.9011
455.00	5.6406
456.00	4.8073
457.00	5.1503
458.00	5.0592
459.00	3.8399
460.00	3.2772
461.00	2.9074
462.00	5.0994
463.00	8.3042
464.00	6.6026
465.00	7.1412
466.00	6.9751
467.00	3.2370
468.00	3.9552
469.00	4.1508
470.00	4.7671
471.00	6.9617
472.00	9.2930
473.00	7.1225
474.00	3.5077
475.00	5.0190
476.00	5.6728
477.00	5.9488
478.00	7.8058
479.00	8.6284
480.00	5.8636
481.00	6.0158
482.00	1.7927
483.00	3.6095
484.00	4.5809
485.00	3.9226
486.00	3.3844
487.00	0.60564
488.00	1.6330
489.00	4.0024
490.00	5.2575
491.00	5.1427
492.00	4.0171
493.00	2.4841
494.00	3.4166
495.00	3.9123
496.00	4.2901
497.00	3.5023
498.00	4.0107
499.00	4.5808
500.00	5.2387
