Wavelength (nm)	Angew 2007_8699, NCC 1 abs [Z]
200.00	0.86118
201.00	0.86905
202.00	0.87693
203.00	0.88480
204.00	0.89488
205.00	0.90662
206.00	0.91875
207.00	0.93134
208.00	0.94688
209.00	0.96370
210.00	0.97484
211.00	0.98490
212.00	0.99177
213.00	0.99696
214.00	1.0000
215.00	0.99682
216.00	0.99116
217.00	0.98322
218.00	0.97007
219.00	0.95435
220.00	0.93589
221.00	0.91595
222.00	0.89391
223.00	0.87063
224.00	0.84775
225.00	0.82561
226.00	0.80346
227.00	0.78409
228.00	0.76498
229.00	0.74793
230.00	0.73421
231.00	0.72119
232.00	0.71446
233.00	0.70774
234.00	0.70127
235.00	0.69822
236.00	0.69516
237.00	0.69235
238.00	0.69127
239.00	0.69019
240.00	0.68989
241.00	0.68966
242.00	0.68708
243.00	0.68426
244.00	0.67930
245.00	0.67408
246.00	0.66711
247.00	0.65859
248.00	0.64860
249.00	0.63419
250.00	0.61979
251.00	0.59996
252.00	0.58001
253.00	0.55986
254.00	0.53888
255.00	0.51790
256.00	0.49980
257.00	0.48377
258.00	0.46775
259.00	0.45289
260.00	0.43832
261.00	0.42527
262.00	0.41492
263.00	0.40456
264.00	0.39704
265.00	0.39098
266.00	0.38623
267.00	0.38294
268.00	0.37966
269.00	0.37713
270.00	0.37555
271.00	0.37398
272.00	0.37240
273.00	0.37100
274.00	0.37018
275.00	0.36936
276.00	0.36854
277.00	0.36835
278.00	0.36835
279.00	0.36857
280.00	0.36909
281.00	0.36962
282.00	0.37113
283.00	0.37306
284.00	0.37498
285.00	0.37722
286.00	0.38035
287.00	0.38349
288.00	0.38754
289.00	0.39302
290.00	0.39850
291.00	0.40486
292.00	0.41228
293.00	0.41970
294.00	0.42712
295.00	0.43590
296.00	0.44611
297.00	0.45632
298.00	0.46654
299.00	0.47729
300.00	0.48902
301.00	0.50074
302.00	0.51247
303.00	0.52420
304.00	0.53598
305.00	0.54783
306.00	0.55968
307.00	0.57152
308.00	0.58103
309.00	0.58827
310.00	0.59552
311.00	0.60276
312.00	0.61001
313.00	0.61500
314.00	0.61808
315.00	0.61619
316.00	0.61242
317.00	0.60679
318.00	0.60116
319.00	0.59305
320.00	0.58214
321.00	0.56971
322.00	0.55720
323.00	0.54247
324.00	0.52141
325.00	0.50035
326.00	0.47762
327.00	0.45358
328.00	0.42955
329.00	0.40325
330.00	0.37632
331.00	0.34939
332.00	0.32380
333.00	0.29961
334.00	0.27542
335.00	0.25120
336.00	0.22666
337.00	0.20212
338.00	0.17758
339.00	0.15304
340.00	0.13567
341.00	0.11900
342.00	0.10234
343.00	0.085677
344.00	0.071043
345.00	0.060016
346.00	0.050260
347.00	0.042970
348.00	0.035680
349.00	0.029074
350.00	0.024898
351.00	0.020721
352.00	0.017064
353.00	0.014813
354.00	0.012562
355.00	0.010310
356.00	0.0081293
357.00	0.0070473
358.00	0.0059654
359.00	0.0048835
360.00	0.0038015
361.00	0.0032006
362.00	0.0028260
363.00	0.0024514
364.00	0.0020768
365.00	0.0017022
366.00	0.0015152
367.00	0.0014432
368.00	0.0013713
369.00	0.0012993
370.00	0.0012274
371.00	0.0011425
372.00	0.0010561
373.00	0.00098010
374.00	0.00098010
375.00	0.00098010
376.00	0.00098010
377.00	0.00098010
378.00	0.00098010
379.00	0.00098010
380.00	0.00098010
381.00	0.00098010
382.00	0.00098010
383.00	0.00098010
384.00	0.00098010
385.00	0.00098010
386.00	0.00098010
387.00	0.00098010
388.00	0.00098010
389.00	0.00098010
390.00	0.00098010
391.00	0.00098010
392.00	0.00098010
393.00	0.00098010
394.00	0.00098010
395.00	0.00098010
396.00	0.00098010
397.00	0.00098010
398.00	0.00098010
399.00	0.00098010
400.00	0.00098010
