Wavelength (nm)	FL078 [11] 520-32-1, Tricin [C]
210.00	47069
211.00	46994
212.00	46399
213.00	45333
214.00	43852
215.00	41866
216.00	39685
217.00	37563
218.00	35750
219.00	34196
220.00	32956
221.00	31928
222.00	31083
223.00	30335
224.00	29642
225.00	28866
226.00	27993
227.00	27020
228.00	25947
229.00	24899
230.00	23900
231.00	22997
232.00	22166
233.00	21426
234.00	20772
235.00	20259
236.00	19891
237.00	19664
238.00	19564
239.00	19529
240.00	19516
241.00	19497
242.00	19452
243.00	19379
244.00	19300
245.00	19197
246.00	19057
247.00	18882
248.00	18631
249.00	18302
250.00	17890
251.00	17410
252.00	16881
253.00	16330
254.00	15815
255.00	15367
256.00	15019
257.00	14785
258.00	14672
259.00	14648
260.00	14679
261.00	14725
262.00	14789
263.00	14848
264.00	14896
265.00	14990
266.00	15080
267.00	15207
268.00	15321
269.00	15408
270.00	15395
271.00	15188
272.00	14786
273.00	14110
274.00	13225
275.00	12209
276.00	11152
277.00	10197
278.00	9403.2
279.00	8800.2
280.00	8383.1
281.00	8112.3
282.00	7968.5
283.00	7928.5
284.00	7957.0
285.00	8042.3
286.00	8164.4
287.00	8311.7
288.00	8481.3
289.00	8675.5
290.00	8870.1
291.00	9083.5
292.00	9289.0
293.00	9499.6
294.00	9704.6
295.00	9900.0
296.00	10092
297.00	10277
298.00	10453
299.00	10622
300.00	10777
301.00	10937
302.00	11086
303.00	11243
304.00	11383
305.00	11526
306.00	11677
307.00	11800
308.00	11959
309.00	12106
310.00	12269
311.00	12440
312.00	12610
313.00	12808
314.00	13036
315.00	13270
316.00	13545
317.00	13846
318.00	14145
319.00	14496
320.00	14834
321.00	15202
322.00	15580
323.00	15972
324.00	16371
325.00	16778
326.00	17179
327.00	17582
328.00	17997
329.00	18396
330.00	18788
331.00	19178
332.00	19562
333.00	19933
334.00	20297
335.00	20646
336.00	20985
337.00	21309
338.00	21642
339.00	21936
340.00	22199
341.00	22453
342.00	22691
343.00	22912
344.00	23107
345.00	23272
346.00	23418
347.00	23524
348.00	23608
349.00	23664
350.00	23700
351.00	23695
352.00	23666
353.00	23609
354.00	23514
355.00	23380
356.00	23220
357.00	23046
358.00	22817
359.00	22544
360.00	22240
361.00	21900
362.00	21520
363.00	21118
364.00	20663
365.00	20179
366.00	19670
367.00	19141
368.00	18585
369.00	18014
370.00	17382
371.00	16744
372.00	16134
373.00	15437
374.00	14802
375.00	14149
376.00	13519
377.00	12837
378.00	12171
379.00	11493
380.00	10861
381.00	10219
382.00	9588.3
383.00	8962.9
384.00	8373.7
385.00	7760.8
386.00	7194.6
387.00	6630.7
388.00	6097.1
389.00	5624.3
390.00	5143.2
391.00	4674.4
392.00	4231.3
393.00	3845.6
394.00	3477.2
395.00	3142.1
396.00	2823.8
397.00	2513.4
398.00	2242.3
399.00	2003.1
400.00	1793.6
401.00	1580.0
402.00	1400.9
403.00	1244.1
404.00	1106.3
405.00	957.64
406.00	855.90
407.00	767.56
408.00	683.22
409.00	595.24
410.00	536.33
411.00	475.04
412.00	417.37
413.00	367.99
414.00	333.97
415.00	296.85
416.00	261.09
417.00	236.31
418.00	210.88
419.00	194.96
420.00	184.29
421.00	151.06
422.00	138.37
423.00	126.54
424.00	127.64
425.00	117.58
426.00	116.74
427.00	106.29
428.00	92.764
429.00	77.470
430.00	68.436
431.00	64.342
432.00	68.298
433.00	66.192
434.00	74.439
435.00	72.727
436.00	63.791
437.00	59.244
438.00	63.693
439.00	66.212
440.00	54.048
441.00	49.934
442.00	53.674
443.00	51.627
444.00	47.671
445.00	45.427
446.00	36.688
447.00	40.939
448.00	45.171
449.00	46.234
450.00	31.059
451.00	35.192
452.00	35.842
453.00	44.837
454.00	46.864
455.00	44.541
456.00	47.809
457.00	39.581
458.00	39.030
459.00	28.402
460.00	41.097
461.00	44.423
462.00	46.943
463.00	40.369
464.00	22.202
465.00	26.256
466.00	37.967
467.00	40.743
468.00	38.932
469.00	36.964
470.00	41.235
471.00	39.483
472.00	32.299
473.00	25.292
474.00	29.917
475.00	40.979
476.00	28.559
477.00	28.874
478.00	16.946
479.00	13.089
480.00	11.081
481.00	16.139
482.00	29.779
483.00	21.493
484.00	19.505
485.00	6.9476
486.00	19.486
487.00	4.2520
488.00	15.962
489.00	13.403
490.00	6.8885
491.00	12.400
492.00	23.678
493.00	17.183
494.00	14.289
495.00	19.604
496.00	24.465
497.00	19.643
498.00	26.217
499.00	24.249
500.00	14.840
