Wavelength (nm)	Toly L+M (2020)
645.00	0.028008
646.00	0.026201
647.00	0.025350
648.00	0.021130
649.00	0.017684
650.00	0.014087
651.00	0.011869
652.00	0.0097657
653.00	0.0088865
654.00	0.0084178
655.00	0.0084835
656.00	0.0080469
657.00	0.0084056
658.00	0.0081828
659.00	0.0090435
660.00	0.0093700
661.00	0.0086698
662.00	0.012146
663.00	0.014679
664.00	0.017825
665.00	0.020874
666.00	0.025334
667.00	0.030848
668.00	0.037581
669.00	0.049055
670.00	0.064725
671.00	0.090913
672.00	0.12803
673.00	0.17499
674.00	0.24127
675.00	0.31871
676.00	0.39585
677.00	0.44384
678.00	0.44712
679.00	0.39974
680.00	0.33057
681.00	0.26453
682.00	0.20996
683.00	0.15622
684.00	0.11499
685.00	0.083684
686.00	0.059048
687.00	0.041861
688.00	0.030034
689.00	0.022862
690.00	0.016830
691.00	0.012783
692.00	0.010241
693.00	0.0078887
694.00	0.0064141
695.00	0.0058435
696.00	0.0049464
697.00	0.0047211
698.00	0.0043341
699.00	0.0024028
700.00	0.0018261
701.00	0.0015778
702.00	0.0016578
703.00	0.0018080
704.00	0.0017314
705.00	0.0031826
706.00	0.00090016
707.00	0.00046539
708.00	-6.2222e-05
709.00	-0.00051312
710.00	-0.00048862
711.00	0.00073808
712.00	0.00017665
713.00	0.0020950
714.00	0.0023767
715.00	0.00086157
716.00	0.0011918
717.00	0.00085041
718.00	0.0019232
719.00	0.0020130
720.00	0.0025831
721.00	0.0017265
722.00	0.0016963
723.00	0.0013216
724.00	0.00054121
725.00	0.00018647
726.00	0.00090270
727.00	0.00096453
728.00	0.0014410
729.00	0.0010808
730.00	0.0014223
731.00	0.0011482
732.00	0.00099143
733.00	0.0014309
734.00	0.0011338
735.00	0.00082057
736.00	0.0012169
737.00	0.0012239
738.00	0.0010475
739.00	0.00082513
740.00	0.00069483
741.00	0.00099771
742.00	0.00047153
743.00	4.9025e-05
744.00	-0.00069928
745.00	-0.00068221
746.00	-0.00049324
747.00	0.00020956
748.00	0.0013543
749.00	0.00041040
750.00	0.0011613
751.00	0.0011303
752.00	0.0017016
753.00	0.0012674
754.00	0.0010698
755.00	0.0017831
756.00	0.0023761
757.00	0.00032330
758.00	0.00030440
759.00	-0.0025804
760.00	-0.0035900
761.00	-0.0018513
762.00	-0.00025239
763.00	-0.0020147
764.00	0.00018063
765.00	0.00086358
766.00	0.00084576
767.00	0.0015716
768.00	0.0015177
769.00	0.00064098
770.00	-0.0012140
771.00	0.0017981
772.00	0.00031115
773.00	0.00033740
774.00	0.00095456
775.00	0.00084430
776.00	0.0011883
777.00	0.00082877
778.00	0.00048703
779.00	0.0021495
780.00	0.0018949
781.00	0.0021949
782.00	0.0021598
783.00	0.0015466
784.00	0.0027728
785.00	0.00092948
786.00	0.0017827
787.00	0.0021581
788.00	0.00047382
789.00	9.3301e-05
790.00	-3.8109e-06
791.00	0.00026301
792.00	-0.00043214
793.00	0.00022507
794.00	0.00078244
795.00	0.0013438
796.00	0.00037024
797.00	0.00013372
798.00	-0.00029782
799.00	6.5299e-05
800.00	0.00022357
