Wavelength (nm)	FL017 [6] 74620-04-5, Flav-3-en-2-ol [D]
235.00	9851.5
236.00	8713.4
237.00	7890.8
238.00	7224.7
239.00	6759.3
240.00	6428.4
241.00	6229.2
242.00	6150.8
243.00	6160.0
244.00	6244.7
245.00	6414.0
246.00	6631.8
247.00	6874.6
248.00	7135.5
249.00	7384.7
250.00	7606.8
251.00	7812.2
252.00	8011.3
253.00	8214.6
254.00	8473.0
255.00	8720.8
256.00	8925.9
257.00	8990.0
258.00	8856.4
259.00	8582.6
260.00	8301.2
261.00	8088.8
262.00	7905.6
263.00	7738.9
264.00	7619.5
265.00	7574.3
266.00	7538.6
267.00	7391.5
268.00	6871.1
269.00	5992.1
270.00	4913.6
271.00	3986.3
272.00	3350.1
273.00	2829.2
274.00	2433.5
275.00	2159.0
276.00	1983.2
277.00	1876.7
278.00	1791.9
279.00	1747.0
280.00	1734.3
281.00	1749.9
282.00	1784.7
283.00	1835.5
284.00	1892.0
285.00	1975.6
286.00	2057.8
287.00	2136.9
288.00	2215.5
289.00	2286.2
290.00	2356.9
291.00	2431.8
292.00	2520.0
293.00	2608.2
294.00	2669.3
295.00	2728.7
296.00	2783.4
297.00	2835.7
298.00	2884.3
299.00	2915.9
300.00	2925.1
301.00	2889.5
302.00	2824.5
303.00	2760.9
304.00	2708.5
305.00	2639.7
306.00	2559.6
307.00	2488.8
308.00	2415.6
309.00	2323.7
310.00	2181.8
311.00	2035.4
312.00	1886.4
313.00	1690.6
314.00	1482.7
315.00	1273.9
316.00	1093.2
317.00	929.87
318.00	789.73
319.00	673.60
320.00	571.12
321.00	480.39
322.00	418.85
323.00	365.67
324.00	318.35
325.00	283.39
326.00	251.54
327.00	220.26
328.00	190.83
329.00	162.54
330.00	136.93
331.00	114.33
332.00	96.237
333.00	80.896
334.00	66.947
335.00	55.589
336.00	46.574
337.00	40.094
338.00	35.687
339.00	33.164
340.00	31.258
341.00	28.909
342.00	27.946
343.00	26.984
344.00	26.219
345.00	25.455
346.00	22.516
347.00	19.577
348.00	17.989
349.00	17.989
350.00	17.989
