Wavelength (nm)	Toly E (2017)
300.00	0.088160
301.00	0.087971
302.00	0.088206
303.00	0.087929
304.00	0.087160
305.00	0.086394
306.00	0.085797
307.00	0.084332
308.00	0.082812
309.00	0.081068
310.00	0.078432
311.00	0.075085
312.00	0.071375
313.00	0.067493
314.00	0.064404
315.00	0.060296
316.00	0.056582
317.00	0.052986
318.00	0.049917
319.00	0.047938
320.00	0.045155
321.00	0.043130
322.00	0.040850
323.00	0.039527
324.00	0.038513
325.00	0.037469
326.00	0.036691
327.00	0.036478
328.00	0.036343
329.00	0.036235
330.00	0.036719
331.00	0.036991
332.00	0.037353
333.00	0.037405
334.00	0.037994
335.00	0.038435
336.00	0.039067
337.00	0.040441
338.00	0.041472
339.00	0.042485
340.00	0.043534
341.00	0.045520
342.00	0.047949
343.00	0.049882
344.00	0.052291
345.00	0.054587
346.00	0.057396
347.00	0.060810
348.00	0.064150
349.00	0.066980
350.00	0.070775
351.00	0.074206
352.00	0.079205
353.00	0.083233
354.00	0.087218
355.00	0.091996
356.00	0.096574
357.00	0.10371
358.00	0.10995
359.00	0.11430
360.00	0.12238
361.00	0.13031
362.00	0.14045
363.00	0.14914
364.00	0.15825
365.00	0.17131
366.00	0.18382
367.00	0.19973
368.00	0.21448
369.00	0.23060
370.00	0.24501
371.00	0.26143
372.00	0.27838
373.00	0.29581
374.00	0.31213
375.00	0.32649
376.00	0.34182
377.00	0.35973
378.00	0.37736
379.00	0.39496
380.00	0.41262
381.00	0.43259
382.00	0.45634
383.00	0.48314
384.00	0.50841
385.00	0.53330
386.00	0.56398
387.00	0.59902
388.00	0.63893
389.00	0.67454
390.00	0.70899
391.00	0.74856
392.00	0.78317
393.00	0.81414
394.00	0.84659
395.00	0.87264
396.00	0.89594
397.00	0.92224
398.00	0.95036
399.00	0.97484
400.00	0.99250
401.00	1.0000
402.00	0.99776
403.00	0.98121
404.00	0.94424
405.00	0.89532
406.00	0.84214
407.00	0.77019
408.00	0.69602
409.00	0.60219
410.00	0.52069
411.00	0.45943
412.00	0.39236
413.00	0.33713
414.00	0.27979
415.00	0.23486
416.00	0.19981
417.00	0.17088
418.00	0.14820
419.00	0.12424
420.00	0.10642
421.00	0.092055
422.00	0.081349
423.00	0.071344
424.00	0.061266
425.00	0.052226
426.00	0.045114
427.00	0.039469
428.00	0.033703
429.00	0.028515
430.00	0.024287
431.00	0.020356
432.00	0.016914
433.00	0.014394
434.00	0.012091
435.00	0.0098410
436.00	0.0080033
437.00	0.0068726
438.00	0.0055181
439.00	0.0049373
440.00	0.0041169
441.00	0.0035217
442.00	0.0029101
443.00	0.0027730
444.00	0.0022825
445.00	0.0022765
446.00	0.0024238
447.00	0.0023352
448.00	0.0024098
449.00	0.0024413
450.00	0.0024655
