Wavelength (nm)	FL079 [11] 632-85-9, Wogonin [C]
210.00	26575
211.00	26414
212.00	25878
213.00	24953
214.00	23731
215.00	22357
216.00	21000
217.00	19687
218.00	18483
219.00	17399
220.00	16458
221.00	15635
222.00	14949
223.00	14338
224.00	13804
225.00	13302
226.00	12806
227.00	12336
228.00	11846
229.00	11392
230.00	10959
231.00	10576
232.00	10263
233.00	10001
234.00	9806.5
235.00	9660.9
236.00	9578.0
237.00	9557.0
238.00	9577.5
239.00	9630.1
240.00	9708.3
241.00	9795.6
242.00	9908.6
243.00	10043
244.00	10202
245.00	10379
246.00	10542
247.00	10637
248.00	10658
249.00	10630
250.00	10615
251.00	10679
252.00	10882
253.00	11252
254.00	11785
255.00	12451
256.00	13257
257.00	14156
258.00	15127
259.00	16160
260.00	17240
261.00	18347
262.00	19441
263.00	20542
264.00	21616
265.00	22676
266.00	23681
267.00	24679
268.00	25537
269.00	26338
270.00	27095
271.00	27757
272.00	28319
273.00	28835
274.00	29203
275.00	29447
276.00	29500
277.00	29415
278.00	29131
279.00	28644
280.00	28004
281.00	27185
282.00	26261
283.00	25260
284.00	24170
285.00	23040
286.00	21917
287.00	20798
288.00	19697
289.00	18612
290.00	17571
291.00	16544
292.00	15585
293.00	14699
294.00	13875
295.00	13118
296.00	12440
297.00	11800
298.00	11221
299.00	10689
300.00	10174
301.00	9696.1
302.00	9232.0
303.00	8800.9
304.00	8417.5
305.00	8105.2
306.00	7845.9
307.00	7642.1
308.00	7516.5
309.00	7429.0
310.00	7372.9
311.00	7342.0
312.00	7317.5
313.00	7307.7
314.00	7297.0
315.00	7281.6
316.00	7261.2
317.00	7229.6
318.00	7197.2
319.00	7141.3
320.00	7078.1
321.00	7014.0
322.00	6934.2
323.00	6852.1
324.00	6765.7
325.00	6672.5
326.00	6574.7
327.00	6478.2
328.00	6385.0
329.00	6296.7
330.00	6203.9
331.00	6123.4
332.00	6047.1
333.00	5983.4
334.00	5928.5
335.00	5869.4
336.00	5822.7
337.00	5779.1
338.00	5735.3
339.00	5697.9
340.00	5668.9
341.00	5643.7
342.00	5611.9
343.00	5586.8
344.00	5560.0
345.00	5527.3
346.00	5493.9
347.00	5465.0
348.00	5419.0
349.00	5384.8
350.00	5343.6
351.00	5302.4
352.00	5246.7
353.00	5190.2
354.00	5129.1
355.00	5072.3
356.00	5007.2
357.00	4937.7
358.00	4865.5
359.00	4773.1
360.00	4697.1
361.00	4612.8
362.00	4533.6
363.00	4447.5
364.00	4361.4
365.00	4260.2
366.00	4159.4
367.00	4053.5
368.00	3948.1
369.00	3847.7
370.00	3752.6
371.00	3644.2
372.00	3541.6
373.00	3441.7
374.00	3335.7
375.00	3228.9
376.00	3128.7
377.00	3025.7
378.00	2923.6
379.00	2821.8
380.00	2721.8
381.00	2628.9
382.00	2537.9
383.00	2442.6
384.00	2350.1
385.00	2256.3
386.00	2157.9
387.00	2071.2
388.00	1989.6
389.00	1906.4
390.00	1827.2
391.00	1748.7
392.00	1676.6
393.00	1596.1
394.00	1518.8
395.00	1448.9
396.00	1381.9
397.00	1321.4
398.00	1259.5
399.00	1192.3
400.00	1134.7
401.00	1078.6
402.00	1032.4
403.00	973.94
404.00	922.74
405.00	878.32
406.00	833.31
407.00	790.34
408.00	752.79
409.00	705.21
410.00	671.26
411.00	638.24
412.00	601.67
413.00	572.31
414.00	537.42
415.00	514.72
416.00	484.68
417.00	456.06
418.00	432.07
419.00	406.71
420.00	381.15
421.00	363.83
422.00	343.03
423.00	317.75
424.00	305.35
425.00	284.06
426.00	270.23
427.00	263.36
428.00	245.94
429.00	232.43
430.00	215.98
431.00	203.55
432.00	196.03
433.00	188.96
434.00	171.92
435.00	174.17
436.00	168.09
437.00	158.04
438.00	146.03
439.00	140.83
440.00	136.12
441.00	130.43
442.00	117.96
443.00	112.02
444.00	106.77
445.00	99.796
446.00	104.41
447.00	95.019
448.00	97.971
449.00	97.850
450.00	86.888
451.00	88.190
452.00	88.458
453.00	77.630
454.00	76.516
455.00	76.127
456.00	75.644
457.00	75.014
458.00	65.688
459.00	66.882
460.00	63.984
461.00	70.398
462.00	72.531
463.00	67.768
464.00	55.531
465.00	53.559
466.00	48.111
467.00	48.514
468.00	49.601
469.00	58.497
470.00	60.227
471.00	58.604
472.00	46.367
473.00	36.814
474.00	49.010
475.00	46.300
476.00	45.106
477.00	46.380
478.00	36.814
479.00	35.633
480.00	34.734
481.00	30.709
482.00	33.714
483.00	34.627
484.00	34.358
485.00	42.489
486.00	11.468
487.00	19.975
488.00	36.894
489.00	28.294
490.00	31.366
491.00	26.697
492.00	28.039
493.00	28.897
494.00	28.280
495.00	24.188
496.00	22.457
497.00	28.280
498.00	33.043
499.00	14.393
500.00	14.809
