Wavelength (nm)	N09 abs e
235.00	19644
236.00	21178
237.00	21133
238.00	22875
239.00	22741
240.00	23246
241.00	23348
242.00	23338
243.00	22900
244.00	22355
245.00	22035
246.00	21832
247.00	21715
248.00	21646
249.00	21627
250.00	21699
251.00	21839
252.00	22012
253.00	22228
254.00	22492
255.00	22717
256.00	22921
257.00	23095
258.00	23270
259.00	23470
260.00	23649
261.00	23700
262.00	23643
263.00	23452
264.00	23208
265.00	22982
266.00	22726
267.00	22391
268.00	21954
269.00	21424
270.00	20941
271.00	20602
272.00	20431
273.00	20400
274.00	20343
275.00	20174
276.00	19907
277.00	19653
278.00	19424
279.00	19251
280.00	19100
281.00	18958
282.00	18824
283.00	18659
284.00	18490
285.00	18299
286.00	18074
287.00	17799
288.00	17517
289.00	17209
290.00	16872
291.00	16514
292.00	16153
293.00	15777
294.00	15402
295.00	15005
296.00	14611
297.00	14184
298.00	13740
299.00	13301
300.00	12846
301.00	12379
302.00	11905
303.00	11404
304.00	10891
305.00	10345
306.00	9743.7
307.00	9063.7
308.00	8334.7
309.00	7548.9
310.00	6746.5
311.00	5942.0
312.00	5177.7
313.00	4477.1
314.00	3849.7
315.00	3295.0
316.00	2807.9
317.00	2400.8
318.00	2060.6
319.00	1769.2
320.00	1526.8
321.00	1315.5
322.00	1135.2
323.00	988.33
324.00	859.86
325.00	755.60
326.00	659.86
327.00	579.67
328.00	505.98
329.00	447.32
330.00	389.28
331.00	343.67
332.00	308.80
333.00	275.03
334.00	242.30
335.00	216.79
336.00	194.36
337.00	173.85
338.00	160.89
339.00	143.65
340.00	138.61
341.00	127.30
342.00	118.99
343.00	111.06
344.00	94.007
345.00	90.549
346.00	92.016
347.00	93.791
348.00	89.339
349.00	84.200
350.00	78.631
351.00	75.160
352.00	78.375
353.00	79.720
354.00	72.604
355.00	70.640
356.00	72.173
357.00	66.793
358.00	69.779
359.00	64.829
360.00	68.743
361.00	74.124
362.00	66.147
363.00	59.918
364.00	64.062
365.00	70.559
366.00	55.694
367.00	59.111
368.00	61.694
369.00	56.071
370.00	59.690
371.00	49.170
372.00	54.726
373.00	50.300
374.00	50.112
375.00	50.852
376.00	55.304
377.00	49.237
378.00	56.528
379.00	52.762
380.00	56.138
381.00	47.825
382.00	47.314
383.00	52.089
384.00	47.637
385.00	53.650
386.00	52.748
387.00	57.524
388.00	41.179
389.00	51.780
390.00	36.552
391.00	50.663
392.00	43.695
393.00	50.542
394.00	46.211
395.00	37.857
396.00	37.561
397.00	32.933
398.00	38.220
399.00	42.444
400.00	43.359
