Wavelength (nm)	D06 abs e
220.00	7514.4
220.25	7585.1
220.50	7646.0
220.75	7486.0
221.00	7475.4
221.25	7684.3
221.50	7326.0
221.75	7177.2
222.00	7441.0
222.25	7197.7
222.50	7439.7
222.75	7293.6
223.00	7353.8
223.25	7095.3
223.50	7519.7
223.75	7039.7
224.00	7298.2
224.25	7349.8
224.50	7444.3
224.75	7551.4
225.00	7371.6
225.25	7341.2
225.50	7489.3
225.75	7747.1
226.00	7583.2
226.25	7665.1
226.50	7626.8
226.75	8050.6
227.00	7891.9
227.25	7660.5
227.50	7880.0
227.75	7976.5
228.00	7971.2
228.25	8246.9
228.50	8356.7
228.75	8299.8
229.00	8352.1
229.25	8352.1
229.50	8268.8
229.75	8488.9
230.00	8540.5
230.25	8530.6
230.50	8644.9
230.75	8493.5
231.00	8755.4
231.25	8646.3
231.50	8820.1
231.75	8976.8
232.00	9037.0
232.25	9267.7
232.50	9131.5
232.75	9262.4
233.00	9538.1
233.25	9325.2
233.50	9369.5
233.75	9491.2
234.00	9649.2
234.25	9595.6
234.50	9849.5
234.75	9659.1
235.00	9625.4
235.25	9808.5
235.50	9891.8
235.75	9813.8
236.00	9922.9
236.25	10090
236.50	9840.3
236.75	9956.0
237.00	9788.0
237.25	9908.4
237.50	9948.7
237.75	9991.0
238.00	10090
238.25	10002
238.50	10005
238.75	9940.1
239.00	10089
239.25	9969.2
239.50	9914.3
239.75	10202
240.00	10232
240.25	10154
240.50	10310
240.75	10201
241.00	10262
241.25	10380
241.50	10318
241.75	10326
242.00	10337
242.25	10275
242.50	10159
242.75	9993.6
243.00	10021
243.25	9960.6
243.50	9842.2
243.75	10006
244.00	9655.1
244.25	9687.5
244.50	9425.1
244.75	9380.1
245.00	9337.8
245.25	9284.9
245.50	9097.8
245.75	9007.2
246.00	8984.8
246.25	8964.9
246.50	8826.1
246.75	8623.1
247.00	8703.1
247.25	8687.9
247.50	8541.1
247.75	8637.7
248.00	8490.2
248.25	8459.2
248.50	8539.8
248.75	8323.6
249.00	8354.7
249.25	8079.7
249.50	8081.0
249.75	7993.7
250.00	7969.3
250.25	7787.5
250.50	7648.6
250.75	7512.4
251.00	7430.4
251.25	7440.4
251.50	7199.0
251.75	7144.8
252.00	6762.7
252.25	6900.2
252.50	6502.9
252.75	6481.7
253.00	6415.6
253.25	6196.1
253.50	5979.9
253.75	5931.7
254.00	5775.6
254.25	5754.5
254.50	5687.7
254.75	5656.6
255.00	5684.4
255.25	5702.3
255.50	5583.2
255.75	5494.0
256.00	5561.4
256.25	5569.4
256.50	5493.3
256.75	5416.6
257.00	5385.6
257.25	5410.7
257.50	5236.8
257.75	5134.3
258.00	5111.2
258.25	5122.4
258.50	5110.5
258.75	4881.8
259.00	4694.0
259.25	4694.7
259.50	4604.1
259.75	4421.0
260.00	4358.8
260.25	4318.5
260.50	4139.3
260.75	3906.0
261.00	3734.1
261.25	3689.1
261.50	3685.1
261.75	3668.6
262.00	3530.4
262.25	3381.7
262.50	3395.6
262.75	3389.6
263.00	3431.3
263.25	3222.3
263.50	3367.8
263.75	3268.6
264.00	3102.0
264.25	3142.4
264.50	3184.0
264.75	3184.0
265.00	3206.5
265.25	3122.5
265.50	3061.0
265.75	3069.0
266.00	3018.1
266.25	3047.2
266.50	3075.6
266.75	3002.2
267.00	2903.7
267.25	2778.1
267.50	2868.0
267.75	2805.2
268.00	2803.9
268.25	2695.4
268.50	2537.4
268.75	2529.5
269.00	2558.6
269.25	2465.4
269.50	2551.3
269.75	2472.0
270.00	2403.2
270.25	2321.2
270.50	2233.3
270.75	2360.2
271.00	2379.4
271.25	2415.1
271.50	2285.5
271.75	2386.7
272.00	2228.7
272.25	2407.2
272.50	2493.8
272.75	2335.1
273.00	2394.0
273.25	2360.9
273.50	2309.3
273.75	2319.2
274.00	2405.2
274.25	2397.3
274.50	2405.2
274.75	2478.6
275.00	2388.7
275.25	2345.0
275.50	2540.1
275.75	2464.7
276.00	2498.4
276.25	2486.5
276.50	2540.1
276.75	2690.8
277.00	2477.9
277.25	2624.0
277.50	2700.7
277.75	2710.0
278.00	2663.7
278.25	2827.0
278.50	2863.4
278.75	2907.7
279.00	2911.0
279.25	3123.8
279.50	2892.4
279.75	3009.5
280.00	3162.8
280.25	3193.9
280.50	3233.6
280.75	3218.4
281.00	3270.0
