Wavelength (nm)	A04 abs1 e
230.00	62.027
231.00	40.435
232.00	30.141
233.00	25.918
234.00	25.034
235.00	25.797
236.00	27.522
237.00	30.167
238.00	33.546
239.00	37.566
240.00	42.116
241.00	46.891
242.00	51.949
243.00	58.062
244.00	65.082
245.00	73.178
246.00	81.322
247.00	89.595
248.00	97.594
249.00	105.65
250.00	115.12
251.00	129.46
252.00	141.96
253.00	150.99
254.00	158.78
255.00	170.99
256.00	188.45
257.00	203.76
258.00	212.03
259.00	216.73
260.00	217.88
261.00	220.70
262.00	239.99
263.00	259.98
264.00	272.57
265.00	284.00
266.00	267.46
267.00	223.74
268.00	210.27
269.00	213.41
270.00	179.26
271.00	165.36
272.00	224.89
273.00	246.54
274.00	169.68
275.00	97.532
276.00	53.709
277.00	31.674
278.00	20.512
279.00	13.432
280.00	8.7321
281.00	5.8538
282.00	4.0939
283.00	2.9935
284.00	2.3813
285.00	1.9855
286.00	1.7482
287.00	1.6186
288.00	1.4951
289.00	1.4100
290.00	1.3261
291.00	1.2994
292.00	1.2733
293.00	1.2244
294.00	1.1846
295.00	1.1516
296.00	1.1384
297.00	1.0390
298.00	1.0508
299.00	1.0765
300.00	1.0418
