Wavelength (nm)	B08 abs e
200.00	17028
201.00	19238
202.00	21194
203.00	23462
204.00	25387
205.00	27230
206.00	28514
207.00	30184
208.00	31685
209.00	32734
210.00	33791
211.00	34496
212.00	34800
213.00	34635
214.00	33698
215.00	32395
216.00	30677
217.00	28399
218.00	26136
219.00	23835
220.00	21625
221.00	19639
222.00	17857
223.00	16279
224.00	14822
225.00	13547
226.00	12324
227.00	11206
228.00	10125
229.00	9144.3
230.00	8224.3
231.00	7394.3
232.00	6663.9
233.00	6006.5
234.00	5434.1
235.00	4923.7
236.00	4488.3
237.00	4114.5
238.00	3811.2
239.00	3569.9
240.00	3382.8
241.00	3246.6
242.00	3157.7
243.00	3112.1
244.00	3107.0
245.00	3137.1
246.00	3205.1
247.00	3308.8
248.00	3447.6
249.00	3614.9
250.00	3814.9
251.00	4047.2
252.00	4302.8
253.00	4595.5
254.00	4910.9
255.00	5257.2
256.00	5629.1
257.00	6020.2
258.00	6440.8
259.00	6882.0
260.00	7340.6
261.00	7824.3
262.00	8312.1
263.00	8825.6
264.00	9342.7
265.00	9867.6
266.00	10397
267.00	10936
268.00	11454
269.00	11984
270.00	12504
271.00	12999
272.00	13493
273.00	13966
274.00	14433
275.00	14874
276.00	15278
277.00	15648
278.00	15988
279.00	16297
280.00	16545
281.00	16783
282.00	16976
283.00	17120
284.00	17226
285.00	17329
286.00	17411
287.00	17474
288.00	17466
289.00	17466
290.00	17427
291.00	17371
292.00	17257
293.00	17110
294.00	16911
295.00	16674
296.00	16368
297.00	16021
298.00	15651
299.00	15216
300.00	14746
301.00	14241
302.00	13733
303.00	13163
304.00	12570
305.00	11965
306.00	11351
307.00	10702
308.00	10082
309.00	9452.3
310.00	8821.0
311.00	8196.4
312.00	7594.5
313.00	7009.8
314.00	6440.3
315.00	5888.9
316.00	5372.3
317.00	4889.4
318.00	4419.4
319.00	3983.7
320.00	3581.1
321.00	3204.1
322.00	2848.3
323.00	2524.2
324.00	2231.8
325.00	1961.7
326.00	1710.7
327.00	1491.6
328.00	1286.1
329.00	1107.9
330.00	946.37
331.00	807.97
332.00	681.54
333.00	570.83
334.00	479.97
335.00	400.93
336.00	333.29
337.00	276.82
338.00	230.85
339.00	190.77
340.00	157.83
341.00	129.79
342.00	108.58
343.00	91.847
344.00	81.302
345.00	69.316
346.00	55.405
347.00	52.882
348.00	45.267
349.00	38.810
350.00	34.514
351.00	33.404
352.00	35.225
353.00	28.492
354.00	31.252
355.00	27.022
356.00	27.383
357.00	26.159
358.00	22.281
359.00	26.093
360.00	27.828
361.00	26.605
362.00	22.954
363.00	21.636
364.00	24.595
365.00	25.145
366.00	16.003
367.00	21.873
368.00	18.535
369.00	17.758
370.00	20.688
371.00	13.604
372.00	12.760
373.00	20.697
374.00	18.706
375.00	19.616
376.00	14.296
377.00	15.681
378.00	16.904
379.00	12.665
380.00	16.070
381.00	18.734
382.00	17.501
383.00	16.231
384.00	13.395
385.00	9.7255
386.00	19.398
387.00	11.888
388.00	19.493
389.00	18.592
390.00	18.042
391.00	16.013
392.00	14.846
393.00	20.014
394.00	22.954
395.00	16.221
396.00	19.170
397.00	16.307
398.00	15.491
399.00	14.401
400.00	12.049
