Wavelength (nm)	F03 abs e
240.00	327.29
240.25	312.29
240.50	294.35
240.75	283.14
241.00	271.14
241.25	258.59
241.50	248.27
241.75	240.83
242.00	234.87
242.25	225.64
242.50	221.55
242.75	214.88
243.00	212.66
243.25	208.22
243.50	206.85
243.75	201.57
244.00	197.65
244.25	198.42
244.50	196.83
244.75	195.12
245.00	194.62
245.25	194.14
245.50	193.43
245.75	194.92
246.00	194.40
246.25	195.79
246.50	197.70
246.75	198.99
247.00	202.30
247.25	202.61
247.50	204.36
247.75	208.03
248.00	211.42
248.25	214.05
248.50	217.46
248.75	218.58
249.00	222.43
249.25	228.38
249.50	230.99
249.75	235.85
250.00	241.06
250.25	245.63
250.50	252.06
250.75	257.14
251.00	259.63
251.25	265.79
251.50	269.86
251.75	279.22
252.00	283.79
252.25	290.64
252.50	296.80
252.75	305.49
253.00	309.59
253.25	317.69
253.50	324.90
253.75	333.24
254.00	340.03
254.25	346.69
254.50	353.38
254.75	358.25
255.00	362.18
255.25	370.06
255.50	377.62
255.75	389.43
256.00	395.63
256.25	407.92
256.50	418.19
256.75	428.32
257.00	439.57
257.25	450.84
257.50	459.25
257.75	472.13
258.00	484.81
258.25	495.44
258.50	508.78
258.75	521.28
259.00	533.39
259.25	548.48
259.50	562.14
259.75	576.64
260.00	589.52
260.25	605.30
260.50	614.91
260.75	631.43
261.00	645.07
261.25	662.76
261.50	676.26
261.75	692.41
262.00	703.82
262.25	717.77
262.50	735.83
262.75	756.37
263.00	772.22
263.25	787.12
263.50	806.01
263.75	820.12
264.00	838.59
264.25	858.00
264.50	876.34
264.75	891.33
265.00	907.69
265.25	928.88
265.50	942.45
265.75	959.81
266.00	976.82
266.25	994.47
266.50	1010.7
266.75	1028.2
267.00	1038.2
267.25	1054.6
267.50	1067.3
267.75	1087.8
268.00	1105.0
268.25	1117.6
268.50	1131.9
268.75	1146.3
269.00	1157.7
269.25	1174.1
269.50	1187.7
269.75	1201.7
270.00	1215.1
270.25	1231.1
270.50	1244.9
270.75	1258.0
271.00	1272.9
271.25	1284.9
271.50	1304.0
271.75	1317.5
272.00	1332.6
272.25	1341.6
272.50	1353.6
272.75	1364.5
273.00	1376.7
273.25	1388.3
273.50	1391.2
273.75	1397.7
274.00	1399.0
274.25	1405.0
274.50	1398.0
274.75	1401.8
275.00	1400.1
275.25	1393.4
275.50	1384.2
275.75	1372.0
276.00	1361.7
276.25	1351.3
276.50	1334.2
276.75	1318.3
277.00	1307.9
277.25	1295.3
277.50	1278.1
277.75	1268.2
278.00	1258.0
278.25	1251.3
278.50	1243.9
278.75	1237.0
279.00	1229.5
279.25	1222.8
279.50	1218.1
279.75	1213.1
280.00	1206.7
280.25	1200.4
280.50	1194.2
280.75	1182.1
281.00	1167.6
281.25	1155.0
281.50	1133.8
281.75	1119.8
282.00	1097.4
282.25	1073.6
282.50	1042.9
282.75	1014.5
283.00	979.31
283.25	943.43
283.50	905.36
283.75	866.61
284.00	825.50
284.25	784.56
284.50	740.88
284.75	701.83
285.00	661.52
285.25	618.73
285.50	579.85
285.75	539.42
286.00	505.35
286.25	464.98
286.50	434.62
286.75	399.38
287.00	369.75
287.25	338.21
287.50	310.75
287.75	285.39
288.00	260.98
288.25	238.89
288.50	217.37
288.75	200.80
289.00	181.87
289.25	169.30
289.50	154.39
289.75	142.07
290.00	128.63
290.25	117.69
290.50	110.31
290.75	98.650
291.00	92.129
291.25	85.173
291.50	75.888
291.75	72.259
292.00	65.211
292.25	61.983
292.50	58.320
292.75	55.081
293.00	50.855
293.25	48.362
293.50	46.626
293.75	43.937
294.00	41.341
294.25	39.685
294.50	37.880
294.75	36.121
295.00	37.288
295.25	32.213
295.50	34.527
295.75	29.923
296.00	29.862
296.25	29.101
296.50	29.155
296.75	25.067
297.00	25.649
297.25	24.957
297.50	25.596
297.75	24.181
298.00	24.820
298.25	25.160
298.50	22.094
298.75	25.475
299.00	21.547
299.25	20.419
299.50	21.930
299.75	20.033
300.00	18.699
300.25	19.797
300.50	20.826
300.75	18.895
301.00	22.195
301.25	20.081
301.50	19.228
301.75	21.060
302.00	17.821
302.25	18.001
302.50	18.824
302.75	16.170
303.00	17.681
303.25	19.203
303.50	17.811
303.75	17.842
304.00	15.292
304.25	17.411
304.50	15.583
304.75	14.340
305.00	16.987
