Wavelength (nm)	FL135 [12] 479-91-4, Casticin [D]
210.00	39232
211.00	38816
212.00	38305
213.00	37523
214.00	36425
215.00	35177
216.00	33355
217.00	31522
218.00	29695
219.00	27979
220.00	26422
221.00	24870
222.00	23351
223.00	22133
224.00	21085
225.00	20166
226.00	19416
227.00	18801
228.00	18250
229.00	17863
230.00	17502
231.00	17217
232.00	16973
233.00	16738
234.00	16574
235.00	16409
236.00	16282
237.00	16199
238.00	16115
239.00	16113
240.00	16111
241.00	16119
242.00	16132
243.00	16195
244.00	16339
245.00	16540
246.00	16936
247.00	17344
248.00	17771
249.00	18279
250.00	18842
251.00	19281
252.00	19724
253.00	20163
254.00	20479
255.00	20796
256.00	20900
257.00	20836
258.00	20618
259.00	20392
260.00	20139
261.00	19821
262.00	19539
263.00	19275
264.00	19056
265.00	18864
266.00	18712
267.00	18671
268.00	18685
269.00	18699
270.00	18713
271.00	18537
272.00	18269
273.00	17922
274.00	17542
275.00	17105
276.00	16530
277.00	15751
278.00	14934
279.00	14106
280.00	13432
281.00	12780
282.00	12222
283.00	11663
284.00	11305
285.00	10966
286.00	10670
287.00	10498
288.00	10326
289.00	10198
290.00	10077
291.00	9970.7
292.00	9878.4
293.00	9756.5
294.00	9611.4
295.00	9514.5
296.00	9448.5
297.00	9433.1
298.00	9443.9
299.00	9476.3
300.00	9570.5
301.00	9664.7
302.00	9792.9
303.00	9951.3
304.00	10110
305.00	10275
306.00	10441
307.00	10615
308.00	10836
309.00	11057
310.00	11294
311.00	11558
312.00	11822
313.00	12093
314.00	12371
315.00	12650
316.00	12928
317.00	13281
318.00	13640
319.00	13999
320.00	14368
321.00	14747
322.00	15126
323.00	15525
324.00	15958
325.00	16392
326.00	16826
327.00	17262
328.00	17698
329.00	18154
330.00	18609
331.00	19065
332.00	19475
333.00	19865
334.00	20254
335.00	20616
336.00	20935
337.00	21254
338.00	21540
339.00	21814
340.00	22087
341.00	22289
342.00	22491
343.00	22679
344.00	22814
345.00	22950
346.00	23070
347.00	23163
348.00	23190
349.00	23170
350.00	23084
351.00	22991
352.00	22890
353.00	22788
354.00	22632
355.00	22470
356.00	22269
357.00	21998
358.00	21727
359.00	21436
360.00	21125
361.00	20814
362.00	20453
363.00	20032
364.00	19611
365.00	19171
366.00	18658
367.00	18146
368.00	17616
369.00	16992
370.00	16367
371.00	15742
372.00	15112
373.00	14468
374.00	13825
375.00	13182
376.00	12515
377.00	11848
378.00	11181
379.00	10548
380.00	9926.3
381.00	9304.5
382.00	8684.0
383.00	8063.6
384.00	7443.2
385.00	6938.5
386.00	6443.9
387.00	5958.1
388.00	5491.1
389.00	5024.1
390.00	4575.3
391.00	4153.7
392.00	3732.1
393.00	3360.9
394.00	3062.4
395.00	2763.8
396.00	2520.4
397.00	2336.6
398.00	2152.9
399.00	1969.1
400.00	1785.4
