Wavelength (nm)	A11 abs1 e
235.00	73.340
236.00	59.532
237.00	55.158
238.00	56.316
239.00	60.832
240.00	66.719
241.00	76.870
242.00	88.464
243.00	102.98
244.00	120.54
245.00	139.50
246.00	159.65
247.00	180.54
248.00	206.49
249.00	240.67
250.00	282.71
251.00	321.50
252.00	357.45
253.00	395.81
254.00	441.67
255.00	511.52
256.00	588.52
257.00	660.17
258.00	732.91
259.00	798.02
260.00	855.18
261.00	933.18
262.00	1021.2
263.00	1142.9
264.00	1320.7
265.00	1427.2
266.00	1406.7
267.00	1366.2
268.00	1367.5
269.00	1440.4
270.00	1758.1
271.00	2100.0
272.00	1998.1
273.00	1616.9
274.00	1258.2
275.00	1037.9
276.00	1052.6
277.00	1586.7
278.00	1992.7
279.00	1575.8
280.00	948.18
281.00	530.77
282.00	295.97
283.00	172.66
284.00	107.63
285.00	69.948
286.00	48.257
287.00	32.738
288.00	22.505
289.00	16.342
290.00	12.401
291.00	9.6280
292.00	7.9492
293.00	7.6618
294.00	5.7595
295.00	5.7035
296.00	5.4693
297.00	5.2929
298.00	5.7830
299.00	4.0636
300.00	4.6183
