Wavelength (nm)	A31 abs e
210.00	1857.5
211.00	1789.4
212.00	1808.9
213.00	1897.8
214.00	2048.6
215.00	2259.4
216.00	2526.0
217.00	2853.4
218.00	3246.7
219.00	3687.0
220.00	4193.6
221.00	4764.7
222.00	5394.2
223.00	6082.2
224.00	6819.0
225.00	7585.3
226.00	8388.9
227.00	9204.3
228.00	10066
229.00	10924
230.00	11802
231.00	12638
232.00	13387
233.00	14085
234.00	14685
235.00	15232
236.00	15740
237.00	16234
238.00	16638
239.00	16921
240.00	17000
241.00	16809
242.00	16346
243.00	15744
244.00	15117
245.00	14521
246.00	13958
247.00	13457
248.00	12938
249.00	12251
250.00	11214
251.00	9823.8
252.00	8276.3
253.00	6766.1
254.00	5490.5
255.00	4500.6
256.00	3764.4
257.00	3228.9
258.00	2829.0
259.00	2528.5
260.00	2294.8
261.00	2119.1
262.00	1974.8
263.00	1860.6
264.00	1769.6
265.00	1688.3
266.00	1621.9
267.00	1563.1
268.00	1511.6
269.00	1472.4
270.00	1443.0
271.00	1426.5
272.00	1415.8
273.00	1411.9
274.00	1412.9
275.00	1406.3
276.00	1404.6
277.00	1405.5
278.00	1407.1
279.00	1420.2
280.00	1445.6
281.00	1482.2
282.00	1520.1
283.00	1549.6
284.00	1565.8
285.00	1555.9
286.00	1515.9
287.00	1458.5
288.00	1395.0
289.00	1336.7
290.00	1296.1
291.00	1279.9
292.00	1278.6
293.00	1274.8
294.00	1261.1
295.00	1206.4
296.00	1109.0
297.00	975.03
298.00	804.82
299.00	640.29
300.00	482.46
301.00	354.42
302.00	255.59
303.00	179.49
304.00	133.11
305.00	95.634
306.00	70.157
307.00	56.661
308.00	43.568
309.00	38.331
310.00	35.720
311.00	32.538
312.00	26.108
313.00	25.149
314.00	23.119
315.00	25.850
316.00	23.610
317.00	21.975
318.00	21.854
319.00	23.699
320.00	22.144
321.00	19.267
322.00	22.861
323.00	19.122
324.00	20.258
325.00	20.387
326.00	21.894
327.00	19.823
328.00	17.761
329.00	17.672
330.00	18.163
331.00	13.708
332.00	15.263
333.00	16.898
334.00	16.520
335.00	17.680
336.00	18.663
337.00	17.833
338.00	18.848
339.00	17.833
340.00	17.720
341.00	19.259
342.00	16.109
343.00	19.203
344.00	18.615
345.00	15.819
346.00	18.937
347.00	14.264
348.00	14.320
349.00	16.858
350.00	19.203
