Wavelength (nm)	FL150 [12] 94306-34-0, JCS 1951_3136, A15 [D]
220.00	25023
221.00	24169
222.00	23312
223.00	22452
224.00	21620
225.00	20792
226.00	19980
227.00	19354
228.00	18768
229.00	18097
230.00	17440
231.00	17002
232.00	16674
233.00	16430
234.00	16279
235.00	16237
236.00	16269
237.00	16322
238.00	16389
239.00	16456
240.00	16526
241.00	16599
242.00	16675
243.00	16807
244.00	16939
245.00	17003
246.00	16863
247.00	16615
248.00	16330
249.00	16054
250.00	15809
251.00	15564
252.00	15316
253.00	15066
254.00	14816
255.00	14559
256.00	14290
257.00	14021
258.00	13700
259.00	13376
260.00	13066
261.00	12791
262.00	12519
263.00	12327
264.00	12135
265.00	11994
266.00	11904
267.00	11841
268.00	11796
269.00	11754
270.00	11719
271.00	11684
272.00	11667
273.00	11648
274.00	11619
275.00	11590
276.00	11504
277.00	11332
278.00	11016
279.00	10582
280.00	9760.7
281.00	9060.0
282.00	8529.6
283.00	8091.3
284.00	7701.9
285.00	7390.8
286.00	7090.8
287.00	6821.1
288.00	6599.4
289.00	6416.7
290.00	6330.3
291.00	6290.6
292.00	6299.8
293.00	6353.5
294.00	6481.2
295.00	6633.3
296.00	6844.3
297.00	7069.2
298.00	7331.3
299.00	7599.9
300.00	7897.1
301.00	8230.5
302.00	8563.9
303.00	8904.1
304.00	9273.2
305.00	9642.4
306.00	10011
307.00	10427
308.00	10922
309.00	11416
310.00	11911
311.00	12405
312.00	12900
313.00	13394
314.00	13948
315.00	14508
316.00	15077
317.00	15658
318.00	16239
319.00	16811
320.00	17355
321.00	17900
322.00	18441
323.00	18836
324.00	19230
325.00	19623
326.00	19965
327.00	20307
328.00	20649
329.00	20940
330.00	21185
331.00	21428
332.00	21671
333.00	21883
334.00	22043
335.00	22202
336.00	22319
337.00	22400
338.00	22305
339.00	22200
340.00	22075
341.00	21950
342.00	21705
343.00	21438
344.00	21128
345.00	20788
346.00	20437
347.00	19975
348.00	19512
349.00	19049
350.00	18552
351.00	18054
352.00	17557
353.00	17038
354.00	16518
355.00	15938
356.00	15302
357.00	14586
358.00	13803
359.00	13018
360.00	12229
361.00	11443
362.00	10667
363.00	9898.3
364.00	9203.8
365.00	8531.3
366.00	7947.0
367.00	7362.6
