Wavelength (nm)	FL005 [2] 491-38-3, Chromone [C]
210.00	10338
211.00	10760
212.00	11223
213.00	11706
214.00	12142
215.00	12522
216.00	12826
217.00	13021
218.00	13129
219.00	13167
220.00	13124
221.00	12964
222.00	12643
223.00	12150
224.00	11592
225.00	11034
226.00	10543
227.00	10021
228.00	9390.6
229.00	8743.6
230.00	8167.3
231.00	7712.9
232.00	7389.9
233.00	7171.6
234.00	7061.3
235.00	7031.4
236.00	7065.7
237.00	7127.7
238.00	7180.3
239.00	7200.0
240.00	7181.1
241.00	7138.3
242.00	7087.5
243.00	7025.0
244.00	6940.0
245.00	6836.1
246.00	6693.6
247.00	6483.5
248.00	6188.7
249.00	5834.2
250.00	5469.1
251.00	5119.2
252.00	4806.1
253.00	4534.2
254.00	4300.5
255.00	4088.9
256.00	3870.6
257.00	3631.5
258.00	3375.5
259.00	3122.4
260.00	2895.4
261.00	2702.1
262.00	2527.7
263.00	2346.9
264.00	2165.4
265.00	1982.9
266.00	1822.1
267.00	1687.3
268.00	1586.1
269.00	1513.0
270.00	1470.4
271.00	1462.8
272.00	1477.6
273.00	1523.5
274.00	1586.2
275.00	1671.6
276.00	1775.4
277.00	1898.4
278.00	2040.3
279.00	2192.5
280.00	2355.7
281.00	2528.2
282.00	2704.4
283.00	2883.6
284.00	3066.0
285.00	3250.1
286.00	3438.2
287.00	3636.1
288.00	3847.7
289.00	4061.7
290.00	4264.7
291.00	4450.1
292.00	4621.8
293.00	4766.0
294.00	4885.1
295.00	4979.1
296.00	5041.6
297.00	5062.0
298.00	5043.2
299.00	4998.0
300.00	4975.3
301.00	4988.7
302.00	4972.4
303.00	4866.7
304.00	4701.9
305.00	4524.8
306.00	4333.1
307.00	4071.1
308.00	3703.9
309.00	3247.2
310.00	2746.8
311.00	2249.4
312.00	1810.2
313.00	1434.3
314.00	1122.7
315.00	879.93
316.00	687.18
317.00	531.74
318.00	414.04
319.00	323.82
320.00	254.52
321.00	207.21
322.00	170.02
323.00	139.45
324.00	121.92
325.00	105.43
326.00	93.033
327.00	83.209
328.00	79.667
329.00	71.326
330.00	67.752
331.00	64.453
332.00	60.522
333.00	61.478
334.00	57.734
335.00	55.383
336.00	51.209
337.00	49.036
338.00	48.558
339.00	49.409
340.00	49.336
341.00	48.355
342.00	48.347
343.00	45.429
344.00	47.131
345.00	45.591
346.00	45.543
347.00	48.890
348.00	46.110
349.00	48.663
350.00	44.870
351.00	46.370
352.00	43.687
353.00	41.733
354.00	45.421
355.00	42.900
356.00	46.799
357.00	43.792
358.00	40.185
359.00	39.869
360.00	41.620
361.00	43.038
362.00	39.593
363.00	35.719
364.00	36.043
365.00	41.620
366.00	37.064
367.00	39.107
368.00	35.735
369.00	35.678
370.00	32.785
371.00	32.290
372.00	33.611
373.00	29.542
374.00	28.781
375.00	32.979
376.00	30.531
377.00	25.927
378.00	30.807
379.00	27.565
380.00	25.887
381.00	26.187
382.00	27.978
383.00	26.292
384.00	25.830
385.00	22.442
386.00	19.151
387.00	20.424
388.00	20.829
389.00	27.168
390.00	21.267
391.00	21.518
392.00	18.219
393.00	19.540
394.00	21.145
395.00	22.531
396.00	17.344
397.00	14.037
398.00	15.431
399.00	18.195
400.00	15.147
401.00	17.952
402.00	18.373
403.00	16.022
404.00	18.535
405.00	17.579
406.00	14.936
407.00	12.399
408.00	12.642
409.00	18.097
410.00	11.905
411.00	11.232
412.00	11.848
413.00	18.008
414.00	13.356
415.00	12.018
416.00	11.281
417.00	11.135
418.00	16.160
419.00	16.014
420.00	15.261
421.00	16.574
422.00	17.052
423.00	19.257
424.00	16.663
425.00	14.539
426.00	12.683
427.00	15.309
428.00	17.109
429.00	14.653
430.00	9.9514
431.00	16.493
432.00	16.801
433.00	16.322
434.00	15.949
435.00	15.836
436.00	16.501
437.00	17.960
438.00	13.680
439.00	14.418
440.00	19.905
441.00	12.602
442.00	15.795
443.00	16.744
444.00	19.638
445.00	13.396
446.00	16.938
447.00	16.687
448.00	17.838
449.00	17.822
450.00	21.858
451.00	19.257
452.00	18.689
453.00	18.381
454.00	22.288
455.00	16.209
456.00	21.469
457.00	21.234
458.00	15.601
459.00	18.195
460.00	18.535
461.00	16.995
462.00	19.678
463.00	21.040
464.00	18.778
465.00	10.122
466.00	17.814
467.00	18.276
468.00	16.614
469.00	14.442
470.00	17.376
471.00	19.175
472.00	11.402
473.00	13.777
474.00	22.401
475.00	18.535
476.00	14.085
477.00	9.3192
478.00	18.130
479.00	20.343
480.00	21.364
481.00	18.665
482.00	17.092
483.00	14.328
484.00	13.899
485.00	4.4802
486.00	2.7618
487.00	15.333
488.00	20.010
489.00	14.320
490.00	6.1823
491.00	10.908
492.00	12.270
493.00	17.822
494.00	17.887
495.00	22.701
496.00	20.018
497.00	10.559
498.00	11.240
499.00	13.485
500.00	18.843
