Wavelength (nm)	FL172 [15] 522-17-8, Deguelin [C]
210.00	20776
211.00	19154
212.00	17578
213.00	16102
214.00	14747
215.00	13609
216.00	12738
217.00	12099
218.00	11694
219.00	11499
220.00	11455
221.00	11536
222.00	11686
223.00	11898
224.00	12161
225.00	12476
226.00	12844
227.00	13238
228.00	13626
229.00	13971
230.00	14319
231.00	14644
232.00	15008
233.00	15414
234.00	15797
235.00	16106
236.00	16282
237.00	16364
238.00	16409
239.00	16411
240.00	16391
241.00	16343
242.00	16249
243.00	16152
244.00	16090
245.00	16083
246.00	16147
247.00	16273
248.00	16441
249.00	16602
250.00	16719
251.00	16773
252.00	16743
253.00	16668
254.00	16575
255.00	16517
256.00	16529
257.00	16642
258.00	16872
259.00	17210
260.00	17635
261.00	18115
262.00	18612
263.00	19075
264.00	19514
265.00	19890
266.00	20262
267.00	20585
268.00	20884
269.00	21096
270.00	21200
271.00	21099
272.00	20783
273.00	20167
274.00	19283
275.00	18117
276.00	16784
277.00	15322
278.00	13810
279.00	12321
280.00	10956
281.00	9767.5
282.00	8774.8
283.00	8039.0
284.00	7526.5
285.00	7184.6
286.00	6987.9
287.00	6905.7
288.00	6883.0
289.00	6929.2
290.00	6992.0
291.00	7049.4
292.00	7118.8
293.00	7185.0
294.00	7260.5
295.00	7314.8
296.00	7362.8
297.00	7378.7
298.00	7377.2
299.00	7384.5
300.00	7373.9
301.00	7359.7
302.00	7298.6
303.00	7219.7
304.00	7117.5
305.00	6971.9
306.00	6862.8
307.00	6765.3
308.00	6678.9
309.00	6601.9
310.00	6568.8
311.00	6568.2
312.00	6561.2
313.00	6560.1
314.00	6564.5
315.00	6568.9
316.00	6579.0
317.00	6557.0
318.00	6541.2
319.00	6505.3
320.00	6448.9
321.00	6374.3
322.00	6280.9
323.00	6185.8
324.00	6066.1
325.00	5938.0
326.00	5818.0
327.00	5677.3
328.00	5529.5
329.00	5400.0
330.00	5235.7
331.00	5078.7
332.00	4909.2
333.00	4729.5
334.00	4551.8
335.00	4380.4
336.00	4185.1
337.00	3987.2
338.00	3800.4
339.00	3627.7
340.00	3442.3
341.00	3264.0
342.00	3109.1
343.00	2948.0
344.00	2783.2
345.00	2632.5
346.00	2478.8
347.00	2320.6
348.00	2176.8
349.00	2032.0
350.00	1883.9
351.00	1757.8
352.00	1641.2
353.00	1534.6
354.00	1415.7
355.00	1315.0
356.00	1211.0
357.00	1119.7
358.00	1044.4
359.00	973.89
360.00	888.65
361.00	818.67
362.00	748.90
363.00	683.01
364.00	610.12
365.00	562.43
366.00	503.82
367.00	453.74
368.00	402.93
369.00	356.21
370.00	329.55
371.00	289.45
372.00	277.80
373.00	232.25
374.00	197.88
375.00	186.21
376.00	177.21
377.00	164.99
378.00	157.52
379.00	138.64
380.00	120.34
381.00	110.19
382.00	108.66
383.00	101.66
384.00	99.268
385.00	96.473
386.00	82.707
387.00	56.562
388.00	48.975
389.00	59.170
390.00	59.593
391.00	41.058
392.00	50.784
393.00	36.360
394.00	24.850
395.00	57.948
396.00	30.182
397.00	22.853
398.00	26.001
399.00	7.7488
400.00	12.823
401.00	9.2287
402.00	10.286
403.00	10.897
404.00	20.410
405.00	17.239
406.00	9.1112
407.00	9.9569
408.00	17.028
409.00	25.813
410.00	11.625
411.00	15.783
412.00	14.397
413.00	3.7788
414.00	6.8561
415.00	11.883
416.00	9.9334
417.00	12.564
418.00	1.4360
419.00	14.890
420.00	21.702
421.00	2.5809
422.00	3.4265
423.00	7.5608
424.00	20.833
425.00	5.4467
426.00	10.997
427.00	14.044
428.00	21.162
429.00	30.652
430.00	16.722
431.00	9.0643
432.00	9.1112
433.00	0.86605
434.00	8.0542
435.00	23.323
436.00	8.1011
437.00	23.018
438.00	19.659
439.00	10.427
440.00	2.2347
441.00	0.79555
442.00	6.3629
443.00	6.1749
444.00	6.7857
445.00	20.246
446.00	11.296
447.00	6.5742
448.00	13.152
449.00	27.058
450.00	7.9602
451.00	21.185
452.00	26.142
453.00	34.786
454.00	16.699
455.00	14.661
456.00	15.501
457.00	9.3629
458.00	24.004
459.00	26.823
460.00	22.689
461.00	13.058
462.00	16.722
463.00	11.131
464.00	10.833
465.00	11.470
466.00	16.981
467.00	16.135
468.00	9.2052
469.00	26.212
470.00	31.427
471.00	21.632
472.00	10.198
473.00	9.7920
474.00	13.769
475.00	19.612
476.00	20.362
477.00	13.692
478.00	10.437
479.00	38.568
480.00	32.649
481.00	33.166
482.00	7.2723
483.00	5.0709
484.00	14.467
485.00	8.0777
486.00	11.383
487.00	10.615
488.00	10.530
489.00	12.809
490.00	10.625
491.00	41.176
492.00	46.978
493.00	15.900
494.00	21.279
495.00	23.182
496.00	8.0137
497.00	7.7253
498.00	18.014
499.00	16.017
500.00	28.749
