Wavelength (nm)	Chem Eur J 2015_11664, At-2HM-iso-DNCC-43 (3) abs [Z]
200.00	0.81724
201.00	0.83211
202.00	0.84697
203.00	0.86206
204.00	0.87750
205.00	0.89089
206.00	0.90165
207.00	0.91242
208.00	0.92695
209.00	0.94201
210.00	0.95525
211.00	0.96782
212.00	0.98040
213.00	0.98911
214.00	0.99705
215.00	0.99853
216.00	1.0000
217.00	0.99709
218.00	0.99418
219.00	0.98390
220.00	0.97315
221.00	0.95692
222.00	0.94063
223.00	0.92445
224.00	0.90860
225.00	0.89276
226.00	0.87692
227.00	0.86301
228.00	0.84974
229.00	0.83647
230.00	0.82520
231.00	0.81488
232.00	0.80455
233.00	0.79512
234.00	0.78603
235.00	0.77694
236.00	0.77019
237.00	0.76356
238.00	0.75724
239.00	0.75113
240.00	0.74489
241.00	0.73612
242.00	0.72736
243.00	0.71795
244.00	0.70810
245.00	0.69825
246.00	0.68355
247.00	0.66705
248.00	0.65056
249.00	0.63069
250.00	0.61028
251.00	0.58986
252.00	0.56868
253.00	0.54717
254.00	0.52565
255.00	0.50414
256.00	0.48220
257.00	0.45921
258.00	0.43623
259.00	0.41381
260.00	0.39170
261.00	0.37281
262.00	0.35915
263.00	0.34668
264.00	0.33822
265.00	0.32976
266.00	0.32130
267.00	0.31389
268.00	0.30681
269.00	0.29972
270.00	0.29264
271.00	0.28585
272.00	0.27958
273.00	0.27331
274.00	0.26704
275.00	0.26092
276.00	0.25709
277.00	0.25326
278.00	0.24943
279.00	0.24560
280.00	0.24177
281.00	0.23691
282.00	0.23170
283.00	0.22649
284.00	0.22128
285.00	0.21601
286.00	0.21035
287.00	0.20469
288.00	0.19903
289.00	0.19338
290.00	0.18772
291.00	0.18227
292.00	0.17758
293.00	0.17289
294.00	0.16821
295.00	0.16352
296.00	0.15884
297.00	0.15415
298.00	0.14919
299.00	0.14400
300.00	0.13881
301.00	0.13363
302.00	0.12844
303.00	0.12326
304.00	0.11833
305.00	0.11397
306.00	0.10960
307.00	0.10524
308.00	0.10088
309.00	0.096511
310.00	0.092299
311.00	0.088156
312.00	0.084013
313.00	0.079870
314.00	0.075727
315.00	0.071584
316.00	0.068229
317.00	0.065121
318.00	0.062014
319.00	0.058907
320.00	0.055800
321.00	0.052693
322.00	0.049586
323.00	0.046467
324.00	0.043348
325.00	0.040229
326.00	0.037109
327.00	0.033990
328.00	0.030871
329.00	0.028688
330.00	0.026966
331.00	0.025244
332.00	0.023522
333.00	0.021800
334.00	0.020078
335.00	0.018356
336.00	0.017009
337.00	0.015815
338.00	0.014621
339.00	0.013427
340.00	0.012233
341.00	0.011104
342.00	0.010253
343.00	0.0094011
344.00	0.0085495
345.00	0.0076980
346.00	0.0068464
347.00	0.0062747
348.00	0.0059229
349.00	0.0055711
350.00	0.0052193
351.00	0.0048675
352.00	0.0045740
353.00	0.0043518
354.00	0.0041296
355.00	0.0039074
356.00	0.0036852
357.00	0.0034629
358.00	0.0032407
359.00	0.0030185
360.00	0.0028763
361.00	0.0028763
362.00	0.0028763
363.00	0.0028763
364.00	0.0028763
365.00	0.0028763
366.00	0.0028763
367.00	0.0028763
368.00	0.0028763
369.00	0.0028763
370.00	0.0028763
371.00	0.0028763
372.00	0.0028763
373.00	0.0028763
374.00	0.0028763
375.00	0.0028763
376.00	0.0028763
377.00	0.0028763
378.00	0.0028763
379.00	0.0028763
380.00	0.0028763
381.00	0.0028763
382.00	0.0028763
383.00	0.0028763
384.00	0.0028763
385.00	0.0028763
386.00	0.0028763
387.00	0.0028763
388.00	0.0028763
389.00	0.0028763
390.00	0.0028763
391.00	0.0028763
392.00	0.0028763
393.00	0.0028763
394.00	0.0028763
395.00	0.0028763
396.00	0.0028763
397.00	0.0028763
398.00	0.0028763
399.00	0.0028763
400.00	0.0028763
