Wavelength (nm)	Angew 2018_14937, iminoester (3) [Z]
210.00	0.83830
211.00	0.84843
212.00	0.85753
213.00	0.86532
214.00	0.87032
215.00	0.87449
216.00	0.87644
217.00	0.87365
218.00	0.86874
219.00	0.86267
220.00	0.85631
221.00	0.84883
222.00	0.84135
223.00	0.83387
224.00	0.82348
225.00	0.81299
226.00	0.80262
227.00	0.79243
228.00	0.78225
229.00	0.77289
230.00	0.76483
231.00	0.75678
232.00	0.74888
233.00	0.74180
234.00	0.73473
235.00	0.72828
236.00	0.72356
237.00	0.71883
238.00	0.71410
239.00	0.71151
240.00	0.70908
241.00	0.70697
242.00	0.70582
243.00	0.70467
244.00	0.70357
245.00	0.70519
246.00	0.70681
247.00	0.70842
248.00	0.71235
249.00	0.71801
250.00	0.72367
251.00	0.73113
252.00	0.74079
253.00	0.75045
254.00	0.76231
255.00	0.77530
256.00	0.78830
257.00	0.80129
258.00	0.81820
259.00	0.83569
260.00	0.85318
261.00	0.87007
262.00	0.88564
263.00	0.90120
264.00	0.91676
265.00	0.93167
266.00	0.94375
267.00	0.95584
268.00	0.96793
269.00	0.97644
270.00	0.98364
271.00	0.99083
272.00	0.99554
273.00	0.99777
274.00	1.0000
275.00	0.99737
276.00	0.99474
277.00	0.99211
278.00	0.98553
279.00	0.97808
280.00	0.96835
281.00	0.95765
282.00	0.94694
283.00	0.93522
284.00	0.91723
285.00	0.89924
286.00	0.88046
287.00	0.86021
288.00	0.83995
289.00	0.82008
290.00	0.80150
291.00	0.78291
292.00	0.76497
293.00	0.74919
294.00	0.73367
295.00	0.72026
296.00	0.70725
297.00	0.69781
298.00	0.68837
299.00	0.68141
300.00	0.67656
301.00	0.67171
302.00	0.66718
303.00	0.66579
304.00	0.66440
305.00	0.66322
306.00	0.66234
307.00	0.66159
308.00	0.66118
309.00	0.66055
310.00	0.65707
311.00	0.65359
312.00	0.64880
313.00	0.64205
314.00	0.63508
315.00	0.62476
316.00	0.61443
317.00	0.60033
318.00	0.58475
319.00	0.56871
320.00	0.55263
321.00	0.53627
322.00	0.51334
323.00	0.49040
324.00	0.46746
325.00	0.44207
326.00	0.41646
327.00	0.39086
328.00	0.36531
329.00	0.33979
330.00	0.31426
331.00	0.28873
332.00	0.26316
333.00	0.23759
334.00	0.21202
335.00	0.18934
336.00	0.16893
337.00	0.14851
338.00	0.12867
339.00	0.11400
340.00	0.099325
341.00	0.084652
342.00	0.073343
343.00	0.062536
344.00	0.051730
345.00	0.045208
346.00	0.039384
347.00	0.033560
348.00	0.028257
349.00	0.025177
350.00	0.022097
351.00	0.019018
352.00	0.015938
353.00	0.012978
354.00	0.011896
355.00	0.010813
356.00	0.0097308
357.00	0.0086483
358.00	0.0075659
359.00	0.0065067
360.00	0.0058892
361.00	0.0052717
362.00	0.0046542
363.00	0.0040367
364.00	0.0034192
365.00	0.0028157
366.00	0.0026668
367.00	0.0025179
368.00	0.0023690
369.00	0.0022200
370.00	0.0020711
371.00	0.0019222
372.00	0.0017828
373.00	0.0016459
374.00	0.0015090
375.00	0.0013722
376.00	0.0012353
377.00	0.0010984
378.00	0.00096156
379.00	0.00096156
380.00	0.00096156
381.00	0.00096156
382.00	0.00096156
383.00	0.00096156
384.00	0.00096156
385.00	0.00096156
386.00	0.00096156
387.00	0.00096156
388.00	0.00096156
389.00	0.00096156
390.00	0.00096156
391.00	0.00096156
392.00	0.00096156
393.00	0.00096156
394.00	0.00096156
395.00	0.00096156
396.00	0.00096156
397.00	0.00096156
398.00	0.00096156
399.00	0.00096156
400.00	0.00096156
