Wavelength (nm)	212, PCPB 1993_58_116, 2a
618.00	0.95785
619.00	0.94677
620.00	0.93668
621.00	0.92943
622.00	0.92218
623.00	0.91534
624.00	0.91105
625.00	0.90676
626.00	0.90499
627.00	0.90573
628.00	0.90647
629.00	0.90721
630.00	0.90847
631.00	0.91294
632.00	0.91740
633.00	0.92186
634.00	0.92443
635.00	0.92674
636.00	0.92891
637.00	0.92936
638.00	0.92981
639.00	0.93026
640.00	0.92953
641.00	0.92760
642.00	0.92567
643.00	0.92375
644.00	0.91949
645.00	0.91355
646.00	0.90760
647.00	0.90166
648.00	0.89566
649.00	0.88960
650.00	0.88353
651.00	0.87746
652.00	0.86994
653.00	0.86173
654.00	0.85353
655.00	0.84407
656.00	0.83296
657.00	0.82185
658.00	0.81074
659.00	0.79969
660.00	0.78869
661.00	0.77770
662.00	0.76670
663.00	0.75557
664.00	0.74363
665.00	0.73169
666.00	0.71975
667.00	0.70781
668.00	0.69587
669.00	0.68143
670.00	0.66687
671.00	0.65231
672.00	0.63774
673.00	0.62318
674.00	0.60983
675.00	0.59685
676.00	0.58387
677.00	0.57089
678.00	0.55784
679.00	0.54412
680.00	0.53040
681.00	0.51668
682.00	0.50296
683.00	0.48923
684.00	0.47551
685.00	0.46397
686.00	0.45376
687.00	0.44355
688.00	0.43333
689.00	0.42312
690.00	0.41291
691.00	0.40270
692.00	0.39264
693.00	0.38392
694.00	0.37521
695.00	0.36650
696.00	0.35778
697.00	0.34907
698.00	0.34036
699.00	0.33164
700.00	0.32294
701.00	0.31437
702.00	0.30580
703.00	0.29724
704.00	0.28867
705.00	0.28010
706.00	0.27153
707.00	0.26297
708.00	0.25582
709.00	0.24938
710.00	0.24293
711.00	0.23649
712.00	0.23004
713.00	0.22360
714.00	0.21729
715.00	0.21154
716.00	0.20578
717.00	0.20003
718.00	0.19428
719.00	0.18853
720.00	0.18285
721.00	0.17784
722.00	0.17283
723.00	0.16782
724.00	0.16281
725.00	0.15780
726.00	0.15279
727.00	0.14778
728.00	0.14386
729.00	0.14015
730.00	0.13644
731.00	0.13273
732.00	0.12901
733.00	0.12530
734.00	0.12159
735.00	0.11765
736.00	0.11354
737.00	0.10943
738.00	0.10532
739.00	0.10122
740.00	0.097107
741.00	0.093367
742.00	0.090310
743.00	0.087253
744.00	0.084196
745.00	0.081139
746.00	0.078082
747.00	0.075025
748.00	0.072406
749.00	0.069940
750.00	0.067475
751.00	0.065010
752.00	0.062545
753.00	0.060079
754.00	0.058049
755.00	0.056142
756.00	0.054235
757.00	0.052328
758.00	0.050421
759.00	0.048514
760.00	0.046607
761.00	0.045189
762.00	0.044035
763.00	0.042880
764.00	0.041726
765.00	0.040572
766.00	0.039418
767.00	0.038263
768.00	0.037109
769.00	0.036019
770.00	0.034997
771.00	0.033975
772.00	0.032953
773.00	0.031931
774.00	0.030909
775.00	0.029887
776.00	0.028865
777.00	0.027813
778.00	0.026736
779.00	0.025660
780.00	0.024584
781.00	0.023507
782.00	0.022431
783.00	0.021355
784.00	0.020304
785.00	0.019658
786.00	0.019011
787.00	0.018365
788.00	0.017718
789.00	0.017071
790.00	0.016425
791.00	0.015778
792.00	0.015407
793.00	0.015104
794.00	0.014802
795.00	0.014499
796.00	0.014197
797.00	0.013894
798.00	0.013566
799.00	0.012739
800.00	0.011913
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
