Wavelength (nm)	L04 abs e
200.00	50127
201.00	57921
202.00	60905
203.00	61408
204.00	61713
205.00	61075
206.00	60262
207.00	59128
208.00	57594
209.00	55715
210.00	53428
211.00	50730
212.00	47775
213.00	44575
214.00	41282
215.00	37997
216.00	34862
217.00	31969
218.00	29298
219.00	26948
220.00	24857
221.00	23091
222.00	21564
223.00	20287
224.00	19209
225.00	18347
226.00	17685
227.00	17188
228.00	16856
229.00	16678
230.00	16643
231.00	16676
232.00	16728
233.00	16767
234.00	16721
235.00	16476
236.00	16091
237.00	15524
238.00	14801
239.00	14002
240.00	13165
241.00	12335
242.00	11549
243.00	10822
244.00	10177
245.00	9617.8
246.00	9139.1
247.00	8719.4
248.00	8380.3
249.00	8117.8
250.00	7887.2
251.00	7727.9
252.00	7609.4
253.00	7499.5
254.00	7458.9
255.00	7451.3
256.00	7490.6
257.00	7565.0
258.00	7719.1
259.00	7875.5
260.00	8103.0
261.00	8412.2
262.00	8762.4
263.00	9161.9
264.00	9646.1
265.00	10152
266.00	10715
267.00	11322
268.00	11891
269.00	12557
270.00	13162
271.00	13819
272.00	14490
273.00	15153
274.00	15826
275.00	16525
276.00	17211
277.00	17890
278.00	18559
279.00	19195
280.00	19728
281.00	20186
282.00	20568
283.00	20798
284.00	20885
285.00	20885
286.00	20738
287.00	20500
288.00	20145
289.00	19665
290.00	19096
291.00	18453
292.00	17707
293.00	16922
294.00	16022
295.00	15025
296.00	13998
297.00	12901
298.00	11770
299.00	10682
300.00	9620.0
301.00	8626.2
302.00	7736.7
303.00	6935.3
304.00	6251.2
305.00	5668.1
306.00	5184.5
307.00	4770.0
308.00	4387.8
309.00	4113.6
310.00	3902.1
311.00	3700.2
312.00	3530.8
313.00	3415.7
314.00	3314.1
315.00	3223.4
316.00	3135.7
317.00	3052.0
318.00	2991.4
319.00	2949.5
320.00	2907.0
321.00	2868.7
322.00	2888.1
323.00	2839.1
324.00	2801.3
325.00	2770.8
326.00	2742.9
327.00	2731.6
328.00	2695.2
329.00	2658.7
330.00	2649.1
331.00	2614.8
332.00	2591.6
333.00	2574.6
334.00	2551.1
335.00	2519.5
336.00	2489.9
337.00	2455.5
338.00	2422.2
339.00	2398.3
340.00	2364.5
341.00	2331.6
342.00	2297.7
343.00	2284.6
344.00	2240.3
345.00	2217.0
346.00	2176.8
347.00	2143.8
348.00	2124.1
349.00	2052.1
350.00	2039.2
351.00	2023.3
352.00	1996.5
353.00	1969.5
354.00	1951.1
355.00	1941.9
356.00	1927.0
357.00	1895.4
358.00	1870.7
359.00	1862.3
360.00	1847.2
361.00	1859.2
362.00	1853.6
363.00	1845.2
364.00	1824.5
365.00	1812.0
366.00	1795.5
367.00	1801.6
368.00	1803.1
369.00	1786.5
370.00	1747.8
371.00	1771.6
372.00	1777.2
373.00	1724.9
374.00	1721.7
375.00	1707.3
376.00	1699.3
377.00	1677.9
378.00	1704.5
379.00	1705.3
380.00	1714.3
381.00	1729.0
382.00	1719.2
383.00	1746.0
384.00	1795.9
385.00	1813.1
386.00	1858.6
387.00	1892.1
388.00	1907.8
389.00	1975.9
390.00	1995.0
391.00	2059.5
392.00	2143.0
393.00	2202.2
394.00	2274.1
395.00	2305.5
396.00	2411.3
397.00	2507.6
398.00	2620.3
399.00	2723.2
400.00	2818.8
401.00	2916.7
402.00	3037.5
403.00	3175.7
404.00	3314.6
405.00	3438.4
406.00	3585.6
407.00	3702.3
408.00	3867.3
409.00	4060.9
410.00	4236.5
411.00	4413.8
412.00	4608.9
413.00	4812.3
414.00	4991.2
415.00	5187.7
416.00	5444.0
417.00	5675.1
418.00	5907.7
419.00	6149.4
420.00	6433.6
421.00	6705.4
422.00	6953.2
423.00	7241.4
424.00	7560.5
425.00	7849.4
426.00	8148.2
427.00	8531.9
428.00	8873.7
429.00	9241.4
430.00	9658.2
431.00	10002
432.00	10372
433.00	10817
434.00	11297
435.00	11704
436.00	12157
437.00	12657
438.00	13144
439.00	13630
440.00	14110
441.00	14700
442.00	15186
443.00	15725
444.00	16309
445.00	16821
446.00	17403
447.00	17936
448.00	18497
449.00	19032
450.00	19595
451.00	20203
452.00	20764
453.00	21312
454.00	21913
455.00	22467
456.00	23037
457.00	23596
458.00	24177
459.00	24720
460.00	25196
461.00	25751
462.00	26296
463.00	26932
464.00	27500
465.00	28021
466.00	28572
467.00	29131
468.00	29752
469.00	30332
470.00	30890
471.00	31565
472.00	32243
473.00	32859
474.00	33400
475.00	34042
476.00	34527
477.00	35146
478.00	35678
479.00	36159
480.00	36700
481.00	37130
482.00	37591
483.00	38028
484.00	38391
485.00	38930
486.00	39286
487.00	39275
488.00	39463
489.00	39920
490.00	40082
491.00	40348
492.00	40525
493.00	40812
494.00	41032
495.00	41159
496.00	41490
497.00	41752
498.00	42028
499.00	42299
500.00	42502
501.00	42803
502.00	43125
503.00	43476
504.00	43830
505.00	44367
506.00	44850
507.00	45255
508.00	45754
509.00	46237
510.00	46816
511.00	47453
512.00	48013
513.00	48793
514.00	49533
515.00	50145
516.00	50969
517.00	51736
518.00	52841
519.00	53917
520.00	55112
521.00	55892
522.00	57178
523.00	58291
524.00	59528
525.00	60951
526.00	62281
527.00	63299
528.00	65259
529.00	66180
530.00	67639
531.00	69197
532.00	70589
533.00	72245
534.00	73666
535.00	74874
536.00	76066
537.00	76995
538.00	78379
539.00	78932
540.00	79476
541.00	80161
542.00	80582
543.00	80600
544.00	80479
545.00	80141
546.00	79352
547.00	78634
548.00	77773
549.00	76396
550.00	74815
551.00	73093
552.00	71125
553.00	69142
554.00	66847
555.00	64388
556.00	62114
557.00	59595
558.00	56810
559.00	54157
560.00	51409
561.00	48861
562.00	46162
563.00	43591
564.00	41040
565.00	38522
566.00	35989
567.00	33579
568.00	31431
569.00	29191
570.00	27198
571.00	25218
572.00	23446
573.00	21648
574.00	19967
575.00	18513
576.00	17017
577.00	15579
578.00	14393
579.00	13220
580.00	12067
581.00	11034
582.00	10203
583.00	9410.0
584.00	8487.1
585.00	7781.2
586.00	7166.2
587.00	6507.0
588.00	5947.3
589.00	5473.4
590.00	4980.2
591.00	4562.1
592.00	4170.0
593.00	3784.9
594.00	3478.9
595.00	3190.2
596.00	2932.1
597.00	2685.5
598.00	2458.8
599.00	2243.5
600.00	2075.7
601.00	1920.1
602.00	1765.2
603.00	1598.4
604.00	1491.4
605.00	1391.8
606.00	1302.4
607.00	1200.7
608.00	1134.9
609.00	1038.3
610.00	979.85
611.00	922.14
612.00	862.21
613.00	797.96
614.00	754.95
615.00	722.27
616.00	691.11
617.00	637.40
618.00	621.02
619.00	578.09
620.00	544.75
621.00	530.80
622.00	498.36
623.00	486.22
624.00	476.47
625.00	447.94
626.00	454.61
627.00	446.13
628.00	405.34
629.00	404.40
630.00	405.14
631.00	402.95
632.00	382.00
633.00	387.27
634.00	373.11
635.00	365.29
636.00	376.28
637.00	349.08
638.00	334.01
639.00	344.84
640.00	325.00
641.00	336.77
642.00	321.66
643.00	389.00
644.00	334.47
645.00	385.63
646.00	343.64
647.00	334.96
648.00	291.78
649.00	325.82
650.00	306.02
651.00	325.62
652.00	316.52
653.00	285.61
654.00	261.28
655.00	295.90
656.00	307.09
657.00	300.01
658.00	300.95
659.00	292.28
660.00	258.57
661.00	310.80
662.00	317.55
663.00	250.50
664.00	235.11
665.00	244.86
666.00	282.77
667.00	264.54
668.00	266.35
669.00	295.16
670.00	247.99
671.00	238.56
672.00	236.55
673.00	245.23
674.00	230.00
675.00	245.03
676.00	262.85
677.00	259.10
678.00	239.22
679.00	257.00
680.00	250.58
681.00	240.91
682.00	248.52
683.00	265.56
684.00	254.29
685.00	219.47
686.00	241.86
687.00	221.98
688.00	238.56
689.00	254.90
690.00	254.78
691.00	240.99
692.00	277.71
693.00	223.42
694.00	232.43
695.00	218.81
696.00	218.31
697.00	206.21
698.00	242.23
699.00	237.29
700.00	256.02
