Wavelength (nm)	M03 abs e
300.00	4890.3
301.00	4784.6
302.00	4676.0
303.00	4569.1
304.00	4463.4
305.00	4354.4
306.00	4242.8
307.00	4144.7
308.00	4049.5
309.00	3951.8
310.00	3876.7
311.00	3808.1
312.00	3740.0
313.00	3679.3
314.00	3621.9
315.00	3564.3
316.00	3529.9
317.00	3477.5
318.00	3435.8
319.00	3386.4
320.00	3346.5
321.00	3310.6
322.00	3276.8
323.00	3242.8
324.00	3206.9
325.00	3168.0
326.00	3128.1
327.00	3087.3
328.00	3054.1
329.00	3023.6
330.00	3008.6
331.00	3013.9
332.00	3038.8
333.00	3076.2
334.00	3122.4
335.00	3165.6
336.00	3219.0
337.00	3282.2
338.00	3342.6
339.00	3408.5
340.00	3451.0
341.00	3482.4
342.00	3473.6
343.00	3431.8
344.00	3360.2
345.00	3292.6
346.00	3242.4
347.00	3208.2
348.00	3202.0
349.00	3204.3
350.00	3218.0
351.00	3250.8
352.00	3286.9
353.00	3317.7
354.00	3347.4
355.00	3376.2
356.00	3389.5
357.00	3380.4
358.00	3358.8
359.00	3292.4
360.00	3178.0
361.00	3009.7
362.00	2793.4
363.00	2567.9
364.00	2366.7
365.00	2212.3
366.00	2083.3
367.00	2016.4
368.00	1985.9
369.00	1959.4
370.00	1902.0
371.00	1822.8
372.00	1745.4
373.00	1694.0
374.00	1665.9
375.00	1615.0
376.00	1565.8
377.00	1494.3
378.00	1407.8
379.00	1316.9
380.00	1269.2
381.00	1237.9
382.00	1241.7
383.00	1271.6
384.00	1332.8
385.00	1387.8
386.00	1419.8
387.00	1423.5
388.00	1408.9
389.00	1391.5
390.00	1378.8
391.00	1368.0
392.00	1345.0
393.00	1328.2
394.00	1311.3
395.00	1285.3
396.00	1242.3
397.00	1199.5
398.00	1170.7
399.00	1157.3
400.00	1173.9
401.00	1212.8
402.00	1256.7
403.00	1303.1
404.00	1354.3
405.00	1418.7
406.00	1504.8
407.00	1597.6
408.00	1706.2
409.00	1826.6
410.00	1958.6
411.00	2092.7
412.00	2210.9
413.00	2319.5
414.00	2412.3
415.00	2495.7
416.00	2567.1
417.00	2637.9
418.00	2717.9
419.00	2817.5
420.00	2930.0
421.00	3059.2
422.00	3184.1
423.00	3329.2
424.00	3481.6
425.00	3662.6
426.00	3840.2
427.00	4031.7
428.00	4228.9
429.00	4437.3
430.00	4662.9
431.00	4886.9
432.00	5111.7
