Wavelength (nm)	FL043 [8] 95272-99-4, Cyrtominetin [D]
231.00	12114
232.00	11757
233.00	11401
234.00	11039
235.00	10536
236.00	10033
237.00	9491.3
238.00	8912.0
239.00	8332.7
240.00	7669.4
241.00	7001.7
242.00	6334.1
243.00	5627.4
244.00	4933.2
245.00	4314.8
246.00	3760.0
247.00	3282.8
248.00	2828.5
249.00	2411.5
250.00	2038.8
251.00	1718.4
252.00	1492.7
253.00	1405.0
254.00	1352.5
255.00	1331.1
256.00	1309.8
257.00	1293.3
258.00	1306.6
259.00	1319.9
260.00	1348.1
261.00	1393.7
262.00	1439.3
263.00	1507.0
264.00	1587.6
265.00	1668.3
266.00	1748.9
267.00	1870.0
268.00	2026.8
269.00	2183.7
270.00	2365.8
271.00	2612.4
272.00	2859.1
273.00	3216.7
274.00	3651.4
275.00	4086.2
276.00	4610.8
277.00	5309.8
278.00	6008.8
279.00	7041.4
280.00	8095.3
281.00	9343.1
282.00	10756
283.00	11993
284.00	13138
285.00	13966
286.00	14784
287.00	15303
288.00	15683
289.00	15969
290.00	16185
291.00	16328
292.00	16471
293.00	16366
294.00	16262
295.00	16104
296.00	15881
297.00	15658
298.00	15310
299.00	14912
300.00	14515
301.00	14117
302.00	13667
303.00	13201
304.00	12734
305.00	12268
306.00	11801
307.00	11331
308.00	10860
309.00	10389
310.00	9918.0
311.00	9441.3
312.00	8932.7
313.00	8424.1
314.00	7915.6
315.00	7447.9
316.00	7024.7
317.00	6601.4
318.00	6178.1
319.00	5809.6
320.00	5469.2
321.00	5128.9
322.00	4788.5
323.00	4482.9
324.00	4177.6
325.00	3908.7
326.00	3724.6
327.00	3540.5
328.00	3416.9
329.00	3312.3
330.00	3231.7
331.00	3164.6
332.00	3140.2
333.00	3118.6
334.00	3163.6
335.00	3211.4
336.00	3273.3
337.00	3354.9
338.00	3436.4
339.00	3527.6
340.00	3622.5
341.00	3715.5
342.00	3773.1
343.00	3830.8
344.00	3873.1
345.00	3888.1
346.00	3903.1
347.00	3899.5
348.00	3879.4
349.00	3859.2
350.00	3839.0
351.00	3796.3
352.00	3749.8
353.00	3703.4
354.00	3648.7
355.00	3577.3
356.00	3505.9
357.00	3434.4
358.00	3363.0
359.00	3286.5
360.00	3205.3
361.00	3124.2
362.00	3043.0
363.00	2961.8
364.00	2876.1
365.00	2779.1
366.00	2682.2
367.00	2585.2
368.00	2493.3
369.00	2407.3
370.00	2321.2
371.00	2235.1
372.00	2146.4
373.00	2049.2
374.00	1952.0
375.00	1854.8
376.00	1761.2
377.00	1675.7
378.00	1590.2
379.00	1504.7
380.00	1419.2
381.00	1329.3
382.00	1238.1
383.00	1146.8
384.00	1058.1
385.00	978.39
386.00	898.70
387.00	819.02
388.00	738.55
389.00	657.91
390.00	584.27
391.00	515.90
392.00	443.49
393.00	370.23
394.00	316.97
