Wavelength (nm)	K18 abs e
220.00	9136.1
221.00	8854.0
222.00	8611.8
223.00	8397.5
224.00	8203.0
225.00	8021.1
226.00	7844.2
227.00	7666.1
228.00	7499.7
229.00	7342.7
230.00	7201.4
231.00	7073.1
232.00	6951.8
233.00	6842.7
234.00	6749.4
235.00	6663.3
236.00	6579.5
237.00	6493.7
238.00	6399.8
239.00	6293.9
240.00	6185.4
241.00	6080.1
242.00	5978.0
243.00	5885.3
244.00	5792.6
245.00	5698.7
246.00	5606.0
247.00	5511.4
248.00	5435.1
249.00	5380.6
250.00	5362.3
251.00	5378.7
252.00	5443.0
253.00	5534.4
254.00	5670.6
255.00	5843.4
256.00	6051.1
257.00	6286.6
258.00	6542.3
259.00	6813.7
260.00	7095.2
261.00	7382.7
262.00	7676.2
263.00	7966.9
264.00	8252.2
265.00	8531.1
266.00	8804.5
267.00	9074.6
268.00	9333.8
269.00	9575.9
270.00	9786.8
271.00	9974.6
272.00	10126
273.00	10241
274.00	10334
275.00	10398
276.00	10448
277.00	10501
278.00	10553
279.00	10620
280.00	10681
281.00	10759
282.00	10842
283.00	10934
284.00	11015
285.00	11097
286.00	11144
287.00	11169
288.00	11192
289.00	11180
290.00	11141
291.00	11090
292.00	11012
293.00	10920
294.00	10826
295.00	10722
296.00	10616
297.00	10507
298.00	10393
299.00	10275
300.00	10150
301.00	10021
302.00	9862.1
303.00	9699.4
304.00	9536.1
305.00	9358.0
306.00	9166.4
307.00	8980.7
308.00	8802.6
309.00	8648.4
310.00	8515.1
311.00	8402.8
312.00	8320.2
313.00	8266.3
314.00	8244.3
315.00	8235.1
316.00	8242.1
317.00	8265.7
318.00	8292.5
319.00	8324.3
320.00	8367.5
321.00	8412.3
322.00	8460.2
323.00	8518.8
324.00	8593.6
325.00	8684.0
326.00	8789.6
327.00	8900.3
328.00	9021.3
329.00	9130.7
330.00	9239.8
331.00	9345.4
332.00	9426.4
333.00	9480.0
334.00	9513.8
335.00	9526.1
336.00	9522.9
337.00	9504.6
338.00	9484.4
339.00	9464.6
340.00	9467.1
341.00	9487.0
342.00	9532.4
343.00	9603.3
344.00	9691.2
345.00	9805.0
346.00	9929.2
347.00	10053
348.00	10149
349.00	10216
350.00	10248
351.00	10232
352.00	10181
353.00	10090
354.00	9963.0
355.00	9832.8
356.00	9704.8
357.00	9585.0
358.00	9501.5
359.00	9452.0
360.00	9421.4
361.00	9446.3
362.00	9556.0
363.00	9760.6
364.00	10010
365.00	10253
366.00	10448
367.00	10587
368.00	10764
369.00	10916
370.00	11012
371.00	11049
372.00	11028
373.00	10936
374.00	10797
375.00	10618
376.00	10439
377.00	10265
378.00	10115
379.00	9995.5
380.00	9935.2
381.00	9923.9
382.00	9978.1
383.00	10067
384.00	10236
385.00	10451
386.00	10707
387.00	10982
388.00	11300
389.00	11627
390.00	11958
391.00	12273
392.00	12584
393.00	12852
394.00	13092
395.00	13297
396.00	13484
397.00	13640
398.00	13765
399.00	13910
400.00	14065
401.00	14215
402.00	14377
403.00	14601
404.00	14856
405.00	15158
406.00	15452
407.00	15798
408.00	16193
409.00	16641
410.00	17092
411.00	17552
412.00	18051
413.00	18557
414.00	19051
415.00	19616
416.00	20180
417.00	20698
418.00	21249
419.00	21832
420.00	22453
421.00	23040
422.00	23594
423.00	24147
424.00	24748
425.00	25352
426.00	25937
427.00	26546
428.00	27053
429.00	27639
430.00	28254
431.00	28773
432.00	29362
433.00	29926
434.00	30480
435.00	31037
436.00	31606
437.00	32142
438.00	32640
439.00	33179
440.00	33788
441.00	34317
442.00	34806
443.00	35329
444.00	35818
445.00	36338
446.00	36833
447.00	37259
448.00	37650
449.00	38091
450.00	38501
451.00	38885
452.00	39270
453.00	39554
454.00	39954
455.00	40172
456.00	40458
457.00	40837
458.00	40938
459.00	41061
460.00	41269
461.00	41420
462.00	41701
463.00	41707
464.00	41735
465.00	41805
466.00	41827
467.00	41943
468.00	42000
469.00	41896
470.00	41795
471.00	41817
472.00	41757
473.00	41590
474.00	41410
475.00	41117
476.00	41070
477.00	41029
478.00	40723
479.00	40493
480.00	40197
481.00	39875
482.00	39708
483.00	39289
484.00	39002
485.00	38608
486.00	38129
487.00	37990
488.00	37653
489.00	36858
490.00	36398
491.00	35843
492.00	35307
493.00	34768
494.00	34239
495.00	33555
496.00	32984
497.00	32357
498.00	31761
499.00	30970
500.00	30288
501.00	29601
502.00	28864
503.00	28176
504.00	27414
505.00	26646
506.00	25914
507.00	25139
508.00	24381
509.00	23600
510.00	22835
511.00	22097
512.00	21329
513.00	20587
514.00	19831
515.00	19081
516.00	18323
517.00	17618
518.00	16931
519.00	16214
520.00	15533
521.00	14858
522.00	14209
523.00	13573
524.00	12931
525.00	12330
526.00	11721
527.00	11153
528.00	10605
529.00	10076
530.00	9556.3
531.00	9037.7
532.00	8561.4
533.00	8098.3
534.00	7651.9
535.00	7224.8
536.00	6820.3
537.00	6432.6
538.00	6044.8
539.00	5709.7
540.00	5363.6
541.00	5025.0
542.00	4718.9
543.00	4436.1
544.00	4162.2
545.00	3896.7
546.00	3643.6
547.00	3407.5
548.00	3182.4
549.00	2983.0
550.00	2787.4
551.00	2601.0
552.00	2422.7
553.00	2266.2
554.00	2111.5
555.00	1955.9
556.00	1822.7
557.00	1705.6
558.00	1587.6
559.00	1479.3
560.00	1373.5
561.00	1273.0
562.00	1185.5
563.00	1105.0
564.00	1023.1
565.00	950.87
566.00	880.32
567.00	821.75
568.00	758.51
569.00	705.23
570.00	656.59
571.00	607.70
572.00	560.19
573.00	525.13
574.00	489.29
575.00	454.93
576.00	420.38
577.00	392.54
578.00	365.49
579.00	340.59
580.00	323.09
581.00	305.94
582.00	271.14
583.00	257.93
584.00	248.81
585.00	235.31
586.00	217.66
587.00	205.09
588.00	192.74
589.00	186.18
590.00	174.82
591.00	170.16
592.00	159.61
593.00	154.20
594.00	146.62
595.00	140.15
596.00	133.24
597.00	127.59
598.00	124.61
599.00	123.20
600.00	117.72
601.00	111.20
602.00	110.66
603.00	104.50
604.00	103.38
605.00	102.57
606.00	99.869
607.00	93.735
608.00	90.759
609.00	93.524
610.00	91.270
611.00	91.780
612.00	84.747
613.00	90.037
614.00	88.685
615.00	87.152
616.00	84.265
617.00	82.733
618.00	84.476
619.00	89.195
620.00	83.032
621.00	76.809
622.00	80.535
623.00	78.222
624.00	74.372
625.00	78.764
626.00	79.605
627.00	76.447
628.00	77.619
629.00	77.679
630.00	78.975
631.00	72.210
632.00	68.452
633.00	72.541
634.00	73.052
635.00	75.908
636.00	76.961
637.00	75.908
638.00	79.035
639.00	73.654
640.00	73.323
641.00	75.668
642.00	77.411
643.00	66.135
644.00	72.661
645.00	70.675
646.00	69.114
647.00	74.795
648.00	74.224
649.00	66.015
650.00	67.128
651.00	62.828
652.00	68.931
653.00	62.828
654.00	63.339
655.00	72.150
656.00	72.840
657.00	13.704
658.00	41.483
659.00	64.272
660.00	62.229
661.00	55.042
662.00	63.941
663.00	62.317
664.00	64.874
665.00	65.025
666.00	57.447
667.00	58.141
668.00	66.829
669.00	66.917
670.00	60.004
671.00	60.243
672.00	56.757
673.00	57.810
674.00	56.095
675.00	57.898
676.00	53.869
677.00	54.411
678.00	55.344
679.00	51.375
680.00	51.706
681.00	47.857
682.00	47.167
683.00	46.744
684.00	47.586
685.00	47.227
686.00	44.251
687.00	43.677
688.00	46.776
689.00	41.004
690.00	44.279
691.00	39.740
692.00	38.356
693.00	39.078
694.00	34.718
695.00	34.749
696.00	31.083
697.00	32.855
698.00	28.738
699.00	29.910
700.00	25.822
