Wavelength (nm)	T09 abs e
350.00	14232
351.00	14666
352.00	15192
353.00	15841
354.00	16544
355.00	17301
356.00	18049
357.00	18746
358.00	19337
359.00	19883
360.00	20310
361.00	20588
362.00	20686
363.00	20580
364.00	20341
365.00	20017
366.00	19635
367.00	19274
368.00	19012
369.00	18839
370.00	18802
371.00	18937
372.00	19238
373.00	19735
374.00	20426
375.00	21297
376.00	22293
377.00	23372
378.00	24525
379.00	25636
380.00	26721
381.00	27809
382.00	28969
383.00	30233
384.00	31599
385.00	33282
386.00	35155
387.00	37514
388.00	40220
389.00	43307
390.00	46837
391.00	50862
392.00	55443
393.00	59995
394.00	64606
395.00	69007
396.00	72968
397.00	76186
398.00	78645
399.00	79897
400.00	80523
401.00	80799
402.00	80675
403.00	80719
404.00	80795
405.00	81149
406.00	81380
407.00	81717
408.00	82225
409.00	83042
410.00	84345
411.00	85791
412.00	87405
413.00	88665
414.00	89100
415.00	88985
416.00	88107
417.00	86428
418.00	83900
419.00	79789
420.00	73823
421.00	66191
422.00	57664
423.00	49072
424.00	40552
425.00	32790
426.00	26109
427.00	20272
428.00	15842
429.00	12280
430.00	9465.5
431.00	7506.6
432.00	5971.8
433.00	4732.8
434.00	3851.3
435.00	3229.7
436.00	2748.4
437.00	2402.7
438.00	2120.5
439.00	1926.2
440.00	1792.4
441.00	1677.9
442.00	1601.9
443.00	1547.8
444.00	1503.6
445.00	1487.6
446.00	1476.7
447.00	1483.0
448.00	1491.7
449.00	1515.2
450.00	1543.4
451.00	1582.6
452.00	1617.9
453.00	1655.4
454.00	1686.3
455.00	1719.8
456.00	1768.0
457.00	1822.0
458.00	1873.2
459.00	1915.1
460.00	1952.1
461.00	1985.6
462.00	2016.1
463.00	2035.0
464.00	2061.9
465.00	2054.0
466.00	2053.0
467.00	2038.3
468.00	2055.8
469.00	2063.2
470.00	2056.9
471.00	2066.0
472.00	2099.6
473.00	2126.3
474.00	2146.3
475.00	2166.5
476.00	2187.2
477.00	2212.3
478.00	2252.4
479.00	2278.1
480.00	2318.6
481.00	2357.4
482.00	2415.7
483.00	2495.3
484.00	2598.6
485.00	2778.3
486.00	2998.7
487.00	3131.3
488.00	3362.5
489.00	3773.3
490.00	4242.5
491.00	4751.6
492.00	5280.3
493.00	5756.5
494.00	6137.0
495.00	6437.1
496.00	6649.1
497.00	6803.6
498.00	6921.7
499.00	7063.6
500.00	7196.7
501.00	7370.3
502.00	7605.3
503.00	7859.5
504.00	8119.7
505.00	8352.5
506.00	8533.8
507.00	8652.9
508.00	8713.6
509.00	8722.0
510.00	8659.4
511.00	8490.8
512.00	8187.8
513.00	7751.8
514.00	7212.6
515.00	6616.1
516.00	5973.7
517.00	5355.0
518.00	4757.4
519.00	4227.6
520.00	3772.0
521.00	3372.4
522.00	3034.5
523.00	2757.5
524.00	2553.9
525.00	2424.4
526.00	2341.6
527.00	2324.8
528.00	2349.1
529.00	2417.6
530.00	2510.4
531.00	2605.7
532.00	2671.8
533.00	2693.4
534.00	2633.9
535.00	2538.6
536.00	2438.5
537.00	2353.5
538.00	2280.8
539.00	2204.8
540.00	2113.2
541.00	1998.1
542.00	1875.5
543.00	1736.9
544.00	1595.8
545.00	1479.9
546.00	1366.6
547.00	1272.9
548.00	1168.8
549.00	1061.6
550.00	958.77
551.00	878.57
552.00	810.72
553.00	746.11
554.00	696.76
555.00	654.06
556.00	625.93
557.00	605.18
558.00	591.08
559.00	562.88
560.00	547.09
561.00	530.55
562.00	511.30
563.00	497.20
564.00	481.74
565.00	467.57
566.00	455.51
567.00	462.90
568.00	479.17
569.00	494.42
570.00	531.16
571.00	567.56
572.00	615.22
573.00	660.77
574.00	729.51
575.00	784.96
576.00	848.68
577.00	965.75
578.00	1091.2
579.00	1248.1
580.00	1468.9
581.00	1741.9
582.00	2011.4
583.00	2230.2
584.00	2477.2
585.00	2710.5
586.00	2847.1
587.00	2985.3
588.00	3103.7
589.00	3142.6
590.00	3126.1
591.00	3025.8
592.00	2870.3
593.00	2687.7
594.00	2473.8
595.00	2240.6
596.00	2015.5
597.00	1785.4
598.00	1607.6
599.00	1460.9
600.00	1356.0
601.00	1276.0
602.00	1213.5
603.00	1158.7
604.00	1105.9
605.00	1044.0
606.00	997.20
607.00	954.16
608.00	927.52
609.00	920.67
610.00	920.87
611.00	908.94
612.00	899.52
613.00	899.11
614.00	898.10
