Wavelength (nm)	FL059 [10] 26200-06-6, 5,7-dimethoxyisoflavone [D]
232.00	19575
233.00	17817
234.00	16058
235.00	14192
236.00	12304
237.00	10873
238.00	9565.1
239.00	8450.1
240.00	7391.6
241.00	6387.0
242.00	5571.1
243.00	4865.5
244.00	4324.6
245.00	4031.0
246.00	3831.9
247.00	3750.0
248.00	3722.0
249.00	3766.5
250.00	3841.3
251.00	3956.0
252.00	4124.1
253.00	4298.0
254.00	4512.5
255.00	4726.9
256.00	4941.4
257.00	5247.4
258.00	5553.5
259.00	5859.5
260.00	6205.3
261.00	6644.2
262.00	7083.0
263.00	7521.9
264.00	7960.7
265.00	8631.7
266.00	9307.4
267.00	9983.2
268.00	10659
269.00	11365
270.00	12255
271.00	13146
272.00	14037
273.00	14935
274.00	15867
275.00	16798
276.00	17640
277.00	18409
278.00	19178
279.00	19820
280.00	20375
281.00	20799
282.00	21085
283.00	21370
284.00	21522
285.00	21617
286.00	21606
287.00	21405
288.00	21180
289.00	20810
290.00	20336
291.00	19706
292.00	19073
293.00	18321
294.00	17569
295.00	16669
296.00	15675
297.00	14597
298.00	13498
299.00	12446
300.00	11395
301.00	10690
302.00	10028
303.00	9456.4
304.00	8923.4
305.00	8420.1
306.00	8022.2
307.00	7624.4
308.00	7325.4
309.00	7062.9
310.00	6800.5
311.00	6582.9
312.00	6399.2
313.00	6219.8
314.00	6064.5
315.00	5909.2
316.00	5753.9
317.00	5607.9
318.00	5472.8
319.00	5337.8
320.00	5203.9
321.00	5070.7
322.00	4936.4
323.00	4770.7
324.00	4605.0
325.00	4434.7
326.00	4246.2
327.00	4057.8
328.00	3884.0
329.00	3714.0
330.00	3545.2
331.00	3385.7
332.00	3226.3
333.00	3068.4
334.00	2917.4
335.00	2766.5
336.00	2615.5
337.00	2488.1
338.00	2360.7
339.00	2231.2
340.00	2100.3
341.00	1959.5
342.00	1804.3
343.00	1636.6
344.00	1485.0
345.00	1323.0
