Wavelength (nm)	S10 abs e
300.00	25069
300.19	25299
300.38	25442
300.56	25712
300.75	25869
300.94	26044
301.13	26177
301.31	26359
301.50	26587
301.69	26664
301.88	26883
302.06	27057
302.25	27375
302.44	27587
302.63	27722
302.81	27885
303.00	28108
303.19	28289
303.38	28471
303.56	28746
303.75	28898
303.94	29094
304.13	29298
304.31	29521
304.50	29735
304.69	29878
304.88	30092
305.06	30289
305.25	30471
305.44	30810
305.63	30832
305.81	31129
306.00	31343
306.19	31644
306.38	31894
306.56	32116
306.75	32353
306.94	32488
307.13	32765
307.31	32937
307.50	33193
307.69	33421
307.88	33573
308.06	33851
308.25	34117
308.44	34259
308.63	34533
308.81	34806
309.00	34952
309.19	35264
309.38	35549
309.56	35836
309.75	36060
309.94	35505
310.13	35454
310.31	35735
310.50	35536
310.69	36248
310.88	36641
311.06	36681
311.25	37110
311.44	37290
311.63	38515
311.81	37708
312.00	38520
312.19	38516
312.38	38939
312.56	38576
312.75	39372
312.94	40446
313.13	40178
313.31	41441
313.50	40723
313.69	40534
313.88	41659
314.06	42125
314.25	42190
314.44	42670
314.63	43524
314.81	43796
315.00	43530
315.19	43901
315.38	44665
315.56	44728
315.75	44616
315.94	45321
316.13	45924
316.31	45694
316.50	46364
316.69	46822
316.88	46797
317.06	46602
317.25	47810
317.44	48103
317.63	47224
317.81	47690
318.00	47843
318.19	48859
318.38	49687
318.56	49222
318.75	48747
318.94	49638
319.13	49100
319.31	49471
319.50	49962
319.69	50034
319.88	51469
320.06	51322
320.25	52103
320.44	51879
320.63	52989
320.81	52122
321.00	52454
321.19	52501
321.38	54128
321.56	54220
321.75	53227
321.94	55144
322.13	53562
322.31	53760
322.50	54243
322.69	55166
322.88	55032
323.06	54639
323.25	55696
323.44	55773
323.63	55847
323.81	56637
324.00	55240
324.19	56345
324.38	57109
324.56	57241
324.75	57507
324.94	57347
325.13	57805
325.31	57961
325.50	58499
325.69	57844
325.88	58372
326.06	58390
326.25	58386
326.44	59046
326.63	60015
326.81	59411
327.00	59562
327.19	60481
327.38	60552
327.56	62284
327.75	61148
327.94	61301
328.13	61654
328.31	62063
328.50	61931
328.69	62737
328.88	62250
329.06	62287
329.25	62618
329.44	63397
329.63	62905
329.81	63280
330.00	65273
330.19	64710
330.38	64693
330.56	65032
330.75	65200
330.94	66976
331.13	65234
331.31	66097
331.50	66017
331.69	66610
331.88	66931
332.06	66523
332.25	67628
332.44	68328
332.63	67333
332.81	68729
333.00	68437
333.19	69713
333.38	70158
333.56	69240
333.75	68830
333.94	69323
334.13	68833
334.31	69866
334.50	70502
334.69	69868
334.88	70225
335.06	71759
335.25	70474
335.44	72203
335.63	70836
335.81	71431
336.00	71216
336.19	72486
336.38	72475
336.56	72359
336.75	71871
336.94	73270
337.13	73188
337.31	72826
337.50	74052
337.69	73781
337.88	73727
338.06	73836
338.25	72909
338.44	73491
338.63	73849
338.81	74034
339.00	74812
339.19	74085
339.38	74953
339.56	73777
339.75	74530
339.94	73644
340.13	74760
340.31	73626
340.50	73508
340.69	73438
340.88	72907
341.06	73536
341.25	73618
341.44	72625
341.63	72339
341.81	72421
342.00	72130
342.19	72393
342.38	71416
342.56	71601
342.75	71372
342.94	71258
343.13	69376
343.31	70729
343.50	68809
343.69	68928
343.88	69548
344.06	68297
344.25	67440
344.44	67162
344.63	67275
344.81	66206
345.00	65835
345.19	65823
345.38	65577
345.56	64654
345.75	63541
345.94	63430
346.13	62881
346.31	61524
346.50	61970
346.69	60891
346.88	60724
347.06	58730
347.25	59562
347.44	58818
347.63	58535
347.81	57083
348.00	56856
348.19	56190
348.38	55018
348.56	55151
348.75	53790
348.94	53972
349.13	52639
349.31	51710
349.50	51974
349.69	51582
349.88	50691
350.06	49416
350.25	49541
350.44	48903
350.63	48124
350.81	47889
351.00	46742
351.19	46149
351.38	45926
351.56	45140
351.75	44894
351.94	44224
352.13	43376
352.31	43656
352.50	42343
352.69	42177
352.88	41511
353.06	41429
353.25	40174
353.44	39431
353.63	39000
353.81	38903
354.00	37859
354.19	37549
354.38	36798
354.56	36333
354.75	35396
354.94	35441
355.13	34918
355.31	34627
355.50	33802
355.69	33780
355.88	33307
356.06	32562
356.25	32438
356.44	32122
356.63	31776
356.81	31315
357.00	30732
357.19	30747
357.38	30166
357.56	29818
357.75	29651
357.94	29394
358.13	29129
358.31	28359
358.50	28080
358.69	27972
358.88	27680
359.06	27384
359.25	27414
359.44	26928
359.63	26634
359.81	26664
360.00	26054
360.19	25927
360.38	25642
360.56	25610
360.75	25222
360.94	24926
361.13	24682
361.31	24254
361.50	24095
361.69	24223
361.88	23727
362.06	23605
362.25	23584
362.44	23410
362.63	22992
362.81	23094
363.00	22540
363.19	22470
363.38	22275
363.56	22166
363.75	21911
363.94	21445
364.13	21524
364.31	21139
364.50	21173
364.69	20978
364.88	20649
365.06	20682
365.25	20565
365.44	20388
365.63	20234
365.81	20157
366.00	19940
366.19	19701
366.38	19647
366.56	19362
366.75	19538
366.94	19369
367.13	19091
367.31	19236
367.50	18838
367.69	19011
367.88	18498
368.06	18572
368.25	18394
368.44	18333
368.63	18026
368.81	18186
369.00	17936
369.19	17849
369.38	17616
369.56	17580
369.75	17517
369.94	17423
370.13	17211
370.31	17274
370.50	17090
370.69	16975
370.88	16867
371.06	16802
371.25	16579
371.44	16554
371.63	16652
371.81	16208
372.00	16240
372.19	16302
372.38	16246
372.56	16174
372.75	16161
372.94	16039
373.13	15872
373.31	15996
373.50	16045
373.69	15792
373.88	15871
374.06	15803
374.25	15750
374.44	15681
374.63	15549
374.81	15450
375.00	15660
375.19	15358
375.38	15146
375.56	15123
375.75	15179
375.94	15039
376.13	15115
376.31	14965
376.50	14963
376.69	14844
376.88	14763
377.06	14822
377.25	14702
377.44	14617
377.63	14435
377.81	14409
378.00	14465
378.19	14651
378.38	14292
378.56	14096
378.75	14432
378.94	14105
379.13	14225
379.31	13934
379.50	13986
379.69	14048
379.88	14120
380.06	13998
380.25	13926
380.44	13849
380.63	13690
380.81	13720
381.00	13897
381.19	13554
381.38	13803
381.56	13657
381.75	13324
381.94	13445
382.13	13403
382.31	13430
382.50	13430
382.69	13433
382.88	13373
383.06	13361
383.25	13186
383.44	13206
383.63	12823
383.81	13289
384.00	13188
384.19	13061
384.38	13051
384.56	13217
384.75	12899
384.94	13061
385.13	12710
385.31	12802
385.50	12763
385.69	12640
385.88	12491
386.06	12686
386.25	12621
386.44	12756
386.63	12620
386.81	12620
387.00	12422
387.19	12488
387.38	12288
387.56	12359
387.75	12503
387.94	12354
388.13	12336
388.31	12166
388.50	12227
388.69	12207
388.88	12105
389.06	12136
389.25	12153
389.44	11909
389.63	12001
389.81	12184
390.00	12109
390.19	12018
390.38	11789
390.56	11861
390.75	11761
390.94	11656
391.13	11561
391.31	11731
391.50	11582
391.69	11648
391.88	11623
392.06	11651
392.25	11457
392.44	11449
392.63	11333
392.81	11341
393.00	11492
393.19	11409
393.38	11255
393.56	11273
393.75	11226
393.94	11108
394.13	11090
394.31	11163
394.50	11064
394.69	10923
394.88	10915
395.06	10875
395.25	11001
395.44	10812
395.63	10872
395.81	10842
396.00	10724
396.19	10899
396.38	10729
396.56	10678
396.75	10713
396.94	10746
397.13	10470
397.31	10594
397.50	10652
397.69	10429
397.88	10540
398.06	10444
398.25	10504
398.44	10333
398.63	10405
398.81	10238
399.00	10404
399.19	10267
399.38	10222
399.56	10341
399.75	10042
399.94	10175
400.13	10063
400.31	10167
400.50	10213
400.69	9955.7
400.88	9995.5
401.06	10020
401.25	9873.4
401.44	9790.8
401.63	9795.5
401.81	9795.0
402.00	9909.4
402.19	9735.9
402.38	9667.4
402.56	9580.0
402.75	9586.4
402.94	9679.8
