Wavelength (nm)	S09 abs e
300.06	47228
300.25	47178
300.44	47163
300.63	46908
300.81	46937
301.00	47094
301.19	47026
301.38	46949
301.56	47067
301.75	47036
301.94	47202
302.13	47237
302.31	47281
302.50	47329
302.69	47252
302.88	47380
303.06	47535
303.25	47341
303.44	47502
303.63	47785
303.81	47963
304.00	47898
304.19	48119
304.38	48132
304.56	47990
304.75	47941
304.94	48124
305.13	48155
305.31	48569
305.50	48879
305.69	48972
305.88	49128
306.06	49295
306.25	49532
306.44	49664
306.63	49705
306.81	49713
307.00	49912
307.19	50101
307.38	50193
307.56	50541
307.75	50902
307.94	51109
308.13	51459
308.31	51805
308.50	51735
308.69	52171
308.88	52161
309.06	52433
309.25	52641
309.44	52711
309.63	53062
309.81	54102
310.00	54362
310.19	52670
310.38	54152
310.56	52768
310.75	54337
310.94	54915
311.13	53530
311.31	56438
311.50	54431
311.69	54583
311.88	54268
312.06	55109
312.25	58006
312.44	54164
312.63	57221
312.81	55345
313.00	57310
313.19	56740
313.38	56769
313.56	58713
313.75	57505
313.94	59095
314.13	58833
314.31	59177
314.50	58077
314.69	61233
314.88	58470
315.06	59122
315.25	58706
315.44	57615
315.63	60364
315.81	60241
316.00	59897
316.19	60578
316.38	59801
316.56	59867
316.75	60885
316.94	60136
317.13	62182
317.31	62683
317.50	63226
317.69	63125
317.88	61721
318.06	62572
318.25	62459
318.44	63206
318.63	65640
318.81	64016
319.00	63881
319.19	64544
319.38	64874
319.56	64669
319.75	65753
319.94	66349
320.13	65105
320.31	66373
320.50	66938
320.69	67910
320.88	66036
321.06	67404
321.25	66836
321.44	68262
321.63	67735
321.81	66889
322.00	69376
322.19	67846
322.38	69307
322.56	68949
322.75	70462
322.94	69379
323.13	70429
323.31	68989
323.50	69634
323.69	69948
323.88	70808
324.06	70237
324.25	71082
324.44	72873
324.63	70525
324.81	72406
325.00	72497
325.19	72226
325.38	72634
325.56	73011
325.75	72456
325.94	71197
326.13	73091
326.31	72928
326.50	73896
326.69	72784
326.88	72653
327.06	72707
327.25	73711
327.44	72754
327.63	72779
327.81	73367
328.00	72337
328.19	72673
328.38	72171
328.56	71205
328.75	70791
328.94	71567
329.13	69823
329.31	69893
329.50	71798
329.69	70510
329.88	70940
330.06	69662
330.25	70092
330.44	68982
330.63	68238
330.81	68869
331.00	68524
331.19	68739
331.38	70040
331.56	66945
331.75	70320
331.94	68327
332.13	67689
332.31	67079
332.50	67718
332.69	65993
332.88	66824
333.06	64915
333.25	66904
333.44	66604
333.63	64470
333.81	65703
334.00	66746
334.19	65350
334.38	65279
334.56	62860
334.75	65162
334.94	63576
335.13	64335
335.31	64999
335.50	62284
335.69	63240
335.88	64008
336.06	62517
336.25	63367
336.44	61976
336.63	62916
336.81	59905
337.00	62228
337.19	61202
337.38	62519
337.56	62140
