Wavelength (nm)	F18 abs e
210.00	23008
211.00	22682
212.00	22489
213.00	22394
214.00	22329
215.00	22250
216.00	22149
217.00	22013
218.00	21788
219.00	21504
220.00	21107
221.00	20619
222.00	20034
223.00	19397
224.00	18715
225.00	18049
226.00	17381
227.00	16753
228.00	16143
229.00	15591
230.00	15095
231.00	14676
232.00	14305
233.00	13991
234.00	13728
235.00	13503
236.00	13317
237.00	13168
238.00	13040
239.00	12939
240.00	12842
241.00	12752
242.00	12671
243.00	12601
244.00	12545
245.00	12514
246.00	12505
247.00	12518
248.00	12571
249.00	12662
250.00	12811
251.00	13018
252.00	13263
253.00	13554
254.00	13872
255.00	14209
256.00	14574
257.00	14953
258.00	15369
259.00	15804
260.00	16237
261.00	16685
262.00	17142
263.00	17640
264.00	18193
265.00	18791
266.00	19375
267.00	19973
268.00	20571
269.00	21124
270.00	21710
271.00	22322
272.00	22834
273.00	23297
274.00	23735
275.00	24086
276.00	24363
277.00	24615
278.00	24875
279.00	25065
280.00	25187
281.00	25200
282.00	25165
283.00	25079
284.00	24923
285.00	24762
286.00	24514
287.00	24174
288.00	23761
289.00	23364
290.00	22934
291.00	22561
292.00	22169
293.00	21778
294.00	21393
295.00	20975
296.00	20602
297.00	20236
298.00	19818
299.00	19393
300.00	18932
301.00	18440
302.00	17943
303.00	17405
304.00	16867
305.00	16305
306.00	15691
307.00	15050
308.00	14409
309.00	13792
310.00	13172
311.00	12536
312.00	11924
313.00	11322
314.00	10741
315.00	10178
316.00	9653.9
317.00	9186.2
318.00	8743.9
319.00	8346.0
320.00	7996.5
321.00	7661.6
322.00	7380.3
323.00	7136.4
324.00	6955.1
325.00	6788.1
326.00	6662.8
327.00	6558.2
328.00	6475.1
329.00	6414.5
330.00	6382.6
331.00	6369.9
332.00	6350.9
333.00	6348.9
334.00	6365.3
335.00	6388.8
336.00	6420.1
337.00	6456.9
338.00	6503.5
339.00	6542.6
340.00	6583.6
341.00	6627.8
342.00	6668.1
343.00	6717.0
344.00	6760.7
345.00	6802.1
346.00	6818.8
347.00	6845.1
348.00	6856.8
349.00	6856.6
350.00	6866.5
351.00	6862.7
352.00	6866.6
353.00	6845.7
354.00	6817.8
355.00	6795.4
356.00	6787.3
357.00	6770.9
358.00	6749.1
359.00	6711.5
360.00	6656.6
361.00	6610.8
362.00	6571.2
363.00	6521.5
364.00	6479.1
365.00	6408.8
366.00	6327.2
367.00	6240.1
368.00	6150.3
369.00	6063.7
370.00	5981.8
371.00	5857.2
372.00	5740.6
373.00	5612.3
374.00	5475.0
375.00	5329.7
376.00	5194.5
377.00	5057.5
378.00	4896.3
379.00	4740.6
380.00	4584.0
381.00	4403.8
382.00	4225.5
383.00	4075.0
384.00	3899.6
385.00	3715.4
386.00	3536.9
387.00	3348.4
388.00	3164.6
389.00	3018.6
390.00	2860.5
391.00	2683.4
392.00	2511.6
393.00	2361.8
394.00	2202.4
395.00	2061.1
396.00	1932.7
397.00	1792.2
398.00	1657.2
399.00	1540.3
400.00	1426.3
401.00	1334.9
402.00	1240.4
403.00	1150.0
404.00	1063.8
405.00	981.60
406.00	900.07
407.00	838.93
408.00	784.78
409.00	740.77
410.00	684.13
411.00	649.28
412.00	581.99
413.00	525.59
414.00	499.23
415.00	472.91
416.00	443.86
417.00	423.61
418.00	396.66
419.00	376.43
420.00	347.72
421.00	325.97
422.00	305.87
423.00	290.57
424.00	278.19
425.00	260.38
426.00	248.95
427.00	239.08
428.00	222.71
429.00	226.24
430.00	208.05
431.00	197.30
432.00	185.48
433.00	185.78
434.00	174.52
435.00	169.48
436.00	171.22
437.00	156.40
438.00	141.23
439.00	126.96
440.00	127.37
441.00	125.70
442.00	116.77
443.00	114.57
444.00	99.324
445.00	89.123
446.00	92.424
447.00	95.096
448.00	85.586
449.00	91.732
450.00	83.496
451.00	74.851
452.00	68.563
453.00	59.887
454.00	64.115
455.00	73.263
456.00	64.634
457.00	54.605
458.00	50.534
459.00	57.214
460.00	51.477
461.00	57.104
462.00	49.497
463.00	59.116
464.00	46.023
465.00	38.934
466.00	42.738
467.00	45.426
468.00	57.167
469.00	46.117
470.00	45.583
471.00	36.073
472.00	40.066
473.00	46.935
474.00	38.525
475.00	46.604
476.00	38.038
477.00	30.540
478.00	38.950
479.00	45.048
480.00	44.765
481.00	51.713
482.00	43.917
483.00	41.072
484.00	32.348
485.00	42.973
486.00	23.640
487.00	26.893
488.00	33.637
489.00	27.789
490.00	32.489
491.00	27.271
492.00	31.860
493.00	32.018
494.00	31.373
495.00	36.120
496.00	34.438
497.00	32.631
498.00	36.136
499.00	27.286
500.00	36.057
