Wavelength (nm)	FL071 [11] 4143-63-9, 4'-Hydroxyflavone [M]
210.00	19638
211.00	19092
212.00	18735
213.00	18545
214.00	18439
215.00	18451
216.00	18562
217.00	18780
218.00	19055
219.00	19277
220.00	19362
221.00	19320
222.00	19158
223.00	18993
224.00	18849
225.00	18618
226.00	18208
227.00	17588
228.00	16875
229.00	16304
230.00	15843
231.00	15457
232.00	15088
233.00	14691
234.00	14235
235.00	13703
236.00	13122
237.00	12534
238.00	11983
239.00	11500
240.00	11075
241.00	10752
242.00	10513
243.00	10353
244.00	10260
245.00	10231
246.00	10243
247.00	10285
248.00	10353
249.00	10437
250.00	10508
251.00	10568
252.00	10620
253.00	10657
254.00	10678
255.00	10669
256.00	10592
257.00	10460
258.00	10248
259.00	9967.6
260.00	9594.4
261.00	9098.3
262.00	8475.6
263.00	7722.1
264.00	6900.3
265.00	6083.7
266.00	5359.8
267.00	4787.2
268.00	4352.0
269.00	4050.5
270.00	3868.4
271.00	3789.0
272.00	3788.2
273.00	3856.1
274.00	3982.7
275.00	4166.5
276.00	4395.5
277.00	4656.2
278.00	4961.8
279.00	5281.3
280.00	5640.0
281.00	6038.9
282.00	6464.6
283.00	6918.7
284.00	7390.9
285.00	7879.0
286.00	8383.7
287.00	8919.8
288.00	9482.2
289.00	10063
290.00	10661
291.00	11296
292.00	11926
293.00	12564
294.00	13206
295.00	13866
296.00	14497
297.00	15138
298.00	15796
299.00	16428
300.00	17050
301.00	17680
302.00	18286
303.00	18869
304.00	19438
305.00	19999
306.00	20569
307.00	21058
308.00	21531
309.00	21969
310.00	22383
311.00	22771
312.00	23063
313.00	23315
314.00	23548
315.00	23749
316.00	23951
317.00	24149
318.00	24301
319.00	24452
320.00	24615
321.00	24746
322.00	24842
323.00	24983
324.00	25032
325.00	25100
326.00	25052
327.00	25015
328.00	24932
329.00	24765
330.00	24602
331.00	24355
332.00	24076
333.00	23722
334.00	23345
335.00	22919
336.00	22510
337.00	22035
338.00	21525
339.00	20990
340.00	20407
341.00	19812
342.00	19186
343.00	18512
344.00	17743
345.00	16956
346.00	16101
347.00	15180
348.00	14257
349.00	13313
350.00	12344
351.00	11386
352.00	10465
353.00	9555.3
354.00	8669.9
355.00	7837.9
356.00	7068.7
357.00	6382.3
358.00	5740.1
359.00	5145.2
360.00	4547.8
361.00	4006.1
362.00	3516.6
363.00	3070.0
364.00	2668.2
365.00	2318.7
366.00	1994.9
367.00	1716.2
368.00	1476.1
369.00	1279.8
370.00	1100.1
371.00	939.78
372.00	801.16
373.00	684.95
374.00	596.56
375.00	494.01
376.00	434.63
377.00	363.93
378.00	303.84
379.00	261.33
380.00	231.89
381.00	199.07
382.00	182.45
383.00	160.64
384.00	139.82
385.00	125.52
386.00	118.24
387.00	107.43
388.00	100.05
389.00	83.091
390.00	82.408
391.00	67.660
392.00	67.479
393.00	58.424
394.00	65.715
395.00	58.180
396.00	60.704
397.00	49.228
398.00	40.894
399.00	36.141
400.00	51.456
401.00	46.574
402.00	41.963
403.00	38.356
404.00	37.146
405.00	34.569
406.00	38.073
407.00	51.688
408.00	46.226
409.00	35.922
410.00	41.409
411.00	41.229
412.00	32.818
413.00	21.328
414.00	36.836
415.00	41.744
416.00	29.894
417.00	31.620
418.00	32.573
419.00	33.913
420.00	26.171
421.00	26.313
422.00	26.674
423.00	26.506
424.00	42.877
425.00	32.856
426.00	35.329
427.00	27.691
428.00	24.110
429.00	34.196
430.00	22.874
431.00	35.394
432.00	47.669
433.00	34.415
434.00	28.683
435.00	35.922
436.00	16.382
437.00	32.985
438.00	33.346
439.00	34.724
440.00	47.334
441.00	27.485
442.00	21.689
443.00	33.011
444.00	29.971
445.00	26.880
446.00	32.277
447.00	30.551
448.00	34.776
449.00	22.964
450.00	32.418
451.00	38.678
452.00	40.688
453.00	40.675
454.00	32.624
455.00	35.420
456.00	29.546
457.00	26.609
458.00	21.702
459.00	38.343
460.00	25.295
461.00	34.299
462.00	41.010
463.00	28.799
464.00	19.216
465.00	20.053
466.00	14.579
467.00	32.277
468.00	36.759
469.00	52.061
470.00	38.472
471.00	25.824
472.00	30.139
473.00	27.318
474.00	48.983
475.00	37.815
476.00	54.238
477.00	51.417
478.00	22.719
479.00	32.985
480.00	44.436
481.00	43.071
482.00	41.422
483.00	44.217
484.00	46.123
485.00	3.7463
486.00	22.320
487.00	35.703
488.00	111.23
489.00	64.749
490.00	39.954
491.00	32.753
492.00	45.376
493.00	28.632
494.00	31.208
495.00	42.465
496.00	42.942
497.00	47.669
498.00	54.122
499.00	17.129
500.00	29.971
