Wavelength (nm)	Ni(II) UroP I (in DMSO).abs
300.00	0.050008
301.00	0.049008
302.00	0.048173
303.00	0.047513
304.00	0.046944
305.00	0.046303
306.00	0.046090
307.00	0.046788
308.00	0.047410
309.00	0.048349
310.00	0.049365
311.00	0.050120
312.00	0.051274
313.00	0.052394
314.00	0.053621
315.00	0.055032
316.00	0.056129
317.00	0.057039
318.00	0.058162
319.00	0.059179
320.00	0.060452
321.00	0.061639
322.00	0.062926
323.00	0.064137
324.00	0.065345
325.00	0.066343
326.00	0.067258
327.00	0.067895
328.00	0.068839
329.00	0.068975
330.00	0.068934
331.00	0.068574
332.00	0.068298
333.00	0.067807
334.00	0.067275
335.00	0.066498
336.00	0.065747
337.00	0.065140
338.00	0.064422
339.00	0.063696
340.00	0.062909
341.00	0.062156
342.00	0.061620
343.00	0.060922
344.00	0.060512
345.00	0.060023
346.00	0.059792
347.00	0.059572
348.00	0.059425
349.00	0.059365
350.00	0.059353
351.00	0.059921
352.00	0.060288
353.00	0.060499
354.00	0.061096
355.00	0.062046
356.00	0.063274
357.00	0.064920
358.00	0.067041
359.00	0.069079
360.00	0.072273
361.00	0.075714
362.00	0.079487
363.00	0.083985
364.00	0.089290
365.00	0.095229
366.00	0.10189
367.00	0.10872
368.00	0.11661
369.00	0.12479
370.00	0.13309
371.00	0.14209
372.00	0.15018
373.00	0.15874
374.00	0.16777
375.00	0.17674
376.00	0.18694
377.00	0.19910
378.00	0.21318
379.00	0.22956
380.00	0.24896
381.00	0.27303
382.00	0.30242
383.00	0.33671
384.00	0.37682
385.00	0.42427
386.00	0.47766
387.00	0.53767
388.00	0.60261
389.00	0.66898
390.00	0.74005
391.00	0.80976
392.00	0.87357
393.00	0.92902
394.00	0.96885
395.00	0.99426
396.00	1.0000
397.00	0.98558
398.00	0.95133
399.00	0.90245
400.00	0.84115
401.00	0.77145
402.00	0.69864
403.00	0.62702
404.00	0.55874
405.00	0.49477
406.00	0.43986
407.00	0.39057
408.00	0.34655
409.00	0.30909
410.00	0.27856
411.00	0.25205
412.00	0.23008
413.00	0.21163
414.00	0.19626
415.00	0.18123
416.00	0.16601
417.00	0.15056
418.00	0.13554
419.00	0.12168
420.00	0.10917
421.00	0.098310
422.00	0.089545
423.00	0.082123
424.00	0.075698
425.00	0.070333
426.00	0.065271
427.00	0.060862
428.00	0.056960
429.00	0.053245
430.00	0.049903
431.00	0.047194
432.00	0.044949
433.00	0.042616
434.00	0.040073
435.00	0.038244
436.00	0.036340
437.00	0.034379
438.00	0.032953
439.00	0.031552
440.00	0.030230
441.00	0.028986
442.00	0.027751
443.00	0.026902
444.00	0.026137
445.00	0.025072
446.00	0.024715
447.00	0.023711
448.00	0.023054
449.00	0.022376
450.00	0.021793
451.00	0.021428
452.00	0.020959
453.00	0.020406
454.00	0.019729
455.00	0.019445
456.00	0.018888
457.00	0.018561
458.00	0.018490
459.00	0.018048
460.00	0.017639
461.00	0.017500
462.00	0.017376
463.00	0.017321
464.00	0.017257
465.00	0.017539
466.00	0.017465
467.00	0.017534
468.00	0.017708
469.00	0.017426
470.00	0.017577
471.00	0.017722
472.00	0.017875
473.00	0.017830
474.00	0.018111
475.00	0.018247
476.00	0.018332
477.00	0.018506
478.00	0.018494
479.00	0.018325
480.00	0.018316
481.00	0.018370
482.00	0.018675
483.00	0.018902
484.00	0.018899
485.00	0.019164
486.00	0.019536
487.00	0.019340
488.00	0.020198
489.00	0.019385
490.00	0.019254
491.00	0.019710
492.00	0.019698
493.00	0.020184
494.00	0.020475
495.00	0.020796
496.00	0.021371
497.00	0.022028
498.00	0.023051
499.00	0.024378
500.00	0.025739
501.00	0.027827
502.00	0.029600
503.00	0.031938
504.00	0.034267
505.00	0.037077
506.00	0.040496
507.00	0.043292
508.00	0.046347
509.00	0.049088
510.00	0.051593
511.00	0.053702
512.00	0.055885
513.00	0.057570
514.00	0.058796
515.00	0.059896
516.00	0.060378
517.00	0.060104
518.00	0.059747
519.00	0.058729
520.00	0.056841
521.00	0.054439
522.00	0.051648
523.00	0.048828
524.00	0.046043
525.00	0.043242
526.00	0.040799
527.00	0.038845
528.00	0.037003
529.00	0.035780
530.00	0.034617
531.00	0.033967
532.00	0.033637
533.00	0.033957
534.00	0.034520
535.00	0.035287
536.00	0.036767
537.00	0.038723
538.00	0.041391
539.00	0.044589
540.00	0.048824
541.00	0.054072
542.00	0.060859
543.00	0.068713
544.00	0.078248
545.00	0.088718
546.00	0.099914
547.00	0.11170
548.00	0.12259
549.00	0.13188
550.00	0.13880
551.00	0.14263
552.00	0.14300
553.00	0.13970
554.00	0.13328
555.00	0.12395
556.00	0.11294
557.00	0.10142
558.00	0.089535
559.00	0.078596
560.00	0.068071
561.00	0.059213
562.00	0.051035
563.00	0.044029
564.00	0.038137
565.00	0.033326
566.00	0.029105
567.00	0.025708
568.00	0.022787
569.00	0.020456
570.00	0.018630
571.00	0.017071
572.00	0.015695
573.00	0.014551
574.00	0.013752
575.00	0.012851
576.00	0.012269
577.00	0.011726
578.00	0.011243
579.00	0.010533
580.00	0.010206
581.00	0.0098780
582.00	0.0096644
583.00	0.0089439
584.00	0.0085972
585.00	0.0082202
586.00	0.0078250
587.00	0.0076262
588.00	0.0074092
589.00	0.0069196
590.00	0.0067545
591.00	0.0064118
592.00	0.0062492
593.00	0.0062837
594.00	0.0061663
595.00	0.0061441
596.00	0.0059896
597.00	0.0056717
598.00	0.0054785
599.00	0.0055345
600.00	0.0055034
601.00	0.0055147
602.00	0.0053366
603.00	0.0054227
604.00	0.0052289
605.00	0.0050802
606.00	0.0050087
607.00	0.0049282
608.00	0.0047737
609.00	0.0047425
610.00	0.0047549
611.00	0.0045404
612.00	0.0045321
613.00	0.0044107
614.00	0.0041896
615.00	0.0041510
616.00	0.0038783
617.00	0.0037436
618.00	0.0032210
619.00	0.0033468
620.00	0.0032275
621.00	0.0027150
622.00	0.0029400
623.00	0.0037089
624.00	0.0038306
625.00	0.0035192
626.00	0.0034141
627.00	0.0038356
628.00	0.0035956
629.00	0.0031939
630.00	0.0029302
631.00	0.0029664
632.00	0.0028103
633.00	0.0027084
634.00	0.0027593
635.00	0.0028504
636.00	0.0024322
637.00	0.0025162
638.00	0.0028397
639.00	0.0022277
640.00	0.0016773
641.00	0.0020224
642.00	0.0019690
643.00	0.0014489
644.00	0.0015506
645.00	0.0021305
646.00	0.0020878
647.00	0.0021400
648.00	0.0021442
649.00	0.0020364
650.00	0.0018264
651.00	0.0021841
652.00	0.0020553
653.00	0.0019722
654.00	0.0017874
655.00	0.0016255
656.00	0.0017229
657.00	0.0017229
658.00	0.0017229
659.00	0.0014768
660.00	0.0014949
661.00	0.0013939
662.00	0.0012789
663.00	0.0013766
664.00	0.0014111
665.00	0.0013487
666.00	0.0013528
667.00	0.0013257
668.00	0.0013413
669.00	0.0011630
670.00	0.0012115
671.00	0.0011063
672.00	0.0012928
