Wavelength (nm)	Toly J (2021)
300.00	0.13300
301.00	0.13315
302.00	0.13545
303.00	0.13638
304.00	0.13818
305.00	0.13973
306.00	0.14156
307.00	0.14280
308.00	0.14602
309.00	0.14814
310.00	0.15029
311.00	0.15307
312.00	0.15521
313.00	0.15737
314.00	0.15966
315.00	0.16013
316.00	0.15825
317.00	0.15722
318.00	0.15286
319.00	0.14639
320.00	0.13808
321.00	0.12872
322.00	0.12226
323.00	0.11161
324.00	0.10496
325.00	0.097883
326.00	0.092725
327.00	0.089273
328.00	0.086203
329.00	0.084522
330.00	0.082748
331.00	0.079193
332.00	0.078882
333.00	0.079583
334.00	0.080465
335.00	0.081570
336.00	0.081323
337.00	0.081894
338.00	0.082627
339.00	0.083357
340.00	0.086383
341.00	0.088771
342.00	0.090794
343.00	0.093363
344.00	0.098610
345.00	0.099848
346.00	0.10579
347.00	0.11022
348.00	0.11491
349.00	0.11838
350.00	0.12385
351.00	0.12981
352.00	0.13226
353.00	0.13846
354.00	0.14416
355.00	0.14994
356.00	0.15690
357.00	0.16356
358.00	0.17079
359.00	0.17645
360.00	0.18669
361.00	0.19544
362.00	0.20440
363.00	0.21288
364.00	0.22207
365.00	0.23493
366.00	0.24951
367.00	0.26437
368.00	0.27757
369.00	0.29236
370.00	0.30906
371.00	0.32697
372.00	0.34707
373.00	0.36177
374.00	0.38012
375.00	0.40014
376.00	0.42324
377.00	0.44232
378.00	0.46158
379.00	0.47968
380.00	0.50414
381.00	0.52908
382.00	0.55520
383.00	0.57851
384.00	0.60860
385.00	0.63467
386.00	0.66830
387.00	0.70171
388.00	0.73514
389.00	0.76510
390.00	0.79940
391.00	0.83615
392.00	0.88076
393.00	0.90997
394.00	0.94003
395.00	0.96526
396.00	0.98745
397.00	0.99780
398.00	1.0000
399.00	0.99592
400.00	0.98120
401.00	0.96322
402.00	0.93478
403.00	0.90567
404.00	0.87723
405.00	0.84092
406.00	0.80161
407.00	0.75490
408.00	0.70325
409.00	0.65639
410.00	0.60479
411.00	0.55433
412.00	0.49944
413.00	0.44619
414.00	0.40253
415.00	0.36231
416.00	0.32146
417.00	0.28363
418.00	0.24535
419.00	0.21581
420.00	0.19134
421.00	0.16743
422.00	0.14716
423.00	0.12826
424.00	0.11110
425.00	0.098987
426.00	0.089573
427.00	0.080406
428.00	0.073105
429.00	0.066080
430.00	0.060606
431.00	0.056361
432.00	0.051788
433.00	0.048499
434.00	0.044863
435.00	0.041830
436.00	0.038902
437.00	0.035772
438.00	0.033386
439.00	0.030536
440.00	0.027743
441.00	0.025447
442.00	0.023296
443.00	0.021814
444.00	0.019535
445.00	0.017819
446.00	0.016676
447.00	0.015501
448.00	0.014703
449.00	0.014074
450.00	0.013090
451.00	0.012697
452.00	0.012259
453.00	0.012037
454.00	0.011500
455.00	0.011781
456.00	0.011448
457.00	0.011373
458.00	0.011273
459.00	0.011414
460.00	0.011698
461.00	0.011672
462.00	0.011473
463.00	0.011531
464.00	0.011866
465.00	0.012666
466.00	0.013040
467.00	0.013501
468.00	0.014043
469.00	0.014547
470.00	0.015705
471.00	0.015794
472.00	0.016989
473.00	0.018288
474.00	0.019360
475.00	0.020053
476.00	0.021096
477.00	0.022266
478.00	0.022561
479.00	0.023681
480.00	0.023637
481.00	0.024646
482.00	0.024605
483.00	0.024467
484.00	0.024188
485.00	0.023505
486.00	0.023461
487.00	0.023521
488.00	0.022882
489.00	0.022390
490.00	0.022280
491.00	0.022042
492.00	0.022002
493.00	0.021712
494.00	0.022203
495.00	0.022285
496.00	0.023192
497.00	0.023601
498.00	0.024459
499.00	0.025411
500.00	0.027065
501.00	0.028528
502.00	0.029305
503.00	0.030752
504.00	0.031894
505.00	0.032472
506.00	0.033628
507.00	0.033816
508.00	0.033597
509.00	0.033646
510.00	0.033210
511.00	0.032045
512.00	0.031544
513.00	0.030071
514.00	0.029571
515.00	0.027959
516.00	0.027011
517.00	0.025553
518.00	0.023687
519.00	0.022678
520.00	0.021177
521.00	0.020073
522.00	0.019688
523.00	0.018352
524.00	0.017218
525.00	0.016236
526.00	0.015922
527.00	0.015137
528.00	0.015122
529.00	0.015132
530.00	0.014551
531.00	0.015064
532.00	0.015215
533.00	0.015319
534.00	0.015894
535.00	0.016381
536.00	0.017764
537.00	0.019129
538.00	0.019340
539.00	0.021258
540.00	0.023183
541.00	0.025122
542.00	0.026568
543.00	0.027855
544.00	0.029201
545.00	0.030891
546.00	0.032168
547.00	0.033564
548.00	0.033864
549.00	0.034629
550.00	0.034239
551.00	0.034852
552.00	0.034869
553.00	0.034328
554.00	0.033898
555.00	0.032810
556.00	0.031893
557.00	0.030755
558.00	0.029214
559.00	0.027533
560.00	0.025800
561.00	0.024536
562.00	0.023434
563.00	0.021774
564.00	0.020664
565.00	0.018727
566.00	0.018163
567.00	0.016923
568.00	0.016523
569.00	0.016253
570.00	0.015416
571.00	0.015347
572.00	0.014979
573.00	0.014447
574.00	0.014449
575.00	0.014147
576.00	0.013962
577.00	0.013416
578.00	0.013511
579.00	0.012691
580.00	0.011939
581.00	0.013456
582.00	0.012417
583.00	0.013075
584.00	0.011581
585.00	0.010528
586.00	0.011773
587.00	0.011520
588.00	0.010918
589.00	0.010878
590.00	0.0091941
591.00	0.0087127
592.00	0.0088486
593.00	0.0096139
594.00	0.0098410
595.00	0.0095524
596.00	0.0092485
597.00	0.0090936
598.00	0.0086689
599.00	0.0080442
600.00	0.0074041
601.00	0.0081710
602.00	0.0080050
603.00	0.0078549
604.00	0.0080370
605.00	0.0082794
606.00	0.0081760
607.00	0.0081603
608.00	0.0084567
609.00	0.0088319
610.00	0.0086059
611.00	0.0091563
612.00	0.0092294
613.00	0.0097018
614.00	0.010541
615.00	0.011275
616.00	0.013840
617.00	0.016268
618.00	0.018411
619.00	0.021531
620.00	0.024127
621.00	0.027873
622.00	0.030500
623.00	0.031553
624.00	0.032237
625.00	0.032391
626.00	0.033191
627.00	0.033785
628.00	0.032978
629.00	0.034038
630.00	0.035691
631.00	0.036262
632.00	0.035621
633.00	0.035146
634.00	0.034346
635.00	0.032644
636.00	0.030613
637.00	0.029877
638.00	0.029574
639.00	0.028073
640.00	0.027113
641.00	0.025355
642.00	0.024157
643.00	0.024343
644.00	0.024086
645.00	0.024230
646.00	0.024892
647.00	0.025675
648.00	0.026846
649.00	0.028738
650.00	0.031496
651.00	0.034943
652.00	0.039703
653.00	0.042559
654.00	0.044818
655.00	0.045852
656.00	0.044578
657.00	0.042908
658.00	0.040769
659.00	0.037704
660.00	0.034554
661.00	0.032420
662.00	0.031275
663.00	0.030594
664.00	0.030650
665.00	0.030934
666.00	0.030688
667.00	0.031115
668.00	0.030769
669.00	0.031864
670.00	0.032872
671.00	0.035150
672.00	0.036424
673.00	0.039216
674.00	0.041612
675.00	0.045949
676.00	0.053053
677.00	0.061882
678.00	0.075190
679.00	0.093253
680.00	0.11513
681.00	0.14374
682.00	0.17812
683.00	0.22694
684.00	0.28834
685.00	0.36167
686.00	0.44011
687.00	0.49837
688.00	0.53022
689.00	0.53615
690.00	0.51122
691.00	0.47147
692.00	0.40360
693.00	0.34516
694.00	0.28600
695.00	0.23765
696.00	0.19794
697.00	0.15926
698.00	0.12755
699.00	0.10135
700.00	0.080305
701.00	0.062329
702.00	0.049997
703.00	0.040361
704.00	0.033630
705.00	0.027177
706.00	0.020645
707.00	0.016513
708.00	0.014317
709.00	0.012191
710.00	0.0087242
711.00	0.0078260
712.00	0.0079644
713.00	0.0064415
714.00	0.0065492
715.00	0.0064480
716.00	0.0060038
717.00	0.0038253
718.00	0.0047974
719.00	0.0042515
720.00	0.0042595
721.00	0.0041001
722.00	0.0034795
723.00	0.0034687
724.00	0.0031211
725.00	0.0025141
726.00	0.0030904
727.00	0.0028380
728.00	0.0032080
729.00	0.0032476
730.00	0.0025501
731.00	0.0028606
732.00	0.0030343
733.00	0.0024114
734.00	0.0026439
735.00	0.0025804
736.00	0.0023223
737.00	0.0022456
738.00	0.0023577
739.00	0.0016990
740.00	0.0019844
741.00	0.0012744
742.00	0.0010690
743.00	0.0010236
744.00	4.7231e-05
745.00	0.00025913
746.00	0.0013127
747.00	0.00055750
748.00	0.00057580
749.00	0.0019090
750.00	0.0018620
751.00	0.0018450
752.00	0.00038152
753.00	0.0010461
754.00	0.0019986
755.00	0.0021279
756.00	0.00092825
757.00	0.0017634
758.00	0.00084024
759.00	0.00074212
760.00	0.00050666
761.00	0.0011515
762.00	0.00084414
763.00	0.0016154
764.00	0.00099675
765.00	0.00036742
766.00	0.0014425
767.00	0.00076040
768.00	0.00098363
769.00	2.1401e-05
770.00	0.0012689
771.00	0.00012144
772.00	0.00068908
773.00	0.00044852
774.00	0.00016440
775.00	0.00082129
776.00	0.0010981
777.00	0.00097550
778.00	0.0023168
779.00	0.0021588
780.00	0.0021120
781.00	0.0015151
782.00	0.0026367
783.00	0.0015917
784.00	0.0026392
785.00	0.0023010
786.00	0.0022452
787.00	0.00076996
788.00	0.0017934
789.00	0.00015158
790.00	0.00020594
791.00	0.00090185
792.00	0.00034352
793.00	0.00019243
794.00	-3.0432e-05
795.00	0.00049032
796.00	0.00096684
797.00	0.00053140
798.00	0.00029820
799.00	8.6197e-05
800.00	0.00022842
