Wavelength (nm)	F02 abs e
225.00	76.169
225.25	69.946
225.50	64.165
225.75	59.796
226.00	55.506
226.25	51.846
226.50	49.309
226.75	46.208
227.00	43.897
227.25	41.689
227.50	40.066
227.75	38.898
228.00	37.474
228.25	36.311
228.50	35.296
228.75	35.260
229.00	34.876
229.25	34.213
229.50	33.573
229.75	33.717
230.00	33.536
230.25	33.496
230.50	33.118
230.75	33.305
231.00	32.870
231.25	33.161
231.50	32.780
231.75	33.118
232.00	33.192
232.25	33.456
232.50	33.628
232.75	34.357
233.00	34.762
233.25	35.424
233.50	36.282
233.75	37.048
234.00	37.887
234.25	38.761
234.50	39.714
234.75	40.971
235.00	41.932
235.25	42.760
235.50	43.743
235.75	44.726
236.00	45.631
236.25	46.253
236.50	46.964
236.75	47.634
237.00	48.134
237.25	49.490
237.50	50.589
237.75	51.479
238.00	52.953
238.25	54.681
238.50	55.919
238.75	57.931
239.00	59.140
239.25	60.777
239.50	62.654
239.75	64.170
240.00	65.771
240.25	67.743
240.50	69.391
240.75	71.138
241.00	72.198
241.25	73.387
241.50	73.824
241.75	74.595
242.00	75.473
242.25	76.015
242.50	77.118
242.75	78.539
243.00	79.999
243.25	81.350
243.50	83.574
243.75	85.310
244.00	87.314
244.25	89.951
244.50	93.093
244.75	95.116
245.00	98.126
245.25	101.05
245.50	103.39
245.75	106.03
246.00	107.92
246.25	110.31
246.50	110.88
246.75	111.49
247.00	111.94
247.25	112.19
247.50	112.13
247.75	112.23
248.00	112.84
248.25	113.42
248.50	115.23
248.75	117.58
249.00	120.59
249.25	124.31
249.50	127.84
249.75	132.06
250.00	136.68
250.25	141.48
250.50	145.61
250.75	149.05
251.00	152.06
251.25	154.51
251.50	155.63
251.75	155.44
252.00	154.30
252.25	152.72
252.50	150.32
252.75	148.06
253.00	146.30
253.25	144.51
253.50	143.17
253.75	142.87
254.00	142.80
254.25	143.37
254.50	145.25
254.75	145.51
255.00	147.76
255.25	151.01
255.50	155.69
255.75	161.28
256.00	167.68
256.25	173.95
256.50	180.52
256.75	186.79
257.00	191.33
257.25	194.25
257.50	195.01
257.75	192.28
258.00	189.09
258.25	182.91
258.50	177.28
258.75	171.06
259.00	163.77
259.25	157.67
259.50	151.86
259.75	148.03
260.00	143.84
260.25	140.85
260.50	137.85
260.75	135.39
261.00	133.34
261.25	132.02
261.50	131.69
261.75	133.54
262.00	135.91
262.25	139.65
262.50	143.92
262.75	147.27
263.00	149.56
263.25	149.21
263.50	146.19
263.75	140.95
264.00	133.10
264.25	124.79
264.50	117.01
264.75	109.23
265.00	103.22
265.25	97.437
265.50	93.040
265.75	90.009
266.00	88.207
266.25	86.916
266.50	85.499
266.75	83.475
267.00	80.710
267.25	76.544
267.50	71.426
267.75	65.338
268.00	59.272
268.25	53.571
268.50	47.351
268.75	42.004
269.00	37.022
269.25	32.863
269.50	29.060
269.75	25.917
270.00	23.359
270.25	21.430
270.50	19.481
270.75	18.138
271.00	16.548
271.25	15.356
271.50	13.701
271.75	12.887
272.00	11.935
272.25	10.616
272.50	8.9802
272.75	8.6703
273.00	7.8981
273.25	6.9561
273.50	6.2657
273.75	5.8898
274.00	5.4872
274.25	5.0657
274.50	4.5813
274.75	4.1346
275.00	3.7572
275.25	3.3137
275.50	3.4128
275.75	3.1265
276.00	2.8403
276.25	2.4377
276.50	2.3512
276.75	2.4754
277.00	2.6705
277.25	2.2427
277.50	2.3418
277.75	2.4251
278.00	2.3229
278.25	2.3937
278.50	2.3921
278.75	1.9533
279.00	2.2883
279.25	1.7567
279.50	1.8495
279.75	2.0052
280.00	1.7347
280.25	1.8448
280.50	1.8747
280.75	1.9045
281.00	1.8259
281.25	2.0587
281.50	2.0146
281.75	1.8338
282.00	1.6859
282.25	1.7080
282.50	1.5617
282.75	1.5664
283.00	1.5617
283.25	1.7945
283.50	1.4799
283.75	1.2943
284.00	1.2094
284.25	1.2566
284.50	1.2912
284.75	1.2959
285.00	1.4956
285.25	1.2786
285.50	1.1323
285.75	1.3950
286.00	1.6230
286.25	1.2707
286.50	1.5365
286.75	1.2959
287.00	1.2550
287.25	1.1072
287.50	1.1669
287.75	0.96879
288.00	0.64796
288.25	1.1654
288.50	0.91217
288.75	0.93262
289.00	1.0348
289.25	1.0757
289.50	0.96722
289.75	1.0977
290.00	1.1371
290.25	0.90588
290.50	1.0396
290.75	0.89487
291.00	1.2236
291.25	0.79894
291.50	0.73760
291.75	0.91217
292.00	0.84454
292.25	0.86971
292.50	1.0946
292.75	0.73760
293.00	0.68885
293.25	1.1166
293.50	1.0506
293.75	0.65425
294.00	1.0113
294.25	1.0820
294.50	0.72816
294.75	0.81309
295.00	0.85241
295.25	1.0286
295.50	1.2000
295.75	0.81466
296.00	0.94048
296.25	1.0207
296.50	0.87757
296.75	0.92161
297.00	0.84769
297.25	1.1858
297.50	1.0065
297.75	1.2000
298.00	1.0647
298.25	0.72030
298.50	0.95621
298.75	1.0333
299.00	0.68256
299.25	0.77063
299.50	0.76276
299.75	0.98137
300.00	0.68727
