Wavelength (nm)	H08 abs e
200.00	39841
201.00	43697
202.00	46915
203.00	48824
204.00	49725
205.00	50244
206.00	50779
207.00	50984
208.00	51070
209.00	51252
210.00	50746
211.00	49806
212.00	48578
213.00	46980
214.00	44969
215.00	42786
216.00	40318
217.00	37766
218.00	34913
219.00	31846
220.00	28564
221.00	25321
222.00	22222
223.00	19463
224.00	17046
225.00	15070
226.00	13436
227.00	12203
228.00	11252
229.00	10558
230.00	10045
231.00	9663.1
232.00	9401.0
233.00	9211.8
234.00	9095.8
235.00	9042.0
236.00	9067.2
237.00	9167.3
238.00	9305.5
239.00	9432.5
240.00	9523.4
241.00	9578.4
242.00	9633.6
243.00	9726.7
244.00	9891.8
245.00	10134
246.00	10408
247.00	10648
248.00	10789
249.00	10809
250.00	10728
251.00	10561
252.00	10359
253.00	10180
254.00	10066
255.00	10034
256.00	10082
257.00	10169
258.00	10271
259.00	10365
260.00	10433
261.00	10481
262.00	10505
263.00	10548
264.00	10571
265.00	10589
266.00	10595
267.00	10563
268.00	10507
269.00	10448
270.00	10431
271.00	10479
272.00	10624
273.00	10867
274.00	11174
275.00	11493
276.00	11796
277.00	12088
278.00	12355
279.00	12623
280.00	12909
281.00	13226
282.00	13557
283.00	13889
284.00	14156
285.00	14307
286.00	14283
287.00	14068
288.00	13661
289.00	13078
290.00	12396
291.00	11674
292.00	10960
293.00	10272
294.00	9640.8
295.00	9100.6
296.00	8648.9
297.00	8270.5
298.00	7979.8
299.00	7759.8
300.00	7591.3
301.00	7458.9
302.00	7344.7
303.00	7245.5
304.00	7149.0
305.00	7032.0
306.00	6926.6
307.00	6813.8
308.00	6717.7
309.00	6624.1
310.00	6524.1
311.00	6449.7
312.00	6386.7
313.00	6300.7
314.00	6195.9
315.00	6031.9
316.00	5841.3
317.00	5602.8
318.00	5352.5
319.00	5110.7
320.00	4854.5
321.00	4630.2
322.00	4417.6
323.00	4236.8
324.00	4099.3
325.00	3963.6
326.00	3834.9
327.00	3658.3
328.00	3427.2
329.00	3124.4
330.00	2778.7
331.00	2440.9
332.00	2104.6
333.00	1831.5
334.00	1621.0
335.00	1465.7
336.00	1354.8
337.00	1279.4
338.00	1238.7
339.00	1215.9
340.00	1206.1
341.00	1214.1
342.00	1220.2
343.00	1252.8
344.00	1280.3
345.00	1319.6
346.00	1361.8
347.00	1413.6
348.00	1467.5
349.00	1524.8
350.00	1593.1
351.00	1666.7
352.00	1742.2
353.00	1832.7
354.00	1929.8
355.00	2034.2
356.00	2142.3
357.00	2276.6
358.00	2424.2
359.00	2573.8
360.00	2748.8
361.00	2897.4
362.00	3056.1
363.00	3246.3
364.00	3470.5
365.00	3717.9
366.00	3951.1
367.00	4222.4
368.00	4488.5
369.00	4779.3
370.00	5087.4
371.00	5402.2
372.00	5750.0
373.00	6119.3
374.00	6492.2
375.00	6888.6
376.00	7307.3
377.00	7729.4
378.00	8184.9
379.00	8656.7
380.00	9136.8
381.00	9641.3
382.00	10183
383.00	10731
384.00	11270
385.00	11880
386.00	12481
387.00	13142
388.00	13802
389.00	14394
390.00	15066
391.00	15821
392.00	16612
393.00	17370
394.00	18098
395.00	18897
396.00	19744
397.00	20652
398.00	21557
399.00	22413
400.00	23277
401.00	24237
402.00	25115
403.00	26116
404.00	27091
405.00	28094
406.00	28974
407.00	29878
408.00	30838
409.00	31725
410.00	32695
411.00	33662
412.00	34639
413.00	35554
414.00	36408
415.00	37386
416.00	38320
417.00	39277
418.00	40302
419.00	41310
420.00	42303
421.00	43435
422.00	44247
423.00	45216
424.00	46041
425.00	46989
426.00	47777
427.00	48938
428.00	49405
429.00	50249
430.00	50964
431.00	51280
432.00	51601
433.00	52149
434.00	52448
435.00	52382
436.00	52502
437.00	52465
438.00	52392
439.00	52170
440.00	52047
441.00	52036
442.00	51672
443.00	51393
444.00	51195
445.00	50814
446.00	50708
447.00	50536
448.00	50255
449.00	50138
450.00	49908
451.00	49555
452.00	49101
453.00	48740
454.00	48211
455.00	47750
456.00	46971
457.00	46134
458.00	45207
459.00	44041
460.00	42537
461.00	41034
462.00	39495
463.00	37760
464.00	35899
465.00	33886
466.00	31885
467.00	29726
468.00	27543
469.00	25462
470.00	23280
471.00	21144
472.00	19108
473.00	17174
474.00	15397
475.00	13634
476.00	12098
477.00	10641
478.00	9252.4
479.00	8040.4
480.00	6921.3
481.00	5962.4
482.00	5090.8
483.00	4333.5
484.00	3677.0
485.00	2956.3
486.00	2621.9
487.00	2317.1
488.00	1907.7
489.00	1562.6
490.00	1325.0
491.00	1098.3
492.00	930.04
493.00	784.42
494.00	678.75
495.00	552.40
496.00	481.16
497.00	428.87
498.00	348.55
499.00	321.54
500.00	292.92
501.00	248.15
502.00	228.84
503.00	220.55
504.00	206.75
505.00	169.98
506.00	162.88
507.00	138.79
508.00	135.81
509.00	122.92
510.00	117.57
511.00	106.22
512.00	99.072
513.00	83.622
514.00	104.03
515.00	94.588
516.00	76.122
517.00	94.902
518.00	91.139
519.00	80.710
520.00	88.120
521.00	84.471
522.00	81.899
523.00	88.448
524.00	87.506
525.00	83.156
526.00	85.232
527.00	90.967
528.00	75.895
529.00	67.298
530.00	70.469
531.00	82.307
