Wavelength (nm)	B01 abs N	B01 abs e
220.00	0.27814	4450.2
220.25	0.27669	4427.0
220.50	0.27803	4448.4
220.75	0.27693	4430.9
221.00	0.27839	4454.2
221.25	0.27173	4347.6
221.50	0.27704	4432.6
221.75	0.27620	4419.2
222.00	0.27755	4440.8
222.25	0.27966	4474.6
222.50	0.28430	4548.8
222.75	0.28736	4597.7
223.00	0.28887	4621.9
223.25	0.29078	4652.5
223.50	0.29755	4760.7
223.75	0.29910	4785.6
224.00	0.30401	4864.2
224.25	0.31230	4996.8
224.50	0.32215	5154.4
224.75	0.32822	5251.5
225.00	0.33218	5314.9
225.25	0.33753	5400.6
225.50	0.34182	5469.2
225.75	0.34905	5584.8
226.00	0.35647	5703.5
226.25	0.36796	5887.4
226.50	0.37465	5994.4
226.75	0.38138	6102.1
227.00	0.39145	6263.2
227.25	0.39902	6384.3
227.50	0.41085	6573.5
227.75	0.41635	6661.6
228.00	0.42453	6792.4
228.25	0.43485	6957.6
228.50	0.44503	7120.5
228.75	0.45193	7230.8
229.00	0.46343	7414.9
229.25	0.47191	7550.6
229.50	0.48309	7729.4
229.75	0.49084	7853.5
230.00	0.49880	7980.7
230.25	0.51319	8211.1
230.50	0.52210	8353.6
230.75	0.52858	8457.2
231.00	0.54138	8662.0
231.25	0.55129	8820.6
231.50	0.55960	8953.5
231.75	0.57206	9152.9
232.00	0.58428	9348.4
232.25	0.59257	9481.1
232.50	0.60420	9667.2
232.75	0.61424	9827.8
233.00	0.62555	10009
233.25	0.63550	10168
233.50	0.64427	10308
233.75	0.65635	10502
234.00	0.66212	10594
234.25	0.67393	10783
234.50	0.68477	10956
234.75	0.69396	11103
235.00	0.71080	11373
235.25	0.71900	11504
235.50	0.73439	11750
235.75	0.74429	11909
236.00	0.75452	12072
236.25	0.76511	12242
236.50	0.77635	12422
236.75	0.78249	12520
237.00	0.79589	12734
237.25	0.80123	12820
237.50	0.81027	12964
237.75	0.81559	13049
238.00	0.82761	13242
238.25	0.83448	13352
238.50	0.84673	13548
238.75	0.85402	13664
239.00	0.86320	13811
239.25	0.86904	13905
239.50	0.87561	14010
239.75	0.88582	14173
240.00	0.88725	14196
240.25	0.89838	14374
240.50	0.90481	14477
240.75	0.91126	14580
241.00	0.91614	14658
241.25	0.92500	14800
