Wavelength (nm)	B03 abs e
220.00	26321
220.25	25596
220.50	24745
220.75	24633
221.00	23902
221.25	23100
221.50	22435
221.75	21952
222.00	21223
222.25	20649
222.50	20091
222.75	19451
223.00	18809
223.25	18204
223.50	17919
223.75	17204
224.00	16673
224.25	16114
224.50	15462
224.75	15041
225.00	14555
225.25	13978
225.50	13607
225.75	13143
226.00	12517
226.25	12061
226.50	11627
226.75	11188
227.00	10805
227.25	10400
227.50	10143
227.75	9737.2
228.00	9385.4
228.25	9073.0
228.50	8739.7
228.75	8440.6
229.00	8107.7
229.25	7913.2
229.50	7682.6
229.75	7356.5
230.00	6939.9
230.25	6831.6
230.50	6544.6
230.75	6388.8
231.00	6209.3
231.25	5993.1
231.50	5813.6
231.75	5741.1
232.00	5699.2
232.25	5378.4
232.50	5367.1
232.75	5264.5
233.00	5136.5
233.25	5002.8
233.50	4826.5
233.75	4739.2
234.00	4725.5
234.25	4647.0
234.50	4472.7
234.75	4368.8
235.00	4292.3
235.25	4325.0
235.50	4285.5
235.75	4232.0
236.00	4203.0
236.25	4165.1
236.50	4210.6
236.75	4108.8
237.00	3951.4
237.25	4033.1
237.50	4034.3
237.75	3964.7
238.00	3958.6
238.25	3922.0
238.50	3860.4
238.75	3877.7
239.00	3944.9
239.25	3901.1
239.50	3934.5
239.75	3911.9
240.00	4031.9
240.25	3993.3
240.50	3965.5
240.75	4021.4
241.00	4003.7
241.25	4046.8
241.50	4058.5
241.75	4109.6
242.00	4072.6
242.25	4006.1
242.50	4118.4
242.75	4149.0
243.00	4114.0
243.25	4170.0
243.50	4248.1
243.75	4258.9
244.00	4322.5
244.25	4355.1
244.50	4414.7
244.75	4503.7
245.00	4510.5
245.25	4572.5
245.50	4666.3
245.75	4586.6
246.00	4774.2
246.25	4729.1
246.50	4823.7
246.75	4752.9
247.00	4901.8
247.25	5018.5
247.50	5093.8
247.75	5126.8
248.00	5141.7
248.25	5254.0
248.50	5315.2
248.75	5401.8
249.00	5528.6
249.25	5574.1
249.50	5647.7
249.75	5686.4
250.00	5858.7
250.25	5974.6
250.50	6023.7
250.75	6113.1
251.00	6242.3
251.25	6373.5
251.50	6431.5
251.75	6570.8
252.00	6683.9
252.25	6743.0
252.50	6940.7
252.75	6998.3
253.00	7100.1
253.25	7302.6
253.50	7380.3
253.75	7481.7
254.00	7652.0
254.25	7819.5
254.50	7964.8
254.75	7983.7
255.00	8102.8
255.25	8265.1
255.50	8399.5
255.75	8510.2
256.00	8724.8
256.25	8857.2
256.50	9024.7
256.75	9117.7
257.00	9355.2
257.25	9485.2
257.50	9709.0
257.75	9801.6
258.00	10045
258.25	10351
258.50	10396
258.75	10752
259.00	10847
259.25	11094
259.50	11236
259.75	11477
260.00	11660
260.25	11892
260.50	12072
260.75	12368
261.00	12547
261.25	12896
261.50	13114
261.75	13310
262.00	13542
262.25	13782
262.50	13999
262.75	14240
263.00	14440
263.25	14752
263.50	14894
263.75	15253
264.00	15643
264.25	15765
264.50	15981
264.75	16267
265.00	16595
265.25	16949
265.50	17120
265.75	17315
266.00	17612
266.25	17826
266.50	18043
266.75	18405
267.00	18605
267.25	18912
267.50	19194
267.75	19406
268.00	19825
268.25	20087
268.50	20382
268.75	20694
269.00	20961
269.25	21184
269.50	21574
269.75	21747
270.00	22057
270.25	22307
270.50	22605
270.75	22867
271.00	23144
271.25	23418
271.50	23655
271.75	24063
272.00	24321
272.25	24636
272.50	24801
272.75	25156
273.00	25531
273.25	25793
273.50	26115
273.75	26294
274.00	26500
274.25	26876
274.50	27117
274.75	27365
275.00	27745
275.25	27966
275.50	28309
275.75	28521
276.00	29066
276.25	29322
276.50	29532
276.75	29871
277.00	29951
277.25	30355
277.50	30545
277.75	30812
278.00	31028
278.25	31315
278.50	31572
278.75	31839
279.00	32039
279.25	32290
279.50	32560
279.75	32882
280.00	33076
280.25	33305
280.50	33348
280.75	33691
281.00	33950
281.25	34055
281.50	34293
281.75	34578
282.00	34912
282.25	35071
282.50	35247
282.75	35578
283.00	35793
283.25	36011
283.50	36153
283.75	36305
284.00	36576
284.25	36719
284.50	36978
284.75	37070
285.00	37318
285.25	37534
285.50	37569
285.75	37800
286.00	37920
286.25	38260
286.50	38410
286.75	38473
287.00	38701
287.25	38850
287.50	38848
287.75	39140
288.00	39084
288.25	39374
288.50	39429
288.75	39643
289.00	39780
289.25	39787
289.50	39998
289.75	39978
290.00	40271
290.25	40215
290.50	40294
290.75	40514
291.00	40534
291.25	40567
291.50	40667
291.75	40713
292.00	40792
292.25	40705
292.50	40802
292.75	40906
293.00	40921
293.25	40872
293.50	40918
293.75	40888
294.00	40861
294.25	40894
294.50	40829
294.75	41000
295.00	40836
295.25	40788
295.50	40843
295.75	40668
296.00	40675
296.25	40613
296.50	40508
296.75	40437
297.00	40251
297.25	40232
297.50	40175
297.75	40126
298.00	39838
298.25	39870
298.50	39759
298.75	39795
299.00	39406
299.25	39487
299.50	39088
299.75	39064
300.00	38897
300.25	38858
300.50	38492
300.75	38314
301.00	38183
301.25	38017
301.50	37711
301.75	37368
302.00	37371
302.25	36935
302.50	36853
302.75	36469
303.00	36163
303.25	36031
303.50	35823
303.75	35689
304.00	35279
304.25	35058
304.50	34805
304.75	34393
305.00	34154
305.25	34003
305.50	33574
305.75	33309
306.00	32962
306.25	32725
306.50	32379
306.75	32134
307.00	31816
307.25	31507
307.50	31136
307.75	30858
308.00	30534
308.25	30256
308.50	29922
308.75	29561
309.00	29183
309.25	28851
309.50	28724
309.75	28917
310.00	28052
310.25	27920
310.50	27416
310.75	27010
311.00	27023
311.25	26425
311.50	26023
311.75	25592
312.00	25494
312.25	24796
312.50	25001
312.75	24333
313.00	24039
313.25	23993
313.50	22814
313.75	22869
314.00	22895
314.25	22449
314.50	22170
314.75	21857
315.00	21124
315.25	20613
315.50	20341
315.75	20193
316.00	19428
316.25	19169
316.50	19032
316.75	18369
317.00	18059
317.25	18049
317.50	17869
317.75	17125
318.00	17044
318.25	16876
318.50	16718
318.75	16203
319.00	15731
319.25	15622
319.50	15558
319.75	14803
320.00	14773
320.25	14433
320.50	14004
320.75	13801
321.00	13540
321.25	13038
321.50	12911
321.75	12476
322.00	12224
322.25	12114
322.50	11744
322.75	11484
323.00	11197
323.25	11041
323.50	10753
323.75	10600
324.00	10310
324.25	9917.1
324.50	9551.6
324.75	9604.3
325.00	9529.9
325.25	9104.4
325.50	8786.0
325.75	8795.2
326.00	8385.4
326.25	8008.6
326.50	7828.7
326.75	7593.2
327.00	7687.0
327.25	7239.0
327.50	7389.1
327.75	6914.5
328.00	6741.8
328.25	6545.8
328.50	6246.3
328.75	6127.6
329.00	6058.3
329.25	5766.9
329.50	5556.3
329.75	5302.3
330.00	5359.1
330.25	5039.5
330.50	5197.3
330.75	4826.9
331.00	4474.3
331.25	4526.6
331.50	4254.5
331.75	4135.4
332.00	4022.2
332.25	3780.7
332.50	4041.2
332.75	3506.6
333.00	3349.2
333.25	3524.7
333.50	3284.0
333.75	2932.9
334.00	3122.9
334.25	3123.4
334.50	2621.8
334.75	2746.6
335.00	2525.6
335.25	2477.3
335.50	2422.1
335.75	2597.6
336.00	2328.7
336.25	2194.3
336.50	2078.3
336.75	1841.2
337.00	2008.3
337.25	1802.2
337.50	1755.5
337.75	1764.4
338.00	1755.1
338.25	1740.6
338.50	1593.7
338.75	1384.8
339.00	1468.1
339.25	1349.3
339.50	1194.4
339.75	1080.4
340.00	1081.2
340.25	1148.9
340.50	1141.2
340.75	887.21
341.00	950.41
341.25	997.91
341.50	831.66
341.75	1027.3
342.00	750.75
342.25	776.51
342.50	641.66
342.75	387.25
343.00	600.60
343.25	627.17
343.50	618.31
343.75	549.07
344.00	538.61
