Wavelength (nm)	FL001 [1] 493-08-3, Chromane [C]
210.00	5259.4
211.00	5078.1
212.00	4994.6
213.00	4917.2
214.00	4895.3
215.00	4875.5
216.00	4833.4
217.00	4767.9
218.00	4691.8
219.00	4568.6
220.00	4402.7
221.00	4225.9
222.00	4049.3
223.00	3859.7
224.00	3678.0
225.00	3514.1
226.00	3336.4
227.00	3125.3
228.00	2888.4
229.00	2631.8
230.00	2349.7
231.00	2058.2
232.00	1772.6
233.00	1500.2
234.00	1263.9
235.00	1074.0
236.00	928.53
237.00	827.61
238.00	760.98
239.00	719.75
240.00	696.40
241.00	687.51
242.00	689.75
243.00	700.54
244.00	718.57
245.00	740.82
246.00	766.65
247.00	795.11
248.00	824.07
249.00	854.93
250.00	886.10
251.00	919.31
252.00	954.25
253.00	990.57
254.00	1027.8
255.00	1063.9
256.00	1098.4
257.00	1132.1
258.00	1163.6
259.00	1193.5
260.00	1221.7
261.00	1246.2
262.00	1271.4
263.00	1295.9
264.00	1326.0
265.00	1363.4
266.00	1402.0
267.00	1439.2
268.00	1467.8
269.00	1484.6
270.00	1495.7
271.00	1505.3
272.00	1524.1
273.00	1551.7
274.00	1582.9
275.00	1600.0
276.00	1596.5
277.00	1576.3
278.00	1533.8
279.00	1461.7
280.00	1380.8
281.00	1321.9
282.00	1309.7
283.00	1321.1
284.00	1277.8
285.00	1138.8
286.00	944.83
287.00	759.30
288.00	612.88
289.00	506.11
290.00	429.85
291.00	375.03
292.00	335.31
293.00	308.01
294.00	290.33
295.00	279.67
296.00	272.66
297.00	269.38
298.00	266.33
299.00	262.58
300.00	257.83
301.00	253.35
302.00	248.93
303.00	244.75
304.00	241.33
305.00	239.30
306.00	237.23
307.00	236.37
308.00	234.56
309.00	234.01
310.00	232.74
311.00	230.92
312.00	229.07
313.00	227.54
314.00	224.95
315.00	222.60
316.00	220.42
317.00	217.43
318.00	215.26
319.00	212.64
320.00	209.07
321.00	205.02
322.00	200.62
323.00	196.18
324.00	191.24
325.00	186.58
326.00	181.00
327.00	174.88
328.00	168.82
329.00	162.53
330.00	156.80
331.00	151.02
332.00	145.14
333.00	139.33
334.00	133.26
335.00	127.92
336.00	122.30
337.00	117.47
338.00	112.58
339.00	107.31
340.00	102.24
341.00	97.828
342.00	93.831
343.00	89.822
344.00	85.595
345.00	82.006
346.00	78.386
347.00	75.231
348.00	72.245
349.00	69.208
350.00	66.162
351.00	63.117
352.00	60.441
353.00	57.776
354.00	56.132
355.00	53.379
356.00	50.692
357.00	48.456
358.00	45.708
359.00	43.938
360.00	43.139
361.00	41.209
362.00	38.460
363.00	35.954
364.00	34.646
365.00	33.089
366.00	31.693
367.00	30.092
368.00	27.870
369.00	26.708
370.00	25.454
371.00	24.843
372.00	22.890
373.00	21.169
374.00	19.705
375.00	19.377
376.00	18.229
377.00	18.158
378.00	16.811
379.00	15.699
380.00	14.743
381.00	15.068
382.00	14.861
383.00	13.310
384.00	13.001
385.00	12.688
386.00	12.065
387.00	11.973
388.00	11.870
389.00	11.928
390.00	11.123
391.00	10.508
392.00	9.8354
393.00	9.0624
394.00	8.7820
395.00	8.9515
396.00	9.3648
397.00	8.6564
398.00	8.2102
399.00	7.7322
400.00	8.2309
401.00	7.3787
402.00	6.5898
403.00	7.3640
404.00	7.2567
405.00	7.3591
406.00	7.1775
407.00	6.4813
408.00	6.2094
409.00	6.3118
410.00	6.2021
411.00	6.2899
412.00	6.8715
413.00	5.7168
414.00	5.0341
415.00	4.4208
416.00	4.8975
417.00	5.0816
418.00	5.8034
419.00	5.9973
420.00	5.0840
421.00	4.8085
422.00	5.1682
423.00	4.6719
424.00	4.8146
425.00	5.2499
426.00	5.1133
427.00	5.0414
428.00	4.9597
429.00	4.6549
430.00	4.4013
431.00	5.2316
432.00	4.7817
433.00	4.3403
434.00	4.4549
435.00	4.6512
436.00	3.6112
437.00	3.9623
438.00	3.9977
439.00	3.8368
440.00	4.8292
441.00	3.9855
442.00	3.2649
443.00	3.2918
444.00	3.2479
445.00	3.2881
446.00	3.0967
447.00	2.9979
448.00	3.1113
449.00	2.9735
450.00	2.5444
451.00	2.7809
452.00	3.7429
453.00	3.8587
454.00	2.7419
455.00	2.9150
456.00	1.9677
457.00	2.1201
458.00	3.3771
459.00	3.6514
460.00	3.6929
461.00	3.2588
462.00	3.2918
463.00	3.2515
464.00	3.7246
465.00	2.1676
466.00	2.9930
467.00	2.9699
468.00	3.2162
469.00	3.8026
470.00	2.7736
471.00	1.8336
472.00	1.6299
473.00	1.3784
474.00	2.2015
475.00	1.8470
476.00	2.5492
477.00	1.3459
478.00	1.1203
479.00	1.2079
480.00	1.4946
481.00	1.6751
482.00	1.5336
483.00	2.2761
484.00	2.2713
485.00	1.6763
486.00	0.97521
487.00	1.9469
488.00	0.90571
489.00	1.5604
490.00	2.0030
491.00	0.85084
492.00	0.61187
493.00	0.75331
494.00	0.29527
495.00	2.0347
496.00	1.1971
497.00	1.6263
498.00	0.69600
499.00	0.54969
500.00	1.2727
