Wavelength (nm)	J12 abs e
280.00	19143
281.00	19335
282.00	19499
283.00	19648
284.00	19776
285.00	19869
286.00	19948
287.00	19982
288.00	20006
289.00	20003
290.00	19978
291.00	19917
292.00	19820
293.00	19676
294.00	19480
295.00	19272
296.00	18992
297.00	18692
298.00	18363
299.00	17993
300.00	17619
301.00	17218
302.00	16808
303.00	16386
304.00	15945
305.00	15449
306.00	14920
307.00	14357
308.00	13789
309.00	13226
310.00	12642
311.00	12040
312.00	11468
313.00	10903
314.00	10377
315.00	9868.0
316.00	9382.4
317.00	8940.3
318.00	8516.4
319.00	8123.1
320.00	7776.3
321.00	7437.2
322.00	7136.8
323.00	6854.4
324.00	6606.2
325.00	6385.1
326.00	6192.6
327.00	6008.4
328.00	5852.4
329.00	5720.9
330.00	5601.3
331.00	5500.1
332.00	5410.0
333.00	5324.0
334.00	5255.5
335.00	5194.1
336.00	5147.0
337.00	5106.5
338.00	5077.3
339.00	5059.9
340.00	5036.5
341.00	5022.1
342.00	5002.2
343.00	4996.5
344.00	4990.8
345.00	4985.1
346.00	4985.6
347.00	4978.0
348.00	4976.9
349.00	4977.4
350.00	4973.3
351.00	4967.6
352.00	4964.5
353.00	4961.7
354.00	4956.3
355.00	4942.6
356.00	4932.4
357.00	4917.8
358.00	4903.1
359.00	4878.0
360.00	4852.9
361.00	4834.7
362.00	4802.3
363.00	4777.9
364.00	4729.3
365.00	4686.7
366.00	4635.6
367.00	4595.6
368.00	4545.3
369.00	4482.4
370.00	4426.0
371.00	4352.9
372.00	4287.5
373.00	4217.6
374.00	4151.3
375.00	4076.2
376.00	4013.3
377.00	3958.4
378.00	3889.1
379.00	3822.4
380.00	3741.9
381.00	3673.7
382.00	3614.3
383.00	3541.9
384.00	3487.6
385.00	3406.8
386.00	3356.9
387.00	3314.9
388.00	3274.7
389.00	3205.9
390.00	3146.6
391.00	3091.7
392.00	3076.6
393.00	3053.5
394.00	3026.0
395.00	2979.2
396.00	2932.1
397.00	2918.1
398.00	2925.2
399.00	2874.0
400.00	2847.0
401.00	2820.9
402.00	2803.2
403.00	2809.7
404.00	2811.9
405.00	2810.5
406.00	2802.3
407.00	2778.9
408.00	2776.7
409.00	2785.8
410.00	2779.8
411.00	2791.3
412.00	2821.6
413.00	2851.4
414.00	2841.6
415.00	2832.7
416.00	2851.7
417.00	2880.7
418.00	2892.2
419.00	2933.7
420.00	2989.0
421.00	3031.6
422.00	3086.6
423.00	3131.3
424.00	3132.8
425.00	3158.8
426.00	3171.3
427.00	3284.9
428.00	3315.2
429.00	3388.8
430.00	3474.1
431.00	3524.8
432.00	3541.8
433.00	3611.5
434.00	3664.6
435.00	3707.5
436.00	3805.8
437.00	3879.6
438.00	3981.5
439.00	4035.1
440.00	4113.3
441.00	4202.7
442.00	4259.4
443.00	4354.1
444.00	4429.8
445.00	4514.1
446.00	4609.3
447.00	4686.5
448.00	4786.0
449.00	4873.9
450.00	4973.7
451.00	5077.5
452.00	5172.7
453.00	5276.1
454.00	5384.3
455.00	5476.1
456.00	5610.6
457.00	5729.5
458.00	5840.1
459.00	5971.1
460.00	6070.5
461.00	6185.8
462.00	6289.0
463.00	6424.7
464.00	6579.8
465.00	6698.8
466.00	6818.1
467.00	6933.2
468.00	7064.2
469.00	7171.7
470.00	7292.6
471.00	7443.5
472.00	7592.2
473.00	7745.0
474.00	7876.7
475.00	8034.2
476.00	8198.9
477.00	8336.8
478.00	8489.6
479.00	8633.4
480.00	8801.4
481.00	8961.9
482.00	9131.3
483.00	9337.5
484.00	9509.5
485.00	9796.9
486.00	9884.6
487.00	10003
488.00	10232
489.00	10452
490.00	10686
491.00	10854
492.00	11075
493.00	11322
494.00	11530
495.00	11777
496.00	12059
497.00	12276
498.00	12587
499.00	12835
500.00	13079
501.00	13383
502.00	13649
503.00	13951
504.00	14261
505.00	14608
506.00	14851
507.00	15141
508.00	15500
509.00	15864
510.00	16225
511.00	16573
512.00	16907
513.00	17248
514.00	17617
515.00	17964
516.00	18367
517.00	18695
518.00	19102
519.00	19480
520.00	19790
521.00	20222
522.00	20588
523.00	20958
524.00	21331
525.00	21732
526.00	22198
527.00	22496
528.00	22885
529.00	23277
530.00	23668
531.00	24063
532.00	24437
533.00	24875
534.00	25250
535.00	25620
536.00	25963
537.00	26316
538.00	26703
539.00	27043
540.00	27394
541.00	27784
542.00	28140
543.00	28446
544.00	28778
545.00	29036
546.00	29403
547.00	29666
548.00	29998
549.00	30192
550.00	30427
551.00	30721
552.00	30959
553.00	31155
554.00	31336
555.00	31527
556.00	31691
557.00	31767
558.00	31969
559.00	32071
560.00	32135
561.00	32161
562.00	32257
563.00	32300
564.00	32278
565.00	32195
566.00	32224
567.00	32158
568.00	31993
569.00	32022
570.00	31944
571.00	31845
572.00	31676
573.00	31517
574.00	31380
575.00	31226
576.00	30989
577.00	30734
578.00	30578
579.00	30350
580.00	30113
581.00	29868
582.00	29603
583.00	29352
584.00	29062
585.00	28743
586.00	28472
587.00	28149
588.00	27887
589.00	27618
590.00	27237
591.00	26968
592.00	26674
593.00	26362
594.00	26068
595.00	25753
596.00	25467
597.00	25200
598.00	24859
599.00	24548
600.00	24230
601.00	23899
602.00	23553
603.00	23198
604.00	22927
605.00	22598
606.00	22284
607.00	21960
608.00	21610
609.00	21292
610.00	20944
611.00	20593
612.00	20260
613.00	19943
614.00	19618
615.00	19280
616.00	18957
617.00	18595
618.00	18245
619.00	17945
620.00	17607
621.00	17301
622.00	16940
623.00	16610
624.00	16280
625.00	15947
626.00	15610
627.00	15293
628.00	14987
629.00	14657
630.00	14333
631.00	14017
632.00	13697
633.00	13390
634.00	13075
635.00	12770
636.00	12472
637.00	12185
638.00	11894
639.00	11602
640.00	11341
641.00	11078
642.00	10747
643.00	10498
644.00	10257
645.00	9982.4
646.00	9701.0
647.00	9452.6
648.00	9190.1
649.00	8931.1
650.00	8669.1
651.00	8433.8
652.00	8180.7
653.00	7945.7
654.00	7713.9
655.00	7569.2
656.00	7290.5
657.00	7139.1
658.00	6901.7
659.00	6638.2
660.00	6433.8
661.00	6222.6
662.00	6051.5
663.00	5851.6
664.00	5662.5
665.00	5466.9
666.00	5274.4
667.00	5123.2
668.00	4932.0
669.00	4773.4
670.00	4606.6
671.00	4460.7
672.00	4297.3
673.00	4143.2
674.00	4003.0
675.00	3858.7
676.00	3718.5
677.00	3589.5
678.00	3446.0
679.00	3308.8
680.00	3183.3
681.00	3059.0
682.00	2939.0
683.00	2827.0
684.00	2721.0
685.00	2612.8
686.00	2509.2
687.00	2405.5
688.00	2302.9
689.00	2208.3
690.00	2127.1
691.00	2042.4
692.00	1950.1
693.00	1882.3
694.00	1792.3
695.00	1728.1
696.00	1660.2
697.00	1592.2
698.00	1513.9
699.00	1443.9
700.00	1381.9
701.00	1318.5
702.00	1264.5
703.00	1212.9
704.00	1166.0
705.00	1115.1
706.00	1078.1
707.00	1033.2
708.00	991.91
709.00	955.23
710.00	898.41
711.00	863.24
712.00	823.94
713.00	794.66
714.00	735.86
715.00	704.29
716.00	672.95
717.00	638.01
718.00	619.70
719.00	595.59
720.00	572.45
721.00	557.41
722.00	520.28
723.00	511.72
724.00	474.46
725.00	465.46
726.00	425.20
727.00	420.22
728.00	413.94
729.00	391.50
730.00	373.15
731.00	357.94
732.00	323.80
733.00	319.70
734.00	309.06
735.00	308.28
736.00	297.75
737.00	268.79
738.00	247.54
739.00	240.60
740.00	223.76
741.00	235.01
742.00	232.86
743.00	224.72
744.00	199.41
745.00	191.09
746.00	179.89
747.00	181.93
748.00	194.80
749.00	177.64
750.00	155.33
751.00	146.23
752.00	162.92
753.00	181.18
754.00	159.85
755.00	117.98
756.00	132.50
757.00	143.80
758.00	150.12
759.00	130.27
760.00	109.79
761.00	100.38
762.00	126.03
763.00	131.75
764.00	118.36
765.00	98.527
766.00	83.442
767.00	101.07
768.00	102.31
769.00	69.511
770.00	68.108
771.00	85.842
772.00	78.160
773.00	40.354
774.00	52.603
775.00	81.011
776.00	73.734
777.00	49.315
778.00	52.322
779.00	80.217
780.00	72.799
781.00	40.806
782.00	58.415
783.00	73.313
784.00	37.113
785.00	27.513
786.00	63.620
787.00	58.789
788.00	27.155
789.00	41.850
790.00	64.166
791.00	40.214
792.00	40.495
793.00	53.959
794.00	53.491
795.00	37.051
796.00	48.349
797.00	47.040
798.00	35.025
799.00	43.409
800.00	50.000
