Wavelength (nm)	N06 abs e
200.00	31989
201.00	32875
202.00	33538
203.00	34196
204.00	34999
205.00	36239
206.00	37098
207.00	37821
208.00	38542
209.00	39144
210.00	39495
211.00	39873
212.00	40241
213.00	40475
214.00	40623
215.00	40723
216.00	40682
217.00	40527
218.00	40250
219.00	39911
220.00	39452
221.00	38880
222.00	38180
223.00	37428
224.00	36565
225.00	35677
226.00	34666
227.00	33723
228.00	32751
229.00	31819
230.00	30905
231.00	30039
232.00	29229
233.00	28466
234.00	27752
235.00	27115
236.00	26581
237.00	26124
238.00	25698
239.00	25303
240.00	24938
241.00	24602
242.00	24316
243.00	24039
244.00	23791
245.00	23555
246.00	23329
247.00	23169
248.00	23089
249.00	23112
250.00	23223
251.00	23388
252.00	23563
253.00	23678
254.00	23690
255.00	23637
256.00	23484
257.00	23332
258.00	23222
259.00	23162
260.00	23156
261.00	23113
262.00	22944
263.00	22646
264.00	22076
265.00	21279
266.00	20178
267.00	18899
268.00	17557
269.00	16197
270.00	14948
271.00	13836
272.00	12883
273.00	12067
274.00	11395
275.00	10758
276.00	10160
277.00	9604.2
278.00	9058.3
279.00	8529.8
280.00	8083.3
281.00	7688.0
282.00	7351.4
283.00	7079.0
284.00	6850.8
285.00	6639.8
286.00	6476.5
287.00	6366.8
288.00	6269.8
289.00	6221.4
290.00	6208.0
291.00	6227.1
292.00	6267.3
293.00	6333.2
294.00	6417.3
295.00	6511.5
296.00	6627.0
297.00	6732.1
298.00	6826.8
299.00	6932.5
300.00	7053.2
301.00	7204.2
302.00	7358.8
303.00	7540.0
304.00	7763.4
305.00	7983.7
306.00	8219.3
307.00	8456.5
308.00	8691.0
309.00	8888.1
310.00	9038.2
311.00	9115.0
312.00	9126.5
313.00	9097.8
314.00	9020.5
315.00	8928.9
316.00	8793.7
317.00	8662.4
318.00	8496.4
319.00	8318.2
320.00	8111.7
321.00	7895.7
322.00	7668.4
323.00	7397.4
324.00	7123.5
325.00	6817.4
326.00	6547.4
327.00	6233.5
328.00	5952.0
329.00	5667.3
330.00	5369.9
331.00	5096.7
332.00	4841.2
333.00	4593.8
334.00	4368.2
335.00	4184.2
336.00	4022.7
337.00	3878.1
338.00	3790.4
339.00	3726.5
