Wavelength (nm)	A08 abs1 e
240.00	93.285
241.00	83.535
242.00	81.786
243.00	84.750
244.00	89.559
245.00	96.224
246.00	106.85
247.00	119.82
248.00	132.60
249.00	146.82
250.00	165.17
251.00	183.94
252.00	199.28
253.00	215.84
254.00	238.51
255.00	262.00
256.00	283.24
257.00	308.81
258.00	342.07
259.00	373.40
260.00	396.50
261.00	418.05
262.00	441.94
263.00	462.39
264.00	472.31
265.00	493.62
266.00	533.84
267.00	570.87
268.00	588.41
269.00	605.11
270.00	625.37
271.00	629.00
272.00	599.96
273.00	544.70
274.00	511.80
275.00	527.20
276.00	544.26
277.00	517.82
278.00	488.69
279.00	494.31
280.00	479.16
281.00	398.42
282.00	289.93
283.00	197.43
284.00	130.92
285.00	85.219
286.00	54.237
287.00	33.811
288.00	21.038
289.00	13.190
290.00	8.5489
291.00	5.6683
292.00	3.7137
293.00	2.5425
294.00	1.7922
295.00	1.2302
296.00	0.89528
297.00	0.59287
298.00	0.42403
299.00	0.33570
300.00	0.38687
